Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	1	1	-1	1	-1	-1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1
U133A__IGF1R	7.4366	6.0432	7.616	9.0997	6.7451	5.1784	6.164	7.4726	4.8247	7.1078	5.9359	5.9343	6.3173	5.3298	5.5299	6.252	5.9489	6.6041	5.5932	5.6916	7.8115	5.3234	6.931	7.3309	5.6135	5.9851	4.8088	5.3017	5.5466	6.4853	4.9335	7.2016	7.5757	7.0228	7.4657	5.5772	6.4581
U133A__ID3	6.5887	8.2017	6.292	4.9436	9.0818	8.7673	6.8911	6.2882	8.7247	5.5829	4.654	7.8635	9.1626	5.6262	9.7219	9.16	7.4433	9.2935	8.3717	8.8993	7.6832	8.3992	8.1135	7.6525	8.5874	4.423	7.0461	8.3927	8.1339	8.6072	8.571	6.0519	8.38	7.5964	7.2625	7.3309	7.1219
U133A__TRIP13	7.745	8.3821	8.3399	7.2109	8.4946	8.4298	9.1761	8.1542	8.1616	8.0032	8.2922	9.269	8.9522	11.8558	8.2882	8.7189	8.5732	8.6762	9.2749	9.1383	7.9682	8.3787	8.1315	7.9447	8.0787	7.5528	8.371	8.2085	8.3646	8.3153	9.9502	6.6053	7.2737	8.9561	7.5954	6.3957	7.9724
U133A__CST3	7.8659	6.7192	9.7824	10.026	8.2635	7.8759	8.359	7.946	5.0466	9.2058	9.3159	9.137	4.7632	4.5048	4.4327	8.171	5.8202	8.888	5.6844	9.0656	8.6406	8.8921	8.5309	9.7941	8.7841	7.7873	3.9799	6.6027	7.7348	9.7141	8.1298	10.963	8.4317	8.6142	9.3117	6.7087	7.6018
U133A__TFF1	12.2913	8.7704	12.009	13.0647	4.5823	11.357	4.4645	5.0347	4.9526	12.0586	5.5069	4.6102	4.7953	5.1295	7.7444	6.8636	5.3196	4.6565	4.7428	5.032	12.6032	4.6427	4.7941	12.0723	7.1696	4.5311	4.66	6.7433	5.0684	4.859	4.9279	10.1664	5.2403	4.7042	12.6332	7.8516	12.1863
U133A__LMCD1	6.5609	6.4091	6.1756	7.4953	5.3439	6.2751	5.829	7.8319	5.3364	7.8935	7.3762	5.3461	5.7221	5.6691	5.9457	7.0603	5.1047	6.4592	6.3042	5.9992	5.9717	5.9372	5.7364	6.2042	7.0151	5.3802	5.0196	6.1463	5.4766	5.0203	5.7004	7.9499	7.4884	7.5056	8.1009	6.6191	5.7219
U133A__SDC2	7.6839	4.4758	5.471	5.8173	4.5404	5.3484	4.9752	10.2929	6.6377	9.2915	8.7747	4.4879	4.6024	4.7327	7.4159	9.7014	7.0364	7.5149	4.7632	8.8181	6.728	9.0147	7.431	4.4419	4.9399	6.4263	4.3422	4.8889	6.2214	4.7253	5.4138	6.0161	4.9022	6.7886	5.683	4.8569	6.2833
U133A__ADM	5.277	8.0616	6.529	5.3128	7.8679	5.4283	7.0432	7.2131	7.8738	6.5466	6.1613	7.8844	8.3814	8.7626	6.6977	6.6973	6.3123	7.5305	5.4869	10.3763	6.2425	8.2545	7.5308	6.2133	6.6996	9.7941	7.8632	6.5454	8.4176	7.0588	7.011	5.4331	6.3307	7.7379	7.1417	6.1264	5.0025
SNP__RPS10P2	0.013	0.304	0.122	0.437	-0.355	0.09	-0.023	0.165	0.439	-0.073	0.435	-0.752	-0.026	-0.084	0.05	-0.604	-0.007	0.422	-0.08	0.305	0.109	0.067	0.143	-1.165	0.252	-2.608	-0.253	-0.255	-0.374	0.868	0.028	0.109	-0.133	-0.292	-0.31	-0.202	-0.375
U133A__TNFAIP2	6.5795	8.2231	6.3738	6.1237	5.8589	6.542	7.6816	7.4465	8.7141	6.2884	5.9616	8.3867	8.5324	7.833	6.9407	6.4399	7.8688	8.5522	9.3888	6.3682	6.5616	8.2471	6.5829	5.7377	6.762	7.6957	8.9943	7.0839	6.245	8.1	6.9614	6.0373	6.7441	6.7504	6.8502	5.7957	6.5668
U133A__TAP1	5.7327	7.5006	6.3813	7.6236	5.9818	6.3709	7.4078	6.5781	9.653	6.8374	6.8908	8.2561	7.7278	8.4082	7.8418	5.7944	7.9218	7.8805	9.3298	6.9324	6.1383	9.1618	6.0921	6.3952	7.2535	6.5874	9.2916	6.5505	7.8065	7.5458	7.6768	5.8906	6.2797	7.491	6.9934	6.2227	6.26
U133A__IGFBP4	11.0146	5.2361	9.7198	9.3935	7.2318	8.0076	7.5107	7.3593	7.5275	9.1421	8.2795	8.0721	7.2479	6.0637	6.2098	6.3741	6.0228	8.3002	8.3906	8.9442	9.23	7.7929	10.3468	9.1055	9.0012	6.9578	7.1508	6.7255	5.6586	7.7099	9.881	6.4871	5.5116	9.5902	10.2401	6.4333	8.2681
U133A__TNC	5.3228	4.6808	5.0294	4.8493	6.8118	4.6548	6.2793	5.8077	9.2972	4.909	6.0354	4.8131	5.0022	8.1084	6.7858	5.3092	6.2336	9.3754	8.5657	6.5111	4.7272	7.5353	5.0495	6.0046	6.2086	7.7184	6.4274	4.904	7.4837	8.1507	6.8616	5.1442	7.8556	4.9164	6.5265	5.2553	4.8657
U133A__PCSK1N	8.5701	5.1548	6.9004	8.3513	6.1553	7.586	5.4867	6.7564	7.5637	7.2533	6.7813	5.7054	6.0571	5.9201	5.5088	6.8148	6.8731	6.6252	4.8381	5.3818	7.0645	7.6635	5.4779	8.9092	5.3401	6.4129	6.0395	5.3148	6.3185	5.3578	5.7835	7.1748	5.9004	5.8583	8.7879	5.7695	6.6894
U133A__ANK3	6.4478	7.308	7.5215	7.0276	2.7342	6.8733	4.2279	7.1104	5.6934	7.8747	7.0227	5.117	6.4182	4.6788	5.0538	7.3358	6.7191	6.6335	6.6594	2.6483	6.8444	3.2294	3.5943	7.386	7.623	2.9701	7.2424	7.0939	2.7388	3.1715	5.8833	9.1143	5.702	6.1148	6.4416	6.837	6.6091
U133A__S100A2	5.7104	5.2629	5.0266	5.1361	8.7308	5.1261	9.3678	11.8664	8.1017	4.6494	5.0442	12.1145	9.7223	9.938	6.7237	5.0393	12.6387	7.9326	10.0914	6.775	4.9131	7.9401	5.843	5.1111	6.0773	7.1644	8.4703	5.6079	8.4846	10.926	8.9102	5.3655	5.9202	5.5082	5.3582	5.3529	5.7302
U133A__SOD2	5.5088	6.9736	4.881	5.1914	7.7208	5.6061	6.9795	6.6548	7.6545	5.7471	8.3722	7.9873	6.5132	7.3532	5.281	5.9588	7.7653	6.3289	7.5586	6.3059	6.0585	8.5843	5.5954	5.823	6.3231	11.1784	8.2402	6.0321	7.3062	8.7586	9.3681	4.9814	6.5449	5.6744	6.295	4.8445	6.1557
U133A__ERBB3	9.0074	7.5004	8.3846	9.4643	4.1332	7.8718	3.9425	7.0488	7.2396	8.1221	7.1116	6.5673	7.1065	5.2443	8.1957	8.2884	6.1232	6.1179	7.809	3.9223	7.907	5.1573	4.7362	8.49	7.7735	4.4635	6.2743	7.8318	4.3134	6.0561	4.2768	8.8454	6.8618	8.571	8.2939	8.3354	7.6055
