Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1
U133A__FKBP4	7.8938	7.2314	7.3501	7.8308	6.4693	7.5977	6.4888	7.6079	10.106	8.0188	7.4516	7.9534	8.2485	6.7073	8.3906	6.7943	7.4821	6.6219	7.3035	8.5173	6.0714	7.0025	8.2281	5.9213	7.3097	8.068	6.4055	8.0056	7.8416	7.3206	7.2406	8.8391	7.4746	8.1696	8.6481
U133A__GLS	4.4195	5.7518	7.2918	4.0759	6.6791	3.7784	7.3472	5.1229	5.2186	7.3126	7.012	5.7987	5.3433	5.3827	5.5398	7.1731	7.3676	5.5516	5.2015	5.0259	6.4009	7.034	4.1183	4.9112	3.4156	4.8237	7.9906	6.7428	6.0561	4.9067	4.4406	4.5268	4.8293	4.3555	4.9851
U133A__SLC9A3R1	9.519	9.6155	8.3819	9.3381	7.3427	10.3084	7.7895	7.6797	11.4694	8.4963	8.6198	9.0035	8.2239	9.0584	8.1738	7.8626	8.8965	7.1743	9.7706	10.4869	6.8074	7.6842	11.736	8.9875	10.9463	9.4829	6.4568	7.3574	6.9491	9.1212	9.2263	10.2388	10.5344	10.2528	11.1031
U133A__CALD1	4.2559	5.8786	8.3527	3.9365	7.9225	3.6763	6.2884	9.1905	3.4181	8.0223	6.0784	7.1754	4.4506	5.5558	9.2409	8.6378	8.8403	9.3954	3.6019	3.9175	7.5768	7.2995	5.0421	4.1759	3.5041	4.7812	7.3616	7.3157	7.8436	8.0238	6.7517	4.3805	4.0465	4.0081	3.6434
U133A__LRIG1	8.4873	6.2785	5.1965	6.714	3.8294	5.7543	4.6329	5.669	7.1662	4.7873	4.9515	5.9472	4.8144	5.5033	5.2939	4.0003	5.209	4.8805	5.4309	5.1228	4.104	4.2748	8.0802	5.1363	8.3706	5.1384	5.4354	5.9374	4.1727	8.3873	5.0683	6.8777	6.743	6.956	6.6563
U133A__FBP1	6.8861	5.4407	5.6061	8.7593	5.8518	8.9571	5.675	5.3145	9.223	5.9597	5.9596	8.9816	6.1031	5.4783	5.7636	6.0568	6.0106	6.2966	9.2997	10.2366	5.5894	5.6397	10.3698	8.9993	6.1156	7.3014	5.5824	7.2633	5.8976	8.5732	7.7395	7.7367	9.8135	9.0869	8.5342
U133A__GPRC5C	7.4235	6.1309	5.8727	6.7046	5.3902	6.9703	5.6507	5.5117	6.314	5.8513	5.5639	5.7202	5.8357	6.4456	5.8599	6.2879	5.6807	6.194	6.4966	6.7739	9.0957	5.7214	8.3154	6.1173	7.1564	6.0889	5.7109	5.5935	5.16	6.437	6.2738	7.4572	7.4876	7.2886	6.3964
U133A__IGFBP2	8.9994	6.5614	8.0793	8.4756	4.1337	8.2319	6.9756	5.0969	11.3152	6.6399	5.5755	7.4344	6.2061	6.7846	6.7353	5.7058	4.1339	5.3651	7.4161	8.4871	6.523	5.18	9.4817	8.7196	9.2216	5.7955	5.3561	5.6784	5.7516	8.1112	7.7527	9.675	9.8774	7.0239	9.9643
U133A__PRAME	5.1003	5.3193	6.3397	5.3357	6.2642	5.1516	8.9344	9.7548	6.0639	7.7932	5.4245	4.9665	6.5426	4.7451	5.1626	8.5171	7.8514	7.7627	5.4001	4.8634	6.2272	4.4942	4.8008	6.0026	5.1608	5.4706	5.8955	4.9292	4.9845	5.7112	7.4347	6.7545	4.8801	5.8399	6.7549
