Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	ZR751	ZR75B
Response	1	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	1	1	1
U133A__GOLGA8A	5.624	7.8406	6.2792	7.9159	5.1443	6.4675	6.1268	6.5558	3.9995	6.2642	7.0239	5.7512	4.8288	6.4569	5.5296	6.6093	6.9683	4.5496	4.7798	5.7913	4.5748	6.1873	5.6399	5.1079	4.7992	4.7586	6.7718	6.2041	5.8264	5.4125	5.9638	4.9087	7.7159	5.4622	8.1643	7.8459	8.5237	7.3475
U133A__IFI27	5.1543	4.6777	5.8546	4.687	4.5519	6.1249	4.9288	11.1042	4.871	6.238	7.2516	11.3436	8.4421	4.4035	5.9256	4.4385	10.9936	4.7467	4.7579	8.9666	4.6875	7.4637	4.8506	4.661	4.404	4.8339	4.3892	4.6337	9.6865	4.5304	4.6953	6.5604	4.5079	9.8241	4.5195	4.3101	4.3879	4.4577
U133A__DDAH1	8.5483	7.8829	8.8633	8.3878	7.0164	7.2762	7.0683	5.6482	8.0142	6.9419	7.8773	7.671	6.9839	8.697	7.4941	8.6928	7.845	9.6453	6.2098	7.4176	9.7077	6.2347	8.0152	10.6373	8.2905	8.9321	7.3515	8.726	8.8341	8.7206	8.3137	8.0215	8.5239	7.7765	8.3946	9.3856	7.7819	8.5761
U133A__CKB	7.7875	5.4548	7.2727	7.2986	7.9556	6.9587	7.8831	5.951	7.7218	5.4318	7.4084	6.0638	8.1013	6.8017	5.8878	6.9659	6.6128	5.5701	5.7784	6.5721	8.3052	7.7159	5.8863	5.9212	7.0171	6.8611	6.2835	9.5775	6.555	7.0333	9.5311	5.512	8.4104	7.1249	5.1422	7.7166	9.1697	9.3753
U133A__KRT17	4.4229	4.4065	4.2371	4.2453	4.4635	4.338	9.1914	6.9783	4.6626	4.4668	7.7268	8.2134	4.4425	4.4224	11.2313	4.6517	5.2437	4.895	4.8219	4.4969	4.2308	4.2958	4.5319	4.5144	4.4182	4.8657	4.383	4.5314	8.6433	4.5867	4.6411	4.531	4.2526	4.7358	4.5278	4.2884	4.3942	4.1639
U133A__CITED2	7.7415	6.6171	6.2217	8.6066	6.6819	6.4765	8.129	5.4857	5.8681	6.4711	5.6471	5.0942	5.6045	9.6672	5.0741	7.2485	5.5668	7.7101	6.7048	7.0532	7.0748	6.3869	7.4172	7.5293	6.8764	6.7352	6.9985	7.2716	7.6076	8.0474	7.6179	7.6259	7.8132	7.9106	8.3585	9.1731	8.0739	6.485
U133A__LAMC2	6.0777	5.6348	5.93	6.002	6.0625	6.4877	8.5082	5.881	5.7732	6.2261	8.5525	6.1018	7.1326	5.9453	8.8207	6.4814	7.7414	6.8578	6.3223	5.9447	5.8067	7.0817	6.0721	6.1309	6.0593	6.7055	5.9876	5.7604	6.9467	5.9867	6.0108	6.2632	5.755	6.6585	5.8722	5.9923	5.9061	5.7819
U133A__BNIP3L	6.2052	8.103	7.7679	8.6934	7.3541	7.1476	7.3395	8.3008	5.2278	6.0727	5.3145	4.5581	4.9433	8.0548	6.343	7.0537	6.2095	7.0532	4.6164	7.3856	6.4527	5.59	7.7427	6.7753	6.9296	7.1868	7.5776	7.2602	6.6789	6.0024	7.387	5.8446	7.6413	5.9886	7.5988	9.1955	9.4425	7.1327
U133A__MKNK2	9.1024	9.4367	9.134	7.54	8.4693	8.4639	7.416	9.167	9.0655	7.1375	8.6892	7.7142	8.8308	8.9706	7.5959	9.0658	8.9596	7.0119	7.0536	7.6164	8.2146	7.3453	8.596	8.3944	8.5317	7.9915	7.5164	9.8256	7.9628	9.3436	6.5736	8.4037	11.1721	7.8753	8.8276	9.5034	10.562	9.1577
