Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	ZR751
Response	-1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	1	1	-1	-1	-1
U133A__RDX	6.2849	7.0989	5.5424	5.2777	9.8431	4.669	7.4389	6.885	8.2381	4.714	7.2261	8.2444	7.3477	6.6441	3.4463	7.49	6.8925	7.3649	7.5288	7.2916	8.6552	8.7689	3.9994	7.5706	6.3754	7.8273	6.2957	6.3962	7.169	5.5619	7.7306	7.8101	6.6603	7.7876	6.3776	5.7458	7.0507	7.4451	6.8784
U133A__PRNP	6.1952	7.6265	4.4988	6.3549	8.3473	2.8621	7.7789	8.8473	8.0052	3.5182	8.5845	9.0397	9.2202	8.6949	3.0417	6.9932	8.0449	9.5522	7.329	9.3616	5.659	4.5659	3.7609	8.366	6.9978	8.3535	5.8395	3.3305	6.5325	4.0872	7.1137	7.4428	8.3248	8.0389	5.8058	4.9449	8.4491	6.0263	4.5816
U133A__FGFR4	5.2867	5.3796	5.932	7.0564	4.6014	8.8352	4.6243	4.8179	5.08	5.6192	5.5987	5.5846	4.808	6.2914	6.8329	5.3225	4.6994	5.1195	4.6729	5.1249	5.0994	4.7136	6.0483	5.4814	5.1906	5.0617	7.1829	6.8866	4.8499	10.4891	5.3601	5.2254	5.1338	5.1372	5.6779	7.7673	6.0534	5.1223	8.0318
U133A__KIF14	6.6803	6.4582	5.5932	5.6142	7.1136	4.9453	6.9587	5.6646	8.1398	5.3265	6.9909	7.2605	6.414	5.3583	5.0707	5.431	6.481	6.2668	7.5613	5.9016	5.7401	6.9772	5.3392	6.6024	5.8901	7.6284	5.4955	6.6597	6.4616	5.9754	6.0151	5.7495	5.9024	6.1868	4.6193	5.4158	5.3477	5.6868	6.7918
U133A__MID1	6.1037	7.7529	5.4843	4.4567	8.6155	4.4247	8.1964	5.3266	5.9754	4.3322	6.3817	6.6804	7.4209	6.1697	4.5019	9.0976	7.9875	6.0331	7.592	5.0431	4.6781	4.4599	4.4484	8.0006	4.8053	6.7265	5.0984	5.5412	4.3858	3.9749	6.4367	6.5315	5.246	6.0018	5.3356	4.3678	5.4337	5.7925	5.3807
U133A__SLC9A6	6.4055	7.0008	5.2708	4.3228	8.7858	4.4773	6.5737	6.7706	7.7514	4.2629	6.1563	7.1961	7.6515	7.1268	4.8025	4.3595	7.158	6.999	7.5777	6.9	5.9238	6.2413	5.5375	6.5963	5.6565	7.8945	6.3295	4.5921	7.2907	4.9043	4.9311	6.407	6.7893	7.3206	6.1149	4.6179	6.3706	5.8012	6.2142
U133A__IRX5	7.7399	6.5809	7.7145	8.7913	6.7582	9.7052	5.397	6.7088	8.4982	9.2355	7.8438	5.0398	8.2703	6.928	8.3002	6.9459	7.2265	6.0328	7.8287	5.68	6.4979	7.5153	9.0702	5.4402	8.0494	5.6562	8.26	7.8134	5.4866	9.0329	6.3151	7.6172	6.2181	4.7753	8.3988	9.79	7.2192	7.8621	8.7904
U133A__CA12	9.2856	6.8362	6.6024	10.0646	4.94	9.4907	5.492	5.3522	5.2704	9.9923	5.8997	5.8965	5.9293	4.8096	8.2238	5.138	5.3006	5.185	5.1204	6.4199	7.0757	8.7923	10.1694	5.1916	8.8035	5.7859	7.8998	10.1217	9.4883	9.7319	8.5665	7.398	5.5183	8.3814	7.6774	9.6668	8.1588	9.8759	8.016
U133A__C14orf132	6.5685	5.8874	7.5794	9.1172	5.7191	8.9151	6.7815	5.7685	5.747	7.4848	6.0918	5.6316	6.0757	6.1224	6.1424	6.5911	5.947	6.5909	5.5007	6.5415	7.2414	7.1242	8.7075	6.9817	8.2171	4.9994	8.7207	8.7824	6.8336	6.2356	6.2289	6.637	6.0698	6.9631	6.5585	7.4704	6.156	6.6175	5.5833
U133A__RHOB	10.4942	9.873	11.0388	10.4831	6.7962	11.0472	8.3443	6.5967	5.3472	11.2735	6.8223	5.304	6.3977	6.8571	10.6523	9.5881	6.7605	5.6554	4.5314	6.3916	9.3614	9.9117	11.0411	7.4355	10.1894	6.7163	10.5222	9.9235	9.2453	10.7721	10.9564	5.3243	5.6316	8.7454	9.5754	11.7815	9.765	9.1037	10.6561
U133A__SLC1A4	6.0902	5.1754	8.2176	6.8155	4.8003	6.8859	4.8683	5.7327	5.1074	7.8823	4.3634	6.4325	5.903	4.3597	7.8159	6.3009	5.1746	4.6385	4.3902	5.7849	5.8689	4.9972	8.3702	6.7636	6.7105	4.5674	8.7053	7.2159	4.9516	6.8512	5.5833	7.6199	6.4011	3.8519	8.9226	8.0044	7.5856	6.4569	8.5448
U133A__WWTR1	5.5378	5.4353	3.966	4.1743	7.3987	3.3913	5.7099	8.3892	5.0729	5.616	6.4266	6.3704	8.6394	6.8808	4.278	8.0557	6.9231	9.3347	8.5677	7.4314	3.8181	3.8193	3.4958	6.5088	4.0356	6.9541	4.5266	3.6265	6.1605	4.75	5.0238	7.8837	6.1643	5.4187	3.2832	3.468	8.0272	5.8601	5.1135
U133A__LDHB	4.1912	9.5557	7.7198	7.4019	11.1499	3.7442	10.385	10.2809	11.5671	9.3184	11.4528	11.4705	11.0616	3.5408	6.3778	11.1987	10.7072	11.2496	8.8148	11.0885	3.5489	4.7582	3.8705	10.5632	11.012	11.6052	10.7455	9.8168	11.3903	3.3627	10.4303	10.9508	11.7129	11.5033	3.5016	3.7288	10.3626	4.7713	3.3083
U133A__CDC42EP3	6.5387	5.3841	4.6925	3.6723	4.5565	3.1213	5.8254	6.9265	4.1005	3.5236	5.3886	7.7389	6.2455	6.0531	4.3747	5.6163	6.6861	4.9871	4.6904	8.1804	3.4122	3.5095	4.5022	5.9676	4.1611	8.5465	4.5654	4.5823	5.1224	3.2159	3.9786	4.1004	5.9385	6.0244	3.4122	3.7137	9.3553	4.4616	3.2918
U133A__KANK1	5.1845	6.3431	4.4629	5.8517	6.3967	4.9071	4.5114	7.1835	6.6344	4.4494	7.8058	6.3191	6.8472	5.5078	4.8784	4.5401	6.1554	7.7999	8.4046	6.2557	5.5361	5.3198	4.7946	4.5636	5.0467	5.6924	4.7356	4.2955	5.8591	5.7617	5.8712	5.7353	5.6835	7.4	5.007	4.7381	6.1543	5.6976	5.7133
U133A__BACE2	9.3765	8.281	6.3105	6.1423	6.0657	5.3419	6.603	7.5574	6.834	6.793	7.912	7.5191	7.95	7.8842	7.7563	9.2403	7.9159	7.0988	9.2209	6.3671	7.1378	6.2433	5.9436	6.2496	7.3922	6.7457	6.6809	7.7806	6.3089	5.4893	9.4037	6.7943	8.3682	6.6684	5.4672	5.1118	6.8133	7.5997	6.8962
U133A__GRB10	4.7959	5.4919	8.5374	8.2707	5.3595	7.4569	4.8131	5.402	10.2075	6.5732	6.3604	4.9465	4.8583	6.6414	6.6836	6.2955	4.6338	6.1154	7.6347	7.8401	5.8101	5.4498	9.6632	7.1144	5.4158	6.6734	6.0157	7.1687	8.0491	5.4992	4.9824	5.3711	4.4084	7.763	6.053	8.7005	5.8099	6.8667	4.8448
U133A__IGFBP2	8.9994	6.5614	8.4756	10.174	4.1337	8.2319	5.5098	6.9756	5.0969	11.3152	6.6399	5.5755	7.4344	6.2061	7.8506	6.7846	6.7353	5.7058	4.1339	5.3651	7.4161	8.4871	9.2672	6.523	6.9218	5.18	9.4817	8.7196	7.0344	9.2216	5.7955	5.3561	5.6784	5.7516	6.6061	11.0486	7.7527	9.675	7.0239
U133A__PDLIM2	6.1838	6.4469	5.0195	5.6124	8.445	5.1054	6.6544	6.7985	7.5575	4.7108	6.3607	5.2325	5.6691	6.1512	4.6418	6.3079	7.0536	6.8265	6.1954	8.6963	6.1059	5.2037	5.8817	6.625	6.3894	6.7859	4.9201	6.5696	5.8757	4.5589	7.137	7.7536	6.8021	7.2215	5.3168	6.0937	4.947	5.8226	6.1648
U133A__CBR1	4.6632	8.0566	5.0839	5.9771	8.1128	6.1108	7.0313	7.0953	6.9501	5.0824	7.8906	8.3527	6.8649	4.8263	5.8994	5.977	7.2162	6.746	7.0213	7.284	7.2775	6.5636	4.8918	7.3525	5.6315	6.639	4.8369	6.4233	7.0842	4.6356	7.4491	8.3041	7.4609	7.6399	5.8024	4.9492	6.1997	7.0802	4.251
U133A__NDC80	5.5522	5.0453	6.0641	4.7678	7.5886	4.8913	6.9694	6.2093	8.2113	4.6458	5.6359	6.8255	7.5058	5.4579	4.6172	4.7843	6.5212	6.879	6.771	7.0702	5.4314	5.1758	5.1286	6.8271	4.2246	7.4584	5.221	4.9644	5.8619	4.8313	4.8279	6.9992	6.9676	6.0043	3.5759	3.7361	3.7379	5.2985	5.8115
U133A__IER5	7.3983	8.4834	5.6405	7.5553	5.9635	6.4142	8.5787	7.3217	7.8547	5.634	7.5246	8.7751	8.6291	8.5956	7.2478	9.4112	7.7493	7.0389	9.4247	6.8806	7.7217	7.0547	7.6119	7.9844	7.7677	7.9227	6.8566	6.0609	7.7524	6.9052	7.4431	4.9517	7.9731	8.0814	7.4049	6.1522	8.2302	8.1897	7.3929
U133A__TUBB6	4.8682	6.5678	6.253	4.4901	9.8768	4.9213	9.5493	8.3339	9.2657	7.3934	8.5949	8.9081	8.7762	7.6112	5.3791	6.6415	9.8152	9.8057	8.0943	9.7499	8.3425	7.4325	7.8191	10.4802	5.4732	9.0045	7.5802	5.0843	9.3439	5.1846	6.5456	10.1106	9.4057	9.6441	5.1798	4.7572	5.5564	7.8651	6.4891
U133A__PLOD2	4.3063	7.3206	4.5369	6.9176	9.2988	4.8502	7.713	6.7221	4.8014	5.6396	6.5382	6.0955	7.4393	8.281	5.5341	4.2286	6.6365	8.4281	8.6329	8.0595	6.0565	7.9788	4.0323	7.7046	4.7658	7.3204	6.5491	6.0127	5.7272	5.6189	6.3062	5.0164	7.6348	5.9357	4.2051	3.5227	4.8868	7.4106	5.5846
