Cell lines	600MPE	BT20	BT474	BT483	BT549	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	SKBR3	SUM1315MO2	SUM149PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	1	-1	1
U133A__COL6A1	6.9732	6.0991	6.3956	6.2876	7.7987	8.9878	5.7568	6.6083	8.0962	7.3804	6.3507	5.6124	5.8936	6.4987	9.1927	5.4538	10.8531	6.5479	6.2493	5.8409	11.2448	6.8487	6.4207	5.7732	5.7873	9.5167	7.8725	6.018	7.0157	6.5026	6.3931	7.0413	5.7191	5.9583
U133A__IGFBP7	2.9865	2.8263	2.8187	2.8488	2.9678	8.1639	2.9617	3.057	9.0694	7.7424	4.9465	2.8659	2.8328	7.664	6.8087	5.298	9.287	2.953	2.8392	2.8773	8.7334	2.9882	2.8618	4.331	3.7421	3.4559	3.1532	2.9303	8.2563	2.8623	3.2633	3.1601	2.8804	2.8224
U133A__AHNAK	5.281	6.4729	5.9388	5.7781	5.2206	6.1827	6.0559	6.224	5.2952	5.0968	6.7373	7.6819	6.8806	5.6812	5.9843	7.446	5.8018	5.7293	4.9851	8.2307	5.331	5.487	7.506	6.7486	6.1605	5.0432	4.7147	5.7549	8.1404	7.3006	5.636	5.4948	6.6421	7.5269
U133A__FANCG	5.7529	6.2545	7.6	6.4537	7.0761	6.4867	7.2667	6.451	6.1187	6.9206	6.517	6.4031	9.5935	6.5269	6.0361	7.6104	6.1079	6.78	6.4459	6.9052	6.4125	6.4774	6.9184	6.8003	6.1179	6.1296	6.6838	5.5828	5.7232	5.3223	6.4065	6.3229	5.9315	7.0228
U133A__IRS2	8.2646	6.3871	6.1831	6.7845	6.2723	9.8849	5.6423	6.4241	5.833	9.3915	7.7954	6.0032	5.453	8.6129	6.621	5.3606	5.4758	5.921	6.2504	6.3569	6.8503	5.6481	7.1192	5.6215	5.6329	6.3412	7.299	7.3676	6.7356	5.7346	6.0545	5.8869	5.9846	6.0265
U133A__STOML2	7.2213	8.5185	9.9156	8.2398	9.103	8.2134	8.6867	8.261	8.9344	8.3241	8.5246	8.7663	11.5332	9.1862	8.097	9.4651	8.2944	8.4101	8.3866	8.7367	8.6208	7.9967	8.4125	8.6614	8.3608	8.7891	8.6857	8.089	7.7287	8.0294	8.042	7.9046	8.4869	8.9244
U133A__MELK	7.4057	9.206	7.7049	8.1506	9.2766	8.3064	8.9809	8.3003	8.785	8.8851	9.0786	8.8704	11.0903	8.9656	8.5623	9.9242	8.7947	8.6129	8.3998	9.4282	8.8347	7.7825	8.938	9.0018	8.7079	8.3682	8.1645	7.3721	8.1871	6.5906	7.9253	7.6879	7.8002	9.065
U133A__MYL9	4.7297	8.5122	4.3871	5.1373	9.1832	8.4341	4.0346	5.7648	9.6218	6.0583	4.625	4.5724	4.813	9.5538	8.1157	4.8778	9.6227	4.8854	4.7024	4.6027	8.4701	5.1536	4.6393	6.8697	4.5311	8.308	6.9483	4.4915	5.1012	4.7852	7.4332	7.2213	4.811	4.1039
U133A__SH3BP5	4.5669	7.6365	6.3726	7.6208	5.3896	5.7432	8.4108	7.7287	6.5201	5.893	6.0643	6.2105	6.5372	4.3785	6.5156	7.5147	5.231	8.6417	8.4431	6.9531	6.5498	6.6958	7.3821	6.1776	6.571	7.6624	5.2193	6.9699	5.8436	6.8418	6.3893	7.6927	5.6068	6.8504
U133A__BMI1	5.2627	6.8977	5.6401	9.3719	6.6391	5.3895	6.8203	7.5417	5.7456	5.0391	5.5369	5.7849	6.4265	5.3789	5.998	6.2942	5.6207	6.3277	6.0755	7.9302	5.5347	5.2115	7.0147	5.6888	5.6715	6.5148	6.4517	7.106	6.8552	5.8714	5.5429	7.4405	6.1095	6.7911
U133A__MXRA7	7.3883	5.2513	6.1786	7.3459	8.8708	7.994	7.5735	8.5232	8.4778	9.4836	7.0129	5.6822	5.2279	10.1797	9.496	8.2414	9.2301	5.9779	6.369	8.1878	10.6844	7.7324	6.698	5.4442	5.147	8.9371	8.2772	5.5672	5.5043	5.2859	7.7395	8.9281	5.6894	7.6177
U133A__CTGF	7.1473	3.7722	4.1421	3.9205	8.5961	9.9978	4.0779	4.3177	9.4636	4.2303	4.7664	5.4268	6.0839	8.247	7.842	4.0585	9.9469	3.8967	4.0791	3.933	5.2649	5.107	4.0025	4.9953	7.9564	9.3229	4.4806	4.498	6.5857	7.0046	4.3973	4.0011	4.4522	3.768
U133A__FNBP1L	5.7282	5.7353	6.3034	7.1137	5.7258	4.9683	6.9366	5.9928	5.0314	4.7531	5.4856	5.0975	6.6526	6.1696	6.4593	6.5269	4.7117	4.8914	4.3192	7.5094	4.6485	3.3218	6.0796	6.3206	5.9159	4.2674	4.7058	6.4658	6.9367	6.033	5.5292	7.0101	5.9501	6.1131
