Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	UACC812	ZR751	ZR75B
Response	1	1	-1	1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	1	1	1	1
SNP__UGT2B17	0.01	-0.141	-0.182	-0.133	-0.365	0.075	-1.995	0.185	-0.225	-0.258	0.075	-1.975	0.354	-0.145	0.018	-0.167	-0.398	-0.088	-0.067	0.394	-0.254	-0.291	-0.072	-0.197	-0.166	-0.37	-0.316	0.435	0.038	-0.051	-0.247	-0.232	0.456	-0.486	-0.171	0.975	-0.064	-1.543	-1.564	-0.039	0.527
SNP__LCE3C	-1.958	0.495	-0.129	-2.13	-1.861	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	0.986	-1.643	0.174	0.268	-0.255	-0.111	0	-1.569	-1.451	-2.241	-1.915	-2.744	-2.627
SNP__LOC645532	0.007	0.125	0.108	0.164	0.226	0.439	0.123	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	0.039	-0.318	0.581	-0.019	-0.26	0.356	0.244	-2.168	0.414	0.366	-0.158	0.3	0.539	-0.052	0.421	0.033	0.474	-0.195	0.037	-2.549	0.037	0.218	0.061	-2.489	-3.192
SNP__LCE3B	-1.958	0.495	-0.129	-2.13	0.134	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	0.986	-1.643	0.174	0.268	-0.255	-0.111	0	-1.569	-1.451	0.291	-1.915	-2.744	-2.627
SNP__SIRPB1	-0.723	-0.75	2.227	0.526	0.315	0.09	-0.904	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.649	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	-0.378	2.051	0.127	0.42	-0.216	-0.546	1.408	1.834	0.043	-0.677	-0.282	-3.013	-2.989
SNP__NME7	0.651	0.492	-0.676	0.603	0.1	0.446	0.01	-2.446	-2.095	0.059	0.09	-0.024	0.403	-0.156	-2.232	0.236	0.524	0.176	0.183	-0.096	0.277	-0.064	0.176	0.296	-1.802	-3.103	-0.222	-0.052	0.032	0.286	0.131	0.263	-0.23	-0.172	0	0.084	0.243	0.291	0.067	0.445	-0.997
SNP__ODF4	-0.021	-0.166	-0.156	-0.362	0.458	-0.517	0.009	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.276	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-4.426	-0.61	-0.207	-0.217	-0.182	0.164	-0.556	-0.156	-0.318	-3.845	-0.299	-3.855	-4.116
SNP__UGT2B28	-2.183	-0.141	-0.182	-0.133	-0.446	0.075	-0.377	-0.317	-0.225	-0.258	-0.358	-2.842	-0.056	-2.173	-1.756	-0.167	-0.772	-0.088	-0.067	-0.127	-0.254	-0.291	-0.072	-0.197	-0.166	-0.071	-0.759	-0.057	-0.463	-0.051	-0.247	-0.232	0.456	0.232	-0.171	1.059	-0.859	-0.19	-0.326	-0.039	0.036
SNP__MGAM	0.006	-2.204	0.355	0.322	-0.135	0.422	0.032	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.557	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	0.18	-0.409	0.099	-1.689	0.526	-3.317	-0.006	-0.234	0.23	-0.287	-0.317	-0.042	0.028
SNP__LOC553158	-0.003	-0.092	-0.161	-0.475	-0.154	0.018	0.141	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	-0.369	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	-0.38	0.314	-0.219	-0.216	-0.182	-0.152	0.004	-0.056	0.075	0.009	-2.757	-0.431	-0.368
SNP__BCAS1	0.013	1.068	2.02	0.565	0.515	0.076	0.262	0.13	-0.213	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.274	0.352	0.268	0.169	0.238	0.305	2.058	2.247	0.637	0.143	0.83	0.252	0.232	0.166	0.149	1.244	-0.184	0.683	0.028	0.371	0.855	-0.137	0.853	0.395	0.305
SNP__PTPRN2	-0.54	0.091	0.355	2.806	0.212	0.084	-0.001	-0.263	-0.23	1.006	2.779	0.286	0.411	-0.76	0.007	-0.229	0.492	0.264	0.45	0.006	0.092	0.206	0.691	0.507	-0.225	0.13	-0.332	2.594	0.507	-0.039	-0.249	0.258	0.53	-0.226	0.002	-0.266	0.263	-0.308	-0.288	-0.046	0.028
SNP__ZPBP2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	2.132	-0.034	0.021
SNP__LOC402095	0.006	0.099	-0.053	-0.097	-0.173	-0.161	-0.004	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	0.06	-0.061	-0.404	-0.742	0.019	-0.01	0.082	0.096	-0.16	-4.366	0.429	-0.033	0.247	-3.944	-0.21	0.067	0.161	-0.168	-0.029	-0.096	0.031	0.03	-0.806	-0.066	-0.373
SNP__GSDML	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.495	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	2.132	-0.034	0.021
SNP__RHD	-2.45	-0.136	-0.234	-0.44	0.218	-0.163	0	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-2.184	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.321	-1.752	0.344	-0.015	-0.338	0.387	0.194	0.262	0.226	0.206	0.018	-0.156	0.245	0.482	0.165	-2.045	-1.621
