Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	UACC812	ZR751	ZR75B
Response	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	-1
SNP__NEUROD2	0.376	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.424	-0.268	-0.434	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	2.132	-0.034	0.021
SNP__PPP1R1B	0.376	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.424	-0.268	-0.434	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	2.132	-0.034	0.021
SNP__STARD3	0.376	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.424	-0.268	-0.434	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	2.132	-0.034	0.021
SNP__TCAP	0.376	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.424	-0.268	-0.434	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	2.132	-0.034	0.021
SNP__PNMT	0.376	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.424	-0.268	-0.434	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	2.132	-0.034	0.021
SNP__ZNFN1A3	0.376	-0.203	1.862	0.242	-0.07	0.096	-0.423	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	-0.04	0.424	-0.268	-0.434	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	2.132	-0.034	0.021
SNP__PERLD1	0.376	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.424	-0.268	-0.434	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	2.132	-0.034	0.021
SNP__ERBB2	0.376	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	-0.04	0.424	-0.268	-0.434	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	3.576	0.282	-0.144	2.132	-0.034	0.021
SNP__C17orf37	0.376	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.424	-0.268	-0.434	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	2.132	-0.034	0.021
