Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T4	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	-1
SNP__LARGE	-0.004	-0.142	-0.161	-0.475	-0.154	0.018	0.078	0.287	-0.231	0.567	-0.012	-0.425	0.074	-0.114	-0.193	-0.483	-0.368	0.89	-0.549	-0.439	0.167	-3.103	-0.404	-0.239	-0.172	0.115	-0.013	0.027	-0.464	0.314	-0.219	-0.226	-0.182	-0.306	0.004	0.114	-0.065	-2.538	0.635	-0.327	-2.579	0.369	0.08
SNP__ZPBP2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__LOC643847	-0.033	0.113	0.435	-0.1	0.207	-0.493	-0.403	-0.09	0.239	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.041	0.28	0.23	-0.021	-0.225	-0.181	0.177	0.093	-0.11	0.111	-0.222	-0.037	0.196	-0.033	0.174	0.051	-0.159	0.307	-0.016	-3.563	-0.242	0.194	0.014	0.326	0.074	-0.458	-0.383
SNP__GSDML	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.495	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__LRRN6C	-0.647	-0.178	-1.03	-0.386	-0.879	0.044	-0.067	1.187	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.151	-0.267	-2.607	0.735	-0.081	-0.479	-0.244	0.066	0.368	-3.104	-0.064	-0.433	0.306	-0.219	-0.216	-0.833	-0.866	-0.035	-0.357	-0.311	-0.167	0.241	-0.306	-0.296	-0.064	0.019
SNP__WWOX	-2.18	-0.55	0.092	0.19	-2.109	-1.822	-0.483	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-2.29	-1.709	-0.412	-1.319	0.442	-2.607	0.572	0.448	-0.661	-2.395	0.457	-2.223	-2.09	-1.648	-1.899	-0.561	-0.206	-2.091	0.026	0.541	1.107	-0.132	-1.443	-2.033	0.479	-0.056	-0.372
SNP__FLJ20433	0.003	-0.163	0.153	0.184	0.228	0.458	0.293	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	0.271	-1.534	-0.201	0.047	-0.158	-0.198	0.02	-0.131	0.091	-0.054	0.182	0.292	-0.296	-0.066	0.024
SNP__UGT2B17	0.01	-0.141	-0.182	-0.133	-0.365	0.075	-1.995	0.185	-0.225	-0.258	0.075	-1.975	0.354	-0.145	0.018	-0.167	-0.398	-0.088	-0.067	0.394	-0.254	-0.291	-0.072	-0.197	-0.166	-0.37	-0.316	0.435	0.038	-0.051	-0.247	-0.232	0.456	-0.486	-0.171	0.975	-0.064	-1.543	0.444	-1.43	-1.564	-0.039	0.527
SNP__CRKRS	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
SNP__LOC644125	-1.687	-2.113	0.929	0.894	-1.571	-0.54	-2.092	-1.657	0.909	-2.359	0.077	-2.166	0.968	1.128	-1.62	-0.648	-1.946	0.364	0.146	-1.847	0.007	0.651	-2.228	-1.774	-1.502	0.922	-1.829	1.004	0.987	-0.051	-0.226	-1.901	-1.977	0.021	-2.172	-1.48	-1.433	-0.348	0.113	-1.841	0.456	0.568	0.28
SNP__SHCL1	0.37	-3.776	-0.146	0.229	-0.093	0.096	0.186	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.357	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	-0.532	-0.163	-0.576	-0.138	-0.114	0.06	-0.305	0.334	-0.139	0.101	0.301	0.082	0.011	0.023
SNP__SLC25A37	0.027	-0.532	-0.332	-0.456	0.511	-0.54	-0.377	-0.425	0.152	-0.295	0.09	-0.453	-0.37	-3.962	-3.239	-0.59	-0.956	-0.036	-4.159	-0.445	-1.129	0.047	-0.433	-0.537	-3.29	-0.251	-0.823	-0.414	-4.081	-0.414	-0.218	-0.552	-5.047	-0.129	0.026	-0.156	-0.331	-0.746	-0.369	-3.624	-0.274	-0.066	0.011
SNP__LOC644144	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	0.004	-0.163	-0.576	-0.138	0.22	0.06	-0.305	0.334	-3.028	0.101	0.301	0.082	0.011	0.023
SNP__PPARBP	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
SNP__FLJ10120	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	0.004	-0.163	-0.576	-0.138	0.22	0.06	-0.305	0.334	-3.028	0.101	0.301	0.082	0.011	0.023
SNP__LOC442117	0.015	-0.202	-0.174	-1.788	-0.878	0.066	-1.931	-0.432	-0.227	-2.15	-1.141	-0.466	-0.032	-1.806	0.124	0.783	-1.455	-0.09	-1.049	-0.029	-0.254	-0.291	0.035	-0.206	1.777	-1.562	0.116	0.17	-0.454	-0.052	-0.244	-0.234	-1.502	-2.091	-0.171	-0.178	-0.008	-1.681	0.04	-0.307	-0.324	-0.04	0.033
SNP__LOC643473	-0.26	-0.178	-0.352	-0.211	-0.07	0.064	0.017	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.573	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.162	0.211	-0.164	-0.383	-0.676	0.188	0.002	-0.053	-0.07	-0.142	0.196	-0.139	-0.296	-0.159	0.024
SNP__ANKRD15	-0.657	-0.203	-1.013	-3.018	0.182	-0.496	-0.573	-0.451	0.095	0.341	-0.475	-1.121	-0.033	-0.739	-0.129	0.558	0.296	-1.137	-0.27	0.831	0.742	-2.347	0.383	0.366	-1.564	0.112	-0.84	-0.124	0.506	-0.627	-0.234	-0.228	-0.826	-2.804	-0.073	-0.722	-0.332	-0.181	-0.404	-0.306	-0.296	-0.084	-0.001
SNP__HSF2BP	0.006	-4.25	-0.24	-0.037	0.118	0.076	-0.011	-3.725	0.175	-0.238	0.057	-3.503	-2.536	-0.103	-0.267	-0.099	0.613	0.096	0.218	-3.535	-0.041	-4.092	0.46	0.412	0.344	-4.152	-0.443	0.138	-3.342	-0.034	-2.052	-3.431	0.422	0.48	0.013	0.203	-3.924	0.039	0.214	0.058	-2.736	-0.417	-0.377
