Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T4	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1
SNP__FLJ20433	0.003	-0.163	0.153	0.184	0.228	0.458	0.293	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	0.271	-1.534	-0.201	0.047	0.531	-0.158	-0.198	0.02	-0.131	0.091	-0.054	0.182	0.292	-0.296	-0.066	0.024
SNP__LOC643847	-0.033	0.113	0.435	-0.1	0.207	-0.493	-0.403	-0.09	0.239	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.041	0.28	0.23	-0.021	-0.225	-0.181	0.177	0.093	-0.11	0.111	-0.222	-0.037	0.196	-0.033	0.174	0.051	-0.016	-0.159	0.307	-0.016	-3.563	-0.242	0.194	0.014	0.326	0.074	-0.458	-0.383
SNP__UGT2B17	0.01	-0.141	-0.182	-0.133	-0.365	0.075	-1.995	0.185	-0.225	-0.258	0.075	-1.975	0.354	-0.145	0.018	-0.167	-0.398	-0.088	-0.067	0.394	-0.254	-0.291	-0.072	-0.197	-0.166	-0.37	-0.316	0.435	0.038	-0.051	-0.247	-0.232	0.373	0.456	-0.486	-0.171	0.975	-0.064	-1.543	0.444	-1.43	-1.564	-0.039	0.527
SNP__LARGE	-0.004	-0.142	-0.161	-0.475	-0.154	0.018	0.078	0.287	-0.231	0.567	-0.012	-0.425	0.074	-0.114	-0.193	-0.483	-0.368	0.89	-0.549	-0.439	0.167	-3.103	-0.404	-0.239	-0.172	0.115	-0.013	0.027	-0.464	0.314	-0.219	-0.226	0	-0.182	-0.306	0.004	0.114	-0.065	-2.538	0.635	-0.327	-2.579	0.369	0.08
SNP__GNTIVH	0	0.087	-0.287	0.024	-1.829	0.268	0.006	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	-0.316	0.473	-0.286	-0.029	-5.759	-0.242	0.183	0.043	-0.039	0.167	0.747	0.227	-0.464	-0.018	-0.226	0.049	-0.084	-0.21	-4.154	0.011	0.196	-0.004	0.916	0.183	0.315	0.074	-0.046	-0.007
SNP__RHD	-2.45	-0.136	-0.234	-0.44	0.218	-0.163	0	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-2.184	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.321	-1.752	0.344	-0.015	-0.338	0.387	0.194	0.262	-2.396	0.226	0.206	0.018	-0.156	0.245	0.482	-0.348	-0.299	0.165	-2.045	-1.621
SNP__DLG2	-0.634	0.113	-0.244	-0.632	-1.16	-0.541	-0.389	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.063	0.242	0.23	0.256	-0.225	-0.181	0.19	2.017	-0.109	0.096	-0.208	-0.433	0.866	-0.044	0.139	0.051	-0.064	-0.884	-2.328	-0.016	-0.106	-0.349	-0.024	0.014	0.324	0.333	-0.258	-0.386
SNP__LOC644125	-1.687	-2.113	0.929	0.894	-1.571	-0.54	-2.092	-1.657	0.909	-2.359	0.077	-2.166	0.968	1.128	-1.62	-0.648	-1.946	0.364	0.146	-1.847	0.007	0.651	-2.228	-1.774	-1.502	0.922	-1.829	1.004	0.987	-0.051	-0.226	-1.901	0.847	-1.977	0.021	-2.172	-1.48	-1.433	-0.348	0.113	-1.841	0.456	0.568	0.28
SNP__ZPBP2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
