Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	1	1	1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	1	1	1	1	1	1	1	-1	1
SNP__LARGE	-0.004	-0.142	-3.874	-0.161	-0.475	-0.154	0.018	0.287	-0.231	0.567	-0.012	-0.425	0.074	-0.114	-0.193	-0.483	0.89	-0.549	-0.439	0.167	-3.103	-0.404	-0.239	-0.172	0.115	-0.013	0.027	0.314	-0.226	-0.182	-0.306	0.004	-2.398	-0.065	-2.538	-0.327	-2.579	0.369	0.08
SNP__IGL@	-1.694	-1.159	-3.74	0.248	-2.86	-0.961	-3.126	0.818	-0.216	1.28	-0.012	-0.384	0.122	-0.092	-2.723	0.714	-0.047	0.611	0.439	0.55	0.535	-0.404	-0.171	0.179	-0.122	0.659	0.396	0.716	-1.059	0.226	-0.148	0.565	0.383	-0.163	-3.338	-3.43	0.69	0.757	0.514
SNP__DLG2	-0.634	0.113	0.18	-0.244	-0.632	-1.16	-0.541	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.242	0.23	0.256	-0.225	-0.181	0.19	2.017	-0.109	0.096	-0.208	-0.433	-0.044	0.051	-0.884	-2.328	-0.016	0.162	-0.349	-0.024	0.324	0.333	-0.258	-0.386
SNP__LCE3C	-1.958	0.495	-2.398	-0.129	-2.13	-1.861	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-2.222	-1.451	-2.241	-1.976	-1.915	-2.744	-2.627
SNP__LOC440040	0.027	0.113	-0.2	-0.038	-0.316	-0.995	-0.522	0.311	0.239	-0.316	-0.152	0.205	-0.048	0.224	-0.105	0.093	-2.19	0.23	0.333	-0.225	-0.31	0.181	0.238	-0.11	0.111	-0.176	0.003	-0.043	0.051	0.178	0.416	-0.006	0.149	-0.349	-1.651	0.326	0.075	-0.042	0.023
SNP__LCE3B	-1.958	0.495	-2.398	-0.129	-2.13	0.134	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-2.222	-1.451	0.291	-1.976	-1.915	-2.744	-2.627
SNP__LOC440300	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__LOC644144	0.37	-3.761	-0.191	-0.146	0.229	-0.098	0.096	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__LOC388152	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
