Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T4	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	1	1	1	1	-1	1
SNP__POU6F2	0.01	0.649	0.468	0.372	-2.998	0.082	-0.094	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.657	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.104	0.17	0.191	0.226	-0.085	0.369	0.578	0.431	-0.201	-0.027	0.546	-2.616	0.126	0.277	0.315	0.335	0.558	0.36
SNP__LOC440300	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	0.003	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.455	-0.64	-0.24	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-0.224	-0.037	0	-2.542	0.085	-0.388
SNP__LOC388152	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	0.003	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.455	-0.64	-0.24	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-0.224	-0.037	0	-2.542	0.085	-0.388
SNP__LOC161527	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	0.003	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.455	-0.64	-0.24	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-0.224	-0.037	0	-2.542	0.085	-0.388
SNP__NEUROD2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__PPP1R1B	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__STARD3	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__SLC25A24	0.014	0.102	-0.243	-0.156	0.224	0.456	0.01	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	0.04	-3.632	0.224	0.636	0.251	0.226	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.409	-0.063	0.151	0.268	0.164	0.188	-4.56	-3.419	-0.27	0.043	0.045	-4.56	-0.303	-0.389	-0.36
SNP__ZNFN1A3	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__TCAP	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__PNMT	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__PERLD1	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__ZPBP2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__SHCL1	0.37	-3.776	-0.146	0.229	-0.093	0.096	0.186	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.357	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.344	-0.532	-0.163	-0.576	-0.138	-0.114	0.06	-0.305	0.334	-0.139	0.101	0.301	0.082	0.011	0.023
SNP__GSDML	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.495	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__C17orf37	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__ERBB2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__GRB7	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__LOC643473	-0.26	-0.178	-0.352	-0.211	-0.07	0.064	0.017	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.573	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.162	0.211	-0.164	-0.383	-0.676	0.188	0.002	-0.053	-0.07	-0.142	0.196	-0.139	-0.296	-0.159	0.024
SNP__LOC645532	0.007	0.125	0.108	0.164	0.226	0.439	0.123	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	0.039	-0.318	0.581	-0.019	-0.26	0.356	0.244	-2.168	0.414	0.366	-0.158	0.3	0.539	-0.052	0.421	0.033	0.474	-0.195	0.037	-2.549	0.037	0.218	0.289	0.053	0.061	-2.489	-3.192
