Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	1	-1	1	1	-1	1	1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	-1
SNP__TRY6	0.012	0.553	0.186	0.355	0.322	-1.816	0.45	-1.938	0.854	0.715	-0.643	0.29	1.134	-4.448	-0.251	-2.001	-1.912	0.015	-2.121	-0.395	-0.392	0.18	0.067	0.122	-0.125	-2.332	0.191	-0.039	0.48	0.526	-0.864	-2.463	-0.313	0.262	-2.35	-0.319	0.188	-0.042	0.028
SNP__UGT2B28	-2.183	-0.141	-0.225	-0.182	-0.133	-0.446	0.075	-0.317	-0.225	-0.258	-0.358	-2.842	-0.056	-2.173	-1.756	-0.167	-0.088	-0.067	-0.127	-0.254	-0.291	-0.072	-0.197	-0.166	-0.071	-0.759	-0.057	-0.051	-0.232	0.456	0.232	-0.171	-0.063	-0.859	-0.19	-0.316	-0.326	-0.039	0.036
SNP__LOC646227	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__BTNL3	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__CRKRS	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.013	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__CDKN2A	-0.648	-0.203	-2.561	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-2.756	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__RHD	-2.45	-0.136	-0.18	-0.234	-0.44	0.218	-0.163	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.321	-1.752	0.344	-0.015	0.387	0.262	0.226	0.206	0.018	0.057	0.245	0.482	-0.299	0.165	-2.045	-1.621
SNP__SMAD4	0.013	-0.541	-0.881	0.086	-0.128	-0.147	-0.178	-0.444	0.428	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.803	-0.454	-0.443	-0.217	-0.028	-0.461	-0.556	-0.641	-0.525	-0.405	-0.548	-0.031	-0.56	0.211	-0.147	-0.015	-0.629	-0.367	-0.793	-0.615	-0.284	0.239	0.234
SNP__CDKN2B	-0.648	-0.203	-2.827	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-0.081	-1.014	-1.026	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__LRRN6C	-0.647	-0.178	-0.236	-1.03	-0.386	-0.879	0.044	1.187	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.151	-0.267	-2.607	0.735	-0.081	-0.479	-0.244	0.066	0.368	-3.104	-0.064	0.306	-0.216	-0.833	-0.866	-0.035	-0.376	-0.311	-0.167	-0.306	-0.296	-0.064	0.019
SNP__LOC440040	0.027	0.113	-0.2	-0.038	-0.316	-0.995	-0.522	0.311	0.239	-0.316	-0.152	0.205	-0.048	0.224	-0.105	0.093	-2.19	0.23	0.333	-0.225	-0.31	0.181	0.238	-0.11	0.111	-0.176	0.003	-0.043	0.051	0.178	0.416	-0.006	0.149	-0.349	-1.651	0.326	0.075	-0.042	0.023
SNP__ERBB2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	3.576	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__RNF152	0.013	-0.2	-0.881	0.086	-0.162	-2.938	-0.178	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.825	-0.456	0.725	-0.217	-0.028	-0.461	-0.556	-0.637	-1.075	-0.73	-0.548	-0.031	-0.216	0.137	-0.198	-0.015	-3.815	-0.028	-0.793	-0.615	-0.284	0.239	0.234
SNP__ODF4	-0.021	-0.166	0.165	-0.156	-0.362	0.458	-0.517	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-0.61	-0.217	-0.182	0.164	-0.556	-0.366	-0.318	-3.845	-0.307	-0.299	-3.855	-4.116
SNP__PPARBP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__LOC402359	-0.648	-0.203	-0.232	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-0.221	-1.152	0.285	-0.464	0.797	-0.088	-0.085	-0.245	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__RIMS1	0.009	-0.208	-0.243	0.001	-0.619	-0.508	-0.563	-0.083	-0.233	1.122	0.08	-3.083	-0.036	-0.169	0.02	-0.056	-0.125	0.423	0.686	-0.981	-0.047	-0.377	0.011	-0.046	-0.129	0.41	0.231	0.284	-0.619	-2.669	-0.217	0.017	0.01	-0.147	0.226	-0.315	0.062	-0.222	-0.379
SNP__ZNF28	0.003	-0.12	0.172	0.093	0.166	0.219	0.1	0.152	0.408	-0.301	0.1	0.43	-0.364	-3.273	0.478	0.334	0.584	-0.376	0.016	-3.578	0.287	-0.019	-0.177	-0.641	0.119	0.029	0.182	-0.021	-0.158	-0.159	-0.223	0.002	0.286	0.55	0.917	-0.286	0.088	0.066	0.001
SNP__LCE3B	-1.958	0.495	-2.398	-0.129	-2.13	0.134	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-2.222	-1.451	0.291	-1.976	-1.915	-2.744	-2.627
SNP__C17orf37	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__FLJ35282	-0.648	-0.203	-0.236	-1.03	-0.658	-1.017	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.627	-0.228	-2.484	-2.568	-0.025	-0.376	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__ZNF462	0.003	-0.163	0.174	0.13	0.149	0.209	0.064	0.184	0.133	0.094	-0.15	0.238	-0.022	-0.124	0.274	0.147	-0.073	-0.126	0.146	-0.019	-0.088	-0.064	0.157	-0.15	-0.147	0.207	-4.605	-0.633	0.047	-0.211	0.161	0.02	-0.349	0.028	-0.176	0.297	-0.296	-0.055	0.024
SNP__FBXL20	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__GRB7	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__NEUROD2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__C9orf53	-0.648	-0.203	-0.232	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-0.088	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__TCAP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__MTAP	-0.648	-0.203	-0.232	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-0.221	-1.152	0.285	-2.607	0.797	-0.088	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__PPP1R1B	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PNMT	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
