Cell lines	600MPE	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	-1
SNP__NEUROD2	0.376	1.965	1.862	0.242	-0.07	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PPP1R1B	0.376	1.965	1.862	0.242	-0.07	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__STARD3	0.376	1.965	1.862	0.242	-0.07	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__TCAP	0.376	1.965	1.862	0.242	-0.07	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PNMT	0.376	1.965	1.862	0.242	-0.07	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__ZNFN1A3	0.376	1.965	1.862	0.242	-0.07	-0.121	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PERLD1	0.376	1.965	1.862	0.242	-0.07	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__ERBB2	0.376	1.965	1.862	0.242	-0.07	-0.121	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__C17orf37	0.376	1.965	1.862	0.242	-0.07	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__GRB7	0.376	1.965	1.862	0.242	-0.07	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC643473	-0.26	-0.178	-0.352	-0.211	-0.07	0.017	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.573	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.162	0.211	-0.164	-0.383	-0.204	-0.676	0.188	0.002	-0.053	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__CRKRS	0.376	1.965	1.862	0.242	-0.07	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.388	-0.013	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__LOC402359	-0.648	-0.203	-1.03	-0.275	0.166	-0.067	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-0.221	0.296	-1.152	0.285	-0.464	0.797	-0.088	-0.085	-0.245	0.031	-2.711	-0.845	-0.064	-0.429	-0.627	-0.219	-0.228	-2.92	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__TRY6	0.012	0.553	0.355	0.322	-1.816	-0.009	-1.938	0.854	0.715	-0.643	0.29	1.134	-4.448	-0.251	-2.001	0.557	-1.912	0.015	-2.121	-0.395	-0.392	0.18	0.067	0.122	-0.125	-2.332	0.191	-3.901	-0.039	0.099	0.48	-0.204	0.526	-0.864	-2.463	-3.111	0.262	-2.35	-0.319	0.188	-0.042	0.028
SNP__FBXL20	0.376	1.965	1.862	0.242	-0.07	-0.121	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.388	-0.013	-0.207	1.946	-0.002	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	1.743	-0.034	0.021
