Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	1	-1	-1	-1
SNP__GBP3	0.014	0.102	-0.219	-0.252	-0.189	0.15	-0.545	-0.062	-0.05	-3.626	0.098	-0.463	-0.029	-0.116	0.296	-0.263	0.218	-0.037	0.3	0.226	-0.47	-0.55	-0.126	0.708	-0.172	-0.032	-0.063	0.266	0.462	0.202	-4.112	-0.139	0.134	-0.035	0.043	-0.3	-3.392	-0.366	-0.36
SNP__DLG2	-0.634	0.113	0.18	-0.244	-0.632	-1.16	-0.541	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.242	0.23	0.256	-0.225	-0.181	0.19	2.017	-0.109	0.096	-0.208	-0.433	-0.044	0.051	-0.884	-2.328	-0.016	-0.106	0.162	-0.349	-0.024	0.324	0.333	-0.258	-0.386
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.526	0.315	0.09	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.834	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__SLC44A5	0.014	0.102	-0.219	-0.32	-0.214	0.166	-3.945	-0.041	0.54	-0.944	0.098	-0.494	-0.029	-0.116	-0.193	-0.263	-0.062	-3.665	0.254	0.226	-0.47	-0.201	-0.126	0.39	-0.172	-0.032	-0.063	0.279	-3.573	0.174	0.014	-0.139	0.045	-0.082	0.058	-0.3	-0.284	-0.366	-0.36
SNP__CDKN2A	-0.648	-0.203	-2.561	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-1.152	0.285	-2.607	0.797	-2.756	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__GALNTL2	0.008	-0.153	0.157	-0.037	-0.153	0.023	0.075	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	0.123	-0.208	-0.457	-0.058	-0.248	-0.132	-0.101	0.017	-0.064	-0.361	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__HSF2BP	0.006	-4.25	0.188	-0.24	-0.037	0.118	0.076	-3.725	0.175	-0.238	0.057	-3.503	-2.536	-0.103	-0.267	0.096	0.218	-3.535	-0.041	-4.092	0.46	0.412	0.344	-4.152	-0.443	0.138	-0.034	-3.431	0.422	0.48	0.013	0.203	-0.053	-3.924	0.039	0.058	-2.736	-0.417	-0.377
SNP__RPL31P1	0.006	-4.25	0.188	-0.24	-0.037	0.118	0.076	-3.725	0.175	-0.238	0.057	-3.503	-2.536	-0.103	-0.267	0.096	0.218	-3.535	-0.041	-4.092	0.46	0.412	0.344	-4.152	-0.443	0.138	-0.034	-3.431	0.422	0.48	0.013	0.203	-0.053	-3.924	0.039	0.058	-2.736	-0.417	-0.377
SNP__C6orf142	0.009	1.173	-0.215	1.823	-0.608	1.949	1.676	1.548	-0.236	-0.367	1.675	-1.374	2.177	2.205	0.02	1.688	1.511	-0.392	2.174	0.149	1.363	0.084	2.165	-0.129	0.392	0.246	-0.056	1.373	0.473	2.372	0.017	1.813	0.346	0.144	-2.114	2.116	0.062	-0.222	-0.379
SNP__LOC252968	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC645532	0.007	0.125	0.185	0.108	0.164	0.226	0.439	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.318	0.581	-0.019	-0.26	0.356	0.244	-2.168	0.414	0.366	-0.158	0.3	-0.052	0.033	0.474	-0.195	0.037	-2.549	0.25	0.037	0.218	0.053	0.061	-2.489	-3.192
SNP__FLJ36492	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	-0.411	-0.028	0.258	-1.046	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	-1.31	0.357	-0.431	-0.364
SNP__LOC654346	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__MGC48595	-0.006	0.339	-0.173	0.142	-0.418	0.204	-0.18	0.109	0.97	-0.302	-0.286	-0.06	-0.426	-3.549	-0.064	0.297	0.026	-0.436	-0.187	-0.081	-1.966	-2.039	-1.651	-0.202	0.111	-0.318	0.303	0.04	0.184	-0.121	-0.014	0.027	-2.016	0.006	-2.601	0.279	-2.152	-0.052	-0.394
SNP__LOC147158	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__GSTM1	1.308	0.102	2.472	-0.243	-0.13	1.142	0.296	0.868	-0.518	-0.31	1.245	0.005	1.479	-0.132	2.103	-0.257	-0.444	2.34	1.976	1.276	2.435	2.546	1.445	1.813	-0.172	1.723	-0.063	1.282	0.164	0.188	1.108	1.492	-0.384	-0.27	0.043	-0.303	-0.303	1.499	1.386
SNP__WWOX	-2.18	-0.55	-2.831	0.092	0.19	-2.109	-1.822	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	-1.709	-0.412	-1.319	0.442	-2.607	0.572	0.448	-0.661	-2.395	0.457	-2.223	-1.648	-0.561	-0.206	-2.091	0.026	0.541	-2.344	1.107	-0.132	-2.033	0.479	-0.056	-0.372
SNP__LOC201288	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__FSTL5	-0.003	-0.202	0.738	-0.174	-3.627	-0.378	0.066	-0.441	-0.227	-0.329	-3.392	-0.466	-0.032	-0.143	0.124	-0.09	-1.066	-0.023	-0.254	-0.291	0.035	-0.206	-0.168	-1.14	0.116	0.17	-0.052	-0.234	-0.225	0.382	-0.171	-0.17	-0.079	-0.008	-3.276	-0.307	-0.314	-0.04	0.033
SNP__SLC25A24	0.014	0.102	0.444	-0.243	-0.156	0.224	0.456	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-3.632	0.224	0.636	0.251	0.226	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.063	0.268	0.164	0.188	-4.56	-3.419	0.083	-0.27	0.043	-4.56	-0.303	-0.389	-0.36
SNP__CDKN2B	-0.648	-0.203	-2.827	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-1.152	0.285	-2.607	0.797	-0.081	-1.014	-1.026	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__LOC220594	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.42133	-0.431	-0.364
SNP__RPS10P2	0.013	0.304	-2.773	0.122	0.437	-0.355	0.09	0.165	0.439	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.604	-0.007	0.422	-0.08	0.305	0.168	0.109	0.067	0.143	-1.165	0.252	0.157	-0.255	-0.374	0.868	0.028	0.109	0.056	0.024	-0.133	-0.292	-0.31	-0.202	-0.375
SNP__FAM106A	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__LOC252840	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__C9orf53	-0.648	-0.203	-0.232	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-1.152	0.285	-2.607	0.797	-0.088	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__MTAP	-0.648	-0.203	-0.232	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-1.152	0.285	-2.607	0.797	-0.088	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
