Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	1
SNP__LOC643827	-0.26	-0.178	-0.209	-0.352	-0.211	-0.099	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.159	-0.186	0.2	-0.24	0.047	-2.826	0.168	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__LOC644144	0.37	-3.761	-0.191	-0.146	0.229	-0.098	0.096	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.305	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__SHCL1	0.37	-3.776	-0.191	-0.146	0.229	-0.093	0.096	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.532	-0.576	-0.138	-0.114	0.06	-0.305	-0.354	0.334	-0.139	0.301	0.082	0.011	0.023
SNP__FLJ10120	0.37	-3.761	-0.191	-0.146	0.229	-0.098	0.096	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.305	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__BCAS1	0.013	1.068	-2.242	2.02	0.565	0.515	0.076	0.13	-0.213	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.352	0.268	0.169	0.238	0.305	2.058	2.247	0.637	0.143	0.83	0.252	0.166	1.244	-0.184	0.683	0.028	0.371	0.333	0.855	-0.137	0.32	0.853	0.395	0.305
SNP__GNTIVH	0	0.087	-0.89	-0.287	0.024	-1.829	0.268	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	0.473	-0.286	-0.029	-5.759	-0.242	0.183	0.043	-0.039	0.167	0.747	0.227	-0.018	0.049	-0.21	-4.154	0.011	0.196	-0.014	-0.004	0.916	0.315	0.074	-0.046	-0.007
SNP__FHIT	0.008	-0.512	-0.843	-0.527	-0.136	-1.144	-0.552	-0.124	-0.233	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-0.262	-1.066	-0.422	-0.748	0.159	-0.429	-0.566	-0.69	-0.584	-0.186	-1.065	-0.058	-0.613	-0.183	0.859	0.017	-0.265	-0.361	-2.101	0.266	-0.31	-0.272	-0.059	-0.371
SNP__LOC440040	0.027	0.113	-0.2	-0.038	-0.316	-0.995	-0.522	0.311	0.239	-0.316	-0.152	0.205	-0.048	0.224	-0.105	0.093	-2.19	0.23	0.333	-0.225	-0.31	0.181	0.238	-0.11	0.111	-0.176	0.003	-0.043	0.051	0.178	0.416	-0.006	-0.126	0.149	-0.349	-1.651	0.326	0.075	-0.042	0.023
SNP__FLJ20433	0.003	-0.163	-3.396	0.153	0.184	0.228	0.458	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	-1.534	0.047	-0.158	-0.198	0.02	-0.131	-0.147	0.091	-0.054	0.292	-0.296	-0.066	0.024
SNP__KLRC2	0.038	-4.945	0.128	0.073	0.172	-0.258	-0.537	-0.087	0.204	-1.394	0.077	-0.416	0.21	0.23	0.269	-0.566	0.364	0.146	-0.033	0.007	-0.092	-0.409	-0.216	-0.322	0.115	0.239	0.193	-0.051	-1.749	-0.206	0.108	0.002	0.177	0.016	-0.249	0.216	-0.858	-0.32	0.568	0.28
SNP__SLC25A24	0.014	0.102	0.444	-0.243	-0.156	0.224	0.456	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	-3.632	0.224	0.636	0.251	0.226	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.063	0.268	0.164	0.188	-4.56	-3.419	0.083	-0.27	0.043	-4.56	-0.303	-0.389	-0.36
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.526	0.315	0.09	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.834	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__IGHV3-9	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__IGHV2-10	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__C6orf142	0.009	1.173	-0.215	1.823	-0.608	1.949	1.676	1.548	-0.236	-0.367	1.675	-1.374	2.177	2.205	0.02	1.728	1.688	1.511	-0.392	2.174	0.149	1.363	0.084	2.165	-0.129	0.392	0.246	-0.056	1.373	0.473	2.372	0.017	1.813	0.346	0.144	-2.114	2.116	0.062	-0.222	-0.379
SNP__POU6F2	0.01	0.649	0.2	0.468	0.372	-2.998	0.082	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.104	0.17	0.191	-0.085	0.578	0.431	-0.201	-0.027	0.546	-1.934	-2.616	0.126	0.315	0.335	0.558	0.36
