Cell lines	21MT1	21NT	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1
SNP__UGT2B17	-1.057	-1.164	0.01	-0.141	-0.225	-0.182	-0.133	-0.365	0.075	0.185	-0.225	-0.258	0.075	-1.975	0.354	-0.145	0.018	-0.167	-0.398	-0.088	-0.067	0.394	-0.254	-0.291	-0.072	-0.197	-0.166	-0.37	-0.316	0.435	-0.051	-0.232	0.456	-0.486	-0.171	0.975	-0.064	-1.543	-1.43	-1.564	-0.039	0.527
SNP__LOC402359	-0.35	-0.251	-0.648	-0.203	-0.232	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-0.221	0.296	-1.152	0.285	-0.464	0.797	-0.088	-0.085	-0.245	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__MTAP	-0.302	-0.251	-0.648	-0.203	-0.232	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-0.775	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.088	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__ADCY8	0.387	-2.835	0.03	-0.538	0.187	0.462	0.746	0.56	0.675	0.657	0.154	-4.101	-0.212	0.924	0.583	0.726	0.809	1.565	0.52	-3.152	0.981	0.755	0.486	0.681	0.212	0.457	0.595	0.171	0.433	0.26	0.397	-0.599	0.633	0.206	0.038	0.142	-0.4	0.69	0.319	-2.892	0.234	0.326
SNP__C9orf53	-0.302	-0.251	-0.648	-0.203	-0.232	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.088	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__GSTM1	-0.027	-0.284	1.308	0.102	2.472	-0.243	-0.13	1.142	0.296	0.868	-0.518	-0.31	1.245	0.005	1.479	-0.132	2.103	1.379	1.676	-0.257	-0.444	2.34	1.976	1.276	2.435	2.546	1.445	1.813	-0.172	1.723	-0.063	1.282	0.164	0.188	1.108	1.492	-0.27	0.043	-0.303	-0.303	1.499	1.386
SNP__LOC440300	-0.278	0.078	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__LOC388152	-0.278	0.078	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__LOC161527	-0.278	0.078	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	0.016	-0.224	0	-2.542	0.085	-0.388
