Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1
SNP__WNK1	0.026	0.099	0.18	0.122	0.305	-2.678	-0.54	-0.122	0.189	-3.535	0.077	-0.939	0.322	0.394	0.55	0.107	0.382	0.808	-0.046	0.007	-0.115	-0.394	-0.18	-0.318	0.118	0.462	-0.447	-0.055	0.032	-0.177	0.578	0.01	0.164	0.007	0.06	0.193	0.045	-0.3	0.583	0.28
SNP__CRKRS	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__LOC644125	-1.687	-2.113	0.128	0.929	0.894	-1.571	-0.54	-1.657	0.909	-2.359	0.077	-2.166	0.968	1.128	-1.62	-0.648	0.364	0.146	-1.847	0.007	0.651	-2.228	-1.774	-1.502	0.922	-1.829	1.004	-0.051	-1.901	-1.977	0.021	-2.172	-1.48	-1.792	-1.433	-0.348	-1.841	0.456	0.568	0.28
SNP__PTPRN2	-0.54	0.091	0.186	0.355	2.806	0.212	0.084	-0.263	-0.23	1.006	2.779	0.286	0.411	-0.76	0.007	-0.229	0.264	0.45	0.006	0.092	0.206	0.691	0.507	-0.225	0.13	-0.332	2.594	-0.039	0.258	0.53	-0.226	0.002	-0.266	-0.906	0.263	-0.308	-0.319	-0.288	-0.046	0.028
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__KLRC2	0.038	-4.945	0.128	0.073	0.172	-0.258	-0.537	-0.087	0.204	-1.394	0.077	-0.416	0.21	0.23	0.269	-0.566	0.364	0.146	-0.033	0.007	-0.092	-0.409	-0.216	-0.322	0.115	0.239	0.193	-0.051	-1.749	-0.206	0.108	0.002	0.177	0.016	-0.249	0.216	-0.858	-0.32	0.568	0.28
SNP__ZPBP2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	-0.363	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PPARBP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__LOC643473	-0.26	-0.178	-0.209	-0.352	-0.211	-0.07	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__GSDML	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	-0.363	0.282	-0.144	0.294	2.132	-0.034	0.021
