Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T4	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	1	1	1	1	1	1
SNP__LOC645532	0.007	0.125	0.108	0.164	0.226	0.439	0.123	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	0.039	-0.318	0.581	-0.019	-0.26	0.356	0.244	-2.168	0.414	0.366	-0.158	0.3	0.539	-0.052	0.421	0.033	0.474	-0.195	0.037	-2.549	0.037	0.218	0.289	0.053	0.061	-2.489	-3.192
SNP__CRKRS	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
SNP__SLC25A18	-0.01	-0.086	-0.134	-0.467	2.812	0.05	0.131	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	2.543	0.301	0.217	0.723	0.172	0.157	-0.404	1.888	-0.131	-0.122	0.062	0.04	-0.403	0.328	-0.175	-0.202	-0.752	2.554	0.004	-0.206	0.058	-0.3	0.214	-0.32	-0.289	0.37	0.095
SNP__PPARBP	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
SNP__ANKRD15	-0.657	-0.203	-1.013	-3.018	0.182	-0.496	-0.573	-0.451	0.095	0.341	-0.475	-1.121	-0.033	-0.739	-0.129	0.558	0.296	-1.137	-0.27	0.831	0.742	-2.347	0.383	0.366	-1.564	0.112	-0.84	-0.124	0.506	-0.627	-0.234	-0.228	-0.826	-2.804	-0.073	-0.722	-0.332	-0.181	-0.404	-0.306	-0.296	-0.084	-0.001
SNP__ZPBP2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
SNP__FBXL20	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.388	-0.013	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	1.743	-0.034	0.021
SNP__DLG2	-0.634	0.113	-0.244	-0.632	-1.16	-0.541	-0.389	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.063	0.242	0.23	0.256	-0.225	-0.181	0.19	2.017	-0.109	0.096	-0.208	-0.433	0.866	-0.044	0.139	0.051	-0.884	-2.328	-0.016	-0.106	-0.349	-0.024	0.014	0.324	0.333	-0.258	-0.386
SNP__GSDML	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.495	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.101	0.294	2.132	-0.034	0.021
