Cell lines	21MT1	21NT	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	1
SNP__RPS10P2	-0.33	-0.263	0.013	0.304	-2.773	0.122	-0.355	0.09	0.165	0.439	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	-0.604	-0.007	0.422	-0.08	0.305	0.168	0.109	0.067	0.143	-1.165	0.252	0.157	-0.255	-0.374	0.868	0.028	0.109	0.024	-0.133	-0.292	-0.31	-0.202	-0.375
SNP__C20orf133	-0.33	-0.263	0.013	0.478	-2.773	-3.412	-2.106	0.09	0.165	0.439	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-2.389	0.214	0.422	-3.787	0.305	0.243	-0.409	-0.69	0.143	-3.628	0.252	0.31	0.582	-0.578	0.868	0.028	0.109	0.024	-0.782	-0.292	-3.619	-0.277	-0.375
SNP__LOC643473	0.005	-0.01	-0.26	-0.178	-0.209	-0.352	-0.07	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__POU6F2	0.323	0.52	0.01	0.649	0.2	0.468	-2.998	0.082	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.104	0.17	0.191	-0.085	0.578	0.431	-0.201	-0.027	0.546	-2.616	0.126	0.315	0.335	0.558	0.36
SNP__LOC643827	0.005	-0.01	-0.26	-0.178	-0.209	-0.352	-0.099	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.159	-0.186	0.2	-0.24	0.047	-2.826	0.168	0.002	-0.053	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__RHD	-2.584	-1.63	-2.45	-0.136	-0.18	-0.234	0.218	-0.163	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.321	-1.752	0.344	-0.015	0.387	0.262	0.226	0.206	0.018	-0.156	0.245	0.482	-0.299	0.165	-2.045	-1.621
SNP__HLA-DRB5	0.006	0.028	-0.372	-0.275	-0.505	1.173	-1.003	-0.07	0.144	0.266	-0.275	0.042	0.994	0.89	-1.493	1.236	0.357	-0.486	-0.785	1.626	0.025	1.158	1.099	0.857	0.848	-0.42	-1.807	0.066	-0.056	-0.222	1.776	1.042	0.017	-0.896	-0.019	1.208	0.011	0.062	-0.222	-0.379
SNP__GALNTL2	0.196	0.301	0.008	-0.153	0.157	-0.037	0.023	0.075	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	0.123	-0.208	-0.457	-0.058	-0.248	-0.132	-0.101	0.017	-0.064	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__FSTL5	-0.328	-0.282	-0.003	-0.202	0.738	-0.174	-0.378	0.066	-0.441	-0.227	-0.329	-3.392	-0.466	-0.032	-0.143	0.124	-0.241	-0.09	-1.066	-0.023	-0.254	-0.291	0.035	-0.206	-0.168	-1.14	0.116	0.17	-0.052	-0.234	-0.225	0.382	-0.171	-0.17	-0.008	-3.276	-0.307	-0.314	-0.04	0.033
SNP__RNF152	-0.355	-0.332	0.013	-0.2	-0.881	0.086	-2.938	-0.178	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.825	-0.456	0.725	-0.217	-0.028	-0.461	-0.556	-0.637	-1.075	-0.73	-0.548	-0.031	-0.216	0.137	-0.198	-0.015	-0.16	-0.028	-0.793	-0.615	-0.284	0.239	0.234
SNP__LOC440040	-0.226	-0.153	0.027	0.113	-0.2	-0.038	-0.995	-0.522	0.311	0.239	-0.316	-0.152	0.205	-0.048	0.224	-0.105	0.093	-2.19	0.23	0.333	-0.225	-0.31	0.181	0.238	-0.11	0.111	-0.176	0.003	-0.043	0.051	0.178	0.416	-0.006	-0.126	-0.349	-1.651	0.326	0.075	-0.042	0.023
SNP__LOC553158	-0.296	-0.189	-0.003	-0.092	-0.2	-0.161	-0.154	0.018	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.216	-0.182	-0.152	0.004	-0.056	0.075	0.009	-0.327	-2.757	-0.431	-0.368
SNP__SLC44A5	0.261	-0.263	0.014	0.102	-0.219	-0.32	0.166	-3.945	-0.041	0.54	-0.944	0.098	-0.494	-0.029	-0.116	-0.193	-0.172	-0.263	-0.062	-3.665	0.254	0.226	-0.47	-0.201	-0.126	0.39	-0.172	-0.032	-0.063	0.279	-3.573	0.174	0.014	-0.139	-0.082	0.058	-0.3	-0.284	-0.366	-0.36
SNP__NEUROD2	1.611	1.972	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.144	0.294	2.132	-0.034	0.021
