Cell lines	21MT1	21NT	600MPE	AU565	BT20	BT474	BT549	CAL120	CAL148	CAL851	CAMA1	EFM19	EFM192A	EFM192B	EFM192C	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
Response	1	-1	1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1
SNP__ZNFN1A3	-0.316	-0.26	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	2.145	1.521	1.584	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	-0.034	0.021
SNP__RNF152	-0.355	-0.332	0.013	-0.2	-0.881	0.086	-2.938	-0.173	-0.12	-0.458	-0.178	-3.4	-0.466	-0.959	-0.414	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.825	-0.456	0.725	-0.217	-0.028	-0.983	-0.461	-0.556	-0.637	-1.075	-0.73	-0.548	-0.031	-0.216	0.137	-0.198	-0.015	-0.16	-3.815	-0.028	-0.793	-0.615	0.239	0.234
SNP__NEUROD2	1.611	1.972	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	1.796	1.521	1.584	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034	0.021
SNP__BCAS1	-0.003	-0.022	0.013	1.068	-2.242	2.02	0.515	0.342	0.249	-0.052	0.076	0.832	1.304	1.34	1.219	0.13	-0.213	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.352	0.268	0.169	0.238	0.305	0.634	2.058	2.247	0.637	0.143	0.83	0.252	0.166	1.244	-0.184	0.683	0.028	0.371	0.333	0.855	-0.137	0.32	0.395	0.305
SNP__LOC252968	0.501	0.381	-1.369	-0.166	-1.456	-0.156	-1.134	0.566	-1.141	0.214	-1.45	0.634	1.218	0.226	0.907	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	0.383	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	-0.431	-0.364
SNP__ZPBP2	-0.316	-0.26	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	2.145	1.12	1.584	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	-0.363	0.282	-0.144	0.294	-0.034	0.021
SNP__PPP1R1B	1.611	1.972	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	1.796	1.521	1.584	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034	0.021
SNP__SMAD4	2.115	2.227	0.013	-0.541	-0.881	0.086	-0.147	-0.173	-0.12	-0.458	-0.178	-0.42	-0.466	-0.938	-0.39	-0.444	0.428	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.803	-0.454	-0.443	-0.217	-0.028	-0.955	-0.461	-0.556	-0.641	-0.525	-0.405	-0.548	-0.031	-0.56	0.211	-0.147	-0.015	-0.168	-0.629	-0.367	-0.793	-0.615	0.239	0.234
SNP__LOC654346	0.501	0.381	-1.369	-0.166	-1.456	-0.156	-1.134	0.566	-1.141	0.214	-1.45	0.634	1.218	0.226	0.907	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	0.383	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	-0.431	-0.364
SNP__GSDML	-0.316	-0.26	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	1.624	1.12	1.584	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	-0.363	0.282	-0.144	0.294	-0.034	0.021
SNP__STARD3	1.611	1.972	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	1.796	1.521	1.584	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034	0.021
SNP__LOC147158	0.501	0.381	-1.369	-0.166	-1.456	-0.156	-1.134	0.566	-1.141	0.214	-1.45	0.634	1.218	0.226	0.907	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	0.383	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	-0.431	-0.364
SNP__GRB7	1.528	1.972	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	2.145	1.521	1.584	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	-0.034	0.021
SNP__LOC201288	0.501	0.381	-1.369	-0.166	-1.456	-0.156	-1.134	0.566	-1.141	0.214	-1.45	0.634	1.218	0.226	0.907	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	0.383	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	-0.431	-0.364
SNP__SHCL1	-0.316	-0.263	0.37	-3.776	-0.191	-0.146	-0.093	-0.135	-0.103	0.012	0.096	-0.362	-0.391	-0.378	-0.326	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.586	0.234	0.241	-0.253	-0.189	-0.923	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.532	-0.576	-0.138	-0.114	0.06	-0.305	-0.354	0.334	-0.139	0.301	0.011	0.023
SNP__C20orf133	-0.33	-0.263	0.013	0.478	-2.773	-3.412	-2.106	0.039	0.258	0.313	0.09	-0.391	-1.967	-2.627	-2.737	0.165	0.439	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-2.389	0.214	0.422	-3.787	0.305	-2.893	0.243	-0.409	-0.69	0.143	-3.628	0.252	0.31	0.582	-0.578	0.868	0.028	0.109	-0.267	0.024	-0.782	-0.292	-0.277	-0.375
SNP__LOC220594	0.501	0.381	-1.369	-0.166	-1.456	-0.156	-1.134	0.566	-1.141	0.214	-1.45	0.634	1.218	0.226	0.907	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	0.383	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	-0.431	-0.364
SNP__GNTIVH	-0.152	-0.226	0	0.087	-0.89	-0.287	-1.829	-0.366	-0.102	0.04	0.268	0.277	0.184	0.311	0.338	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	0.473	-0.286	-0.029	-5.759	-0.242	-0.362	0.183	0.043	-0.039	0.167	0.747	0.227	-0.018	0.049	-0.21	-4.154	0.011	0.196	-0.014	-0.004	0.916	0.315	-0.046	-0.007
SNP__RPS10P2	-0.33	-0.263	0.013	0.304	-2.773	0.122	-0.355	0.039	0.258	0.313	0.09	-0.391	-0.476	-2.627	-2.737	0.165	0.439	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	-0.604	-0.007	0.422	-0.08	0.305	-1.02	0.168	0.109	0.067	0.143	-1.165	0.252	0.157	-0.255	-0.374	0.868	0.028	0.109	0.056	0.024	-0.133	-0.292	-0.202	-0.375
SNP__ADAM5	-0.95	-0.888	0.722	-0.542	-0.174	-1.888	-1.395	1.824	0.54	-0.296	1.685	-2.017	-0.486	1.457	0.682	-0.335	0.756	-0.295	0.052	0.27	1.495	-0.137	-1.496	1.673	-0.036	-0.376	0.852	-1.129	0.042	-0.761	-0.433	-0.696	0.258	-0.275	0.8	-0.446	0.644	-0.599	0.491	0.417	0.026	0.455	-2.281	-0.349	2.017	0.319	-0.507	-0.445
SNP__TCAP	1.611	1.972	0.376	1.965	-0.203	1.862	-0.07	-0.147	-0.103	0.009	0.096	0.456	1.796	1.521	1.584	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	1.628	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	-0.034	0.021
SNP__ADAM3A	-0.237	-0.866	0.722	-0.027	-0.174	-1.888	-1.395	1.824	0.54	-0.296	1.685	-2.017	0.196	1.457	0.682	0.214	0.756	-0.295	0.052	0.27	1.495	-0.137	-1.496	0.71	-0.036	0.196	0.852	-1.129	0.042	0.31	-0.433	0.089	0.258	-0.275	0.8	-0.446	0.644	-0.001	0.491	0.417	0.026	0.455	-2.281	-0.349	2.017	0.319	0.106	0.188
