Cell lines	21MT1	21NT	600MPE	AU565	BT20	BT474	BT549	CAL120	CAL148	CAL851	CAMA1	EFM19	EFM192A	EFM192B	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	1	-1	-1	-1	-1	1	1	1	1	1
SNP__ADCY8	0.387	-2.835	0.03	-0.538	0.187	0.462	0.56	0.753	-0.1	0.126	0.675	0.242	-0.144	0.019	0.657	0.154	-4.101	-0.212	0.924	0.583	0.726	0.809	1.565	-3.152	0.981	0.755	0.486	0.681	0.276	0.212	0.457	0.595	0.171	0.433	0.26	0.397	-0.599	0.633	0.206	0.038	0.142	0.75	-0.4	0.69	0.319	-2.892	0.234	0.326
SNP__ADAM32	-0.95	-0.888	0.027	-0.542	-0.174	-0.204	0.534	0.993	-0.121	-0.296	0.98	-1.03	-0.486	0.721	-0.335	0.152	-0.295	0.052	0.27	0.859	-0.137	-0.54	-0.59	-0.036	-0.376	0.243	-1.129	0.042	0.968	-0.433	-0.696	0.258	-0.275	0.134	-0.446	0.072	-0.599	-0.199	-0.194	0.026	0.061	0.725	-0.349	1.672	0.319	0.595	-0.507	-0.445
SNP__FHIT	-0.896	-0.907	0.008	-0.512	-0.843	-0.527	-1.144	-3.116	-0.1	-0.357	-0.552	-0.02	-0.5	-0.205	-0.124	-0.233	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-0.262	-1.066	-0.422	-0.748	0.159	-1.689	-0.429	-0.566	-0.69	-0.584	-0.186	-1.065	-0.058	-0.613	-0.183	0.859	0.017	-0.265	-0.361	-2.101	0.266	-0.31	-0.272	-0.059	-0.371
SNP__WWOX	-0.935	-1.405	-2.18	-0.55	-2.831	0.092	-2.109	0.101	-1.764	0.133	-1.822	-2.668	-2.172	-2.303	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-1.709	-0.412	-1.319	0.442	-2.607	-2.298	0.572	0.448	-0.661	-2.395	0.457	-2.223	-1.648	-0.561	-0.206	-2.091	0.026	0.541	-2.344	1.107	-0.132	-2.033	0.479	-0.056	-0.372
SNP__DLG2	0.921	1.315	-0.634	0.113	0.18	-0.244	-1.16	0.266	-0.115	0.159	-0.541	-0.397	0.236	2.087	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.242	0.23	0.256	-0.225	-0.181	0.009	0.19	2.017	-0.109	0.096	-0.208	-0.433	-0.044	0.051	-0.884	-2.328	-0.016	-0.106	0.162	-0.349	-0.024	0.324	0.333	-0.258	-0.386
SNP__DMBT1	-0.329	-0.275	0.014	-0.15	-0.868	-3.561	-0.159	-0.37	-0.099	-0.346	-0.167	-0.398	-0.114	-0.04	-0.078	-0.204	0.315	-0.148	-0.008	-0.386	0.221	0.4	-0.208	-0.264	-0.305	-0.408	-0.268	-0.603	-0.366	0.022	0.108	-0.167	-0.224	0.032	0.319	-0.043	-0.202	0.142	-0.198	0.033	0.008	-4.07	-3.272	-0.254	-0.304	0.08	0.118	-0.366
SNP__ESR1	-0.03	0.081	0.006	0.125	-0.209	-0.415	-0.091	-0.227	-0.117	-0.362	-0.558	0.293	-0.13	-0.482	0.167	-0.231	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	0.532	-0.42	-4.299	-0.261	-0.076	-0.375	0.251	0.236	-0.248	-0.118	0.237	0.249	-0.704	0.044	0.161	-0.195	0.027	-0.226	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__POU6F2	0.323	0.52	0.01	0.649	0.2	0.468	-2.998	-0.356	0.252	-0.304	0.082	-2.543	-0.505	-0.391	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.197	-0.399	-0.026	0.566	0.253	-0.121	0.141	-0.291	0.406	0.104	0.17	0.191	-0.085	0.578	0.431	-0.201	-0.027	0.546	-1.934	-2.616	0.126	0.315	0.335	0.558	0.36
SNP__KRTAP9P1	-0.316	-0.886	-1.183	-1.304	-1.218	-1.258	-0.202	0.706	-0.103	-1.477	0.096	-0.751	-0.391	-0.389	-1.506	0.575	-1.732	-0.461	0.346	-0.646	-1.553	-0.373	-0.782	-0.04	-1.288	1.183	-1.97	-1.631	0.578	-1.416	-0.589	-0.133	-1.122	-1.452	-1.299	-0.555	-0.938	0.468	-1.484	0.06	0.276	-1.602	-0.892	-1.419	-1.009	0.708	-1.293	-1.371
