Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1
SNP__LOC643847	-0.033	0.113	-0.196	0.435	-0.1	0.207	-0.493	-0.09	0.239	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.041	0.28	0.23	-0.021	-0.225	-0.181	0.177	0.093	-0.11	0.111	-0.222	-0.037	-0.033	0.051	-0.159	0.307	-0.016	-3.563	0.153	-0.242	0.194	0.326	0.074	-0.458	-0.383
SNP__LOC653723	0.003	-0.12	-2.97	0.093	0.166	0.219	0.475	0.152	0.408	-0.301	0.1	-3.66	-2.52	0.255	0.478	-2.716	0.352	0.584	-3.227	0.016	0.14	0.287	-0.019	-0.177	-0.637	0.119	0.029	0.182	-0.021	0.052	-0.159	-0.223	0.002	0.745	0.286	0.55	-0.388	-0.286	0.088	0.066	0.001
SNP__FSTL5	-0.003	-0.202	0.738	-0.174	-3.627	-0.378	0.066	-0.441	-0.227	-0.329	-3.392	-0.466	-0.032	-0.143	0.124	-0.241	0.089	-0.09	-1.066	-0.023	-0.254	-0.291	0.035	-0.206	-0.168	-1.14	0.116	0.17	-0.052	-0.234	-0.225	0.382	-0.171	-0.17	-0.079	-0.008	-3.276	-0.307	-0.314	-0.04	0.033
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.526	0.315	0.09	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.649	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.834	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__LOC402095	0.006	0.099	0.191	-0.053	-0.097	-0.173	-0.161	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	0.06	-0.061	-0.404	-0.742	0.019	-0.01	0.082	0.096	-0.16	-4.366	0.429	-0.033	-3.944	0.067	0.161	-0.168	-0.029	-0.096	0.009	0.031	0.03	-3.42	-0.806	-0.066	-0.373
SNP__GALNTL2	0.008	-0.153	0.157	-0.037	-0.153	0.023	0.075	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	-0.314	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	0.123	-0.208	-0.457	-0.058	-0.248	-0.132	-0.101	0.017	-0.064	-0.361	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__FBXL20	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__ODF4	-0.021	-0.166	0.165	-0.156	-0.362	0.458	-0.517	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.276	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-0.61	-0.217	-0.182	0.164	-0.556	-0.156	-0.366	-0.318	-3.845	-0.307	-0.299	-3.855	-4.116
SNP__LOC646663	0.003	-0.119	-2.47	0.093	-3.962	0.219	0.1	0.152	0.408	-0.301	0.1	-2.377	-0.364	0.28	0.594	-2.083	0.955	0.593	-0.392	0.016	0.095	-2.244	-0.019	-0.177	0.619	0.119	0.189	0.666	-0.021	0.042	-0.159	-0.223	0.002	-1.959	-2.285	0.55	0.802	-0.286	0.078	0.066	0.001
SNP__LOC220929	0.021	-3.307	0.326	-0.091	0.102	-2.386	-0.139	0.431	-2.209	-0.292	-0.132	-0.014	-0.03	-0.151	-1.897	0.022	0.084	0.183	0.083	0.042	0.762	-2.689	-0.356	0.09	-0.589	-2.667	0.019	0.213	-0.043	-1.109	0.189	0.189	0.033	0.416	-0.204	0.008	-0.773	-0.302	0.08	-0.074	0.009
SNP__PPARBP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__LOC440040	0.027	0.113	-0.2	-0.038	-0.316	-0.995	-0.522	0.311	0.239	-0.316	-0.152	0.205	-0.048	0.224	-0.105	0.093	-0.254	-2.19	0.23	0.333	-0.225	-0.31	0.181	0.238	-0.11	0.111	-0.176	0.003	-0.043	0.051	0.178	0.416	-0.006	-0.126	0.149	-0.349	-1.651	0.326	0.075	-0.042	0.023
