Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	1
SNP__ZNF28	0.003	-0.12	0.172	0.093	0.166	0.219	0.1	0.152	0.408	-0.301	0.1	0.43	-0.364	-3.273	0.478	0.334	0.584	-0.376	0.016	-3.578	0.287	-0.019	-0.177	-0.641	0.119	0.029	0.182	-0.021	-0.158	-0.159	-0.223	0.002	0.457	0.286	0.55	0.917	-0.286	0.088	0.066	0.001
SNP__ERBB2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	3.576	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__SLC25A37	0.027	-0.532	-0.856	-0.332	-0.456	0.511	-0.54	-0.425	0.152	-0.295	0.09	-0.453	-0.37	-3.962	-3.239	-0.59	-0.036	-4.159	-0.445	-1.129	0.047	-0.433	-0.537	-3.29	-0.251	-0.823	-0.414	-0.414	-0.552	-5.047	-0.129	0.026	-0.156	-0.957	-0.331	-0.746	-3.624	-0.274	-0.066	0.011
SNP__C17orf37	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__NEUROD2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__TCAP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__GRB7	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PPP1R1B	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PNMT	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__STARD3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
