Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
Response	1	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	-1
SNP__GSTM1	1.308	0.102	2.472	-0.243	-0.13	1.142	0.296	0.01	0.868	-0.518	-0.31	1.245	0.005	1.479	-0.132	2.103	1.379	1.676	-0.257	-0.444	2.34	1.976	1.276	2.546	1.445	1.813	-0.172	1.723	-0.063	1.282	0.164	0.188	1.108	1.492	-0.384	-0.27	0.043	-0.303	1.499	1.386
SNP__IGHV3-9	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-2.449	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	-1.219	1.632	0.746	1.075	0.515	0.629	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	1.818	0.688
SNP__IGHV2-10	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-2.449	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	-1.219	1.632	0.746	1.075	0.515	0.629	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	1.818	0.688
SNP__CFHL4	0.651	0.5	0.162	0.706	0.482	0.492	0.442	0.058	2.355	0.418	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	-1.672	0.176	0.221	2.628	-2.421	-0.061	0.351	0.315	0.099	2.833	0.39	0.745	0.263	-0.264	-1.268	0	0.029	0.153	0.243	0.291	0.282	0.569	-2.009
SNP__SLC25A18	-0.01	-0.086	-0.197	-0.134	-0.467	2.812	0.05	0.131	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	2.543	0.301	0.217	0.723	0.172	0.157	1.888	-0.131	-0.122	0.062	0.04	0.328	-0.202	-0.752	2.554	0.004	-0.206	0.227	0.058	-0.3	-0.32	0.37	0.095
SNP__SLC25A24	0.014	0.102	0.444	-0.243	-0.156	0.224	0.456	0.01	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	0.04	-3.632	0.224	0.636	0.251	0.226	1.121	-0.126	0.534	-0.172	-0.032	-0.063	0.268	0.164	0.188	-4.56	-3.419	0.083	-0.27	0.043	-4.56	-0.389	-0.36
SNP__LOC646663	0.003	-0.119	-2.47	0.093	-3.962	0.219	0.1	-0.004	0.152	0.408	-0.301	0.1	-2.377	-0.364	0.28	0.594	-2.083	0.955	0.593	-0.392	0.016	0.095	-2.244	-0.177	0.619	0.119	0.189	0.666	-0.021	0.042	-0.159	-0.223	0.002	-1.959	-2.285	0.55	0.802	-0.286	0.066	0.001
SNP__ZNF291	1.389	1.241	1.103	-2.232	0.842	-2.143	-1.568	0.798	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	1.187	-1.828	1.473	-1.248	1.151	-0.318	-1.225	1.228	1.442	1.309	-1.604	-0.64	1.19	1.798	1.79	1.377	-1.361	1.133	1.031	-1.919	0	1.463	1.105
SNP__FHIT	0.008	-0.512	-0.843	-0.527	-0.136	-1.144	-0.552	0.538	-0.124	-0.233	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-2.869	-0.262	-1.066	-0.422	-0.748	0.159	-0.566	-0.69	-0.584	-0.186	-1.065	-0.058	-0.613	-0.183	0.859	0.017	-0.265	-0.361	-2.101	0.266	-0.31	-0.059	-0.371
SNP__LOC442117	0.015	-0.202	-0.243	-0.174	-1.788	-0.878	0.066	-1.931	-0.432	-0.227	-2.15	-1.141	-0.466	-0.032	-1.806	0.124	0.783	-1.455	-0.09	-1.049	-0.029	-0.254	-0.291	-0.206	1.777	-1.562	0.116	0.17	-0.052	-0.234	-1.502	-2.091	-0.171	-0.178	-1.975	-0.008	-1.681	-0.307	-0.04	0.033
SNP__MGC48595	-0.006	0.339	-0.173	0.142	-0.418	0.204	-0.18	0.531	0.109	0.97	-0.302	-0.286	-0.06	-0.426	-3.549	-0.064	0.097	-0.191	0.297	0.026	-0.436	-0.187	-0.081	-2.039	-1.651	-0.202	0.111	-0.318	0.303	0.04	0.184	-0.121	-0.014	0.027	-2.016	0.006	-2.601	0.279	-0.052	-0.394
SNP__WWOX	-2.18	-0.55	-2.831	0.092	0.19	-2.109	-1.822	-0.483	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-2.29	-1.709	-0.412	-1.319	0.442	-2.607	0.448	-0.661	-2.395	0.457	-2.223	-1.648	-0.561	-0.206	-2.091	0.026	0.541	-2.344	1.107	-0.132	-2.033	-0.056	-0.372
SNP__NME7	0.651	0.492	0.162	-0.676	0.603	0.1	0.446	0.01	-2.446	-2.095	0.059	0.09	-0.024	0.403	-0.156	-2.232	0.236	0.524	0.176	0.183	-0.096	0.277	-0.064	0.296	-1.802	-3.103	-0.222	-0.052	0.286	0.263	-0.23	-0.172	0	0.084	0.089	0.243	0.291	0.282	0.445	-0.997
SNP__FSTL5	-0.003	-0.202	0.738	-0.174	-3.627	-0.378	0.066	0.003	-0.441	-0.227	-0.329	-3.392	-0.466	-0.032	-0.143	0.124	-0.241	0.089	-0.09	-1.066	-0.023	-0.254	-0.291	-0.206	-0.168	-1.14	0.116	0.17	-0.052	-0.234	-0.225	0.382	-0.171	-0.17	-0.079	-0.008	-3.276	-0.307	-0.04	0.033
SNP__LOC644125	-1.687	-2.113	0.128	0.929	0.894	-1.571	-0.54	-2.092	-1.657	0.909	-2.359	0.077	-2.166	0.968	1.128	-1.62	-0.648	-1.946	0.364	0.146	-1.847	0.007	0.651	-1.774	-1.502	0.922	-1.829	1.004	-0.051	-1.901	-1.977	0.021	-2.172	-1.48	-1.792	-1.433	-0.348	-1.841	0.568	0.28
