Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751
Response	1	1	-1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	1	1	-1	-1
SNP__RHD	-2.45	-0.136	-0.18	-0.234	-0.44	0.218	-0.163	0	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-2.184	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.321	-1.752	0.344	-0.015	0.387	0.262	0.226	0.206	0.018	-0.156	0.057	0.245	0.482	-0.299	-2.045
SNP__SLC44A5	0.014	0.102	-0.219	-0.32	-0.214	0.166	-3.945	0.295	-0.041	0.54	-0.944	0.098	-0.494	-0.029	-0.116	-0.193	-0.172	0.048	-0.263	-0.062	-3.665	0.254	0.226	-0.47	-0.201	-0.126	0.39	-0.172	-0.032	-0.063	0.279	-3.573	0.174	0.014	-0.139	0.045	-0.082	0.058	-0.3	-0.366
SNP__SLC25A37	0.027	-0.532	-0.856	-0.332	-0.456	0.511	-0.54	-0.377	-0.425	0.152	-0.295	0.09	-0.453	-0.37	-3.962	-3.239	-0.59	-0.956	-0.036	-4.159	-0.445	-1.129	0.047	-0.433	-0.537	-3.29	-0.251	-0.823	-0.414	-0.414	-0.552	-5.047	-0.129	0.026	-0.156	-0.957	-0.331	-0.746	-3.624	-0.066
SNP__ERBB2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	3.576	0.282	-0.144	0.294	-0.034
SNP__C17orf37	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	-0.034
SNP__PTPRN2	-0.54	0.091	0.186	0.355	2.806	0.212	0.084	-0.001	-0.263	-0.23	1.006	2.779	0.286	0.411	-0.76	0.007	-0.229	0.492	0.264	0.45	0.006	0.092	0.206	0.691	0.507	-0.225	0.13	-0.332	2.594	-0.039	0.258	0.53	-0.226	0.002	-0.266	-0.906	0.263	-0.308	-0.319	-0.046
SNP__FBXL20	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.121	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	1.605	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	-0.362	0.282	-0.144	0.294	-0.034
SNP__MGAM	0.006	-2.204	0.186	0.355	0.322	-0.135	0.422	0.032	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.557	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	-0.409	-1.689	0.526	-3.317	-0.006	-0.234	-0.327	0.23	-0.287	-0.321	-0.042
SNP__TRY6	0.012	0.553	0.186	0.355	0.322	-1.816	0.45	-0.009	-1.938	0.854	0.715	-0.643	0.29	1.134	-4.448	-0.251	-2.001	0.557	-1.912	0.015	-2.121	-0.395	-0.392	0.18	0.067	0.122	-0.125	-2.332	0.191	-0.039	0.48	0.526	-0.864	-2.463	-3.111	-0.313	0.262	-2.35	-0.319	-0.042
