Cell lines	600MPE	BT20	BT474	BT483	BT549	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB361	MDAMB415	SKBR3	SUM1315MO2	SUM149PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	1	-1	1
SNP__SHCL1	0.37	-0.191	-0.146	0.229	-0.093	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	-0.12	-0.315	-0.576	-0.138	-0.114	-0.305	-0.354	0.334	-0.139	0.301	0.082	0.011	0.023
SNP__POU6F2	0.01	0.2	0.468	0.372	-2.998	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.17	0.191	0.578	0.431	-0.201	0.546	-1.934	-2.616	0.126	0.315	0.335	0.558	0.36
SNP__C20orf133	0.013	-2.773	-3.412	0.535	-2.106	0.165	0.439	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-2.389	0.214	0.422	-3.787	0.305	0.243	-0.409	-0.69	-3.628	0.252	0.582	-0.578	0.868	0.109	-0.267	0.024	-0.782	-0.292	-3.619	-0.277	-0.375
SNP__LOC644144	0.37	-0.191	-0.146	0.229	-0.098	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	-0.12	-0.315	-0.576	-0.138	0.22	-0.305	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__FLJ10120	0.37	-0.191	-0.146	0.229	-0.098	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	-0.12	-0.315	-0.576	-0.138	0.22	-0.305	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__RPS10P2	0.013	-2.773	0.122	0.437	-0.355	0.165	0.439	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	-0.604	-0.007	0.422	-0.08	0.305	0.168	0.109	0.067	-1.165	0.252	-0.255	-0.374	0.868	0.109	0.056	0.024	-0.133	-0.292	-0.31	-0.202	-0.375
SNP__LOC440040	0.027	-0.2	-0.038	-0.316	-0.995	0.311	0.239	-0.316	-0.152	0.205	-0.048	0.224	-0.105	0.093	-2.19	0.23	0.333	-0.225	-0.31	0.181	0.238	-0.11	-0.176	0.003	0.051	0.178	0.416	-0.126	0.149	-0.349	-1.651	0.326	0.075	-0.042	0.023
SNP__LOC402095	0.006	0.191	-0.053	-0.097	-0.173	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	-0.061	-0.404	-0.742	0.019	-0.01	0.082	0.096	-0.16	0.429	-0.033	0.067	0.161	-0.168	-0.096	0.009	0.031	0.03	-3.42	-0.806	-0.066	-0.373
SNP__LOC553158	-0.003	-0.2	-0.161	-0.475	-0.154	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-0.223	0.027	-0.216	-0.182	-0.152	-0.056	0.51	0.075	0.009	-0.327	-2.757	-0.431	-0.368
SNP__SLC25A18	-0.01	-0.197	-0.134	-0.467	2.812	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	0.301	0.217	0.723	0.172	0.157	-0.404	1.888	-0.131	0.062	0.04	-0.202	-0.752	2.554	-0.206	0.227	0.058	-0.3	-0.32	-0.289	0.37	0.095
