Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1
SNP__LOC646227	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__BTNL3	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__ODF4	-0.021	-0.166	0.165	-0.156	-0.362	0.458	-0.517	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-0.61	-0.217	-0.182	0.164	-0.556	-0.156	-0.366	-0.318	-3.845	-0.307	-0.299	-3.855	-4.116
SNP__GNTIVH	0	0.087	-0.89	-0.287	0.024	-1.829	0.268	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	0.473	-0.286	-0.029	-5.759	-0.242	0.183	0.043	-0.039	0.167	0.747	0.227	-0.018	0.049	-0.21	-4.154	0.011	0.196	-0.014	-0.004	0.916	0.315	0.074	-0.046	-0.007
SNP__LOC441440	-0.26	-0.178	-0.209	1.861	2.288	2.394	0.064	-0.573	0.129	0.094	0.347	1.881	0.04	-0.124	-0.018	0.1	-0.29	-0.094	2.423	0.464	-0.088	-0.006	1.694	2.642	-0.159	-0.186	0.2	2.292	0.047	-0.211	2.084	0.002	-0.053	2.049	-0.378	2.062	-0.139	-0.296	1.735	0.024
SNP__LOC645532	0.007	0.125	0.185	0.108	0.164	0.226	0.439	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	-0.318	0.581	-0.019	-0.26	0.356	0.244	-2.168	0.414	0.366	-0.158	0.3	-0.052	0.033	0.474	-0.195	0.037	-2.549	0.25	0.037	0.218	0.053	0.061	-2.489	-3.192
SNP__POU6F2	0.01	0.649	0.2	0.468	0.372	-2.998	0.082	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.104	0.17	0.191	-0.085	0.578	0.431	-0.201	-0.027	0.546	-1.934	-2.616	0.126	0.315	0.335	0.558	0.36
SNP__RNF152	0.013	-0.2	-0.881	0.086	-0.162	-2.938	-0.178	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.825	-0.456	0.725	-0.217	-0.028	-0.461	-0.556	-0.637	-1.075	-0.73	-0.548	-0.031	-0.216	0.137	-0.198	-0.015	-0.16	-3.815	-0.028	-0.793	-0.615	-0.284	0.239	0.234
SNP__TRBV6-2	0.0098	0.453	0.186	0.355	0.322	-0.135	-0.257	0.042	-0.1872	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.267	-0.3346	0.434	-2.904	-0.1446	-2.003	-0.2195	0.122	-0.0176	0.343	0.191	-0.0298	0.459	0.526	-0.864	0.0144	-0.0908	-0.273	-0.282	0.0294	-0.2956	-0.317	-0.042	0.028
SNP__ZNF291	1.389	1.241	1.103	-2.232	0.842	-2.143	-1.568	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.442	1.309	-1.604	-0.64	1.19	1.798	1.79	1.377	-1.361	1.133	1.031	-1.919	0	-1.574	1.463	1.105
SNP__SHCL1	0.37	-3.776	-0.191	-0.146	0.229	-0.093	0.096	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.532	-0.576	-0.138	-0.114	0.06	-0.305	-0.354	0.334	-0.139	0.301	0.082	0.011	0.023
SNP__EB-1	0	-0.231	-0.895	0.219	0.241	-1.335	0.268	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-2.498	-0.286	-0.029	-2.022	-0.242	0.183	0.101	-1.554	0.134	0.719	0.221	-0.062	-0.271	0.162	-0.278	0.011	-1.876	-0.239	-0.004	0.561	0.315	-0.262	-0.046	-0.007
SNP__LCE3B	-1.958	0.495	-2.398	-0.129	-2.13	0.134	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	0.291	-1.976	-1.915	-2.744	-2.627
SNP__UGT2B28	-2.183	-0.141	-0.225	-0.182	-0.133	-0.446	0.075	-0.317	-0.225	-0.258	-0.358	-2.842	-0.056	-2.173	-1.756	-0.167	-0.088	-0.067	-0.127	-0.254	-0.291	-0.072	-0.197	-0.166	-0.071	-0.759	-0.057	-0.051	-0.232	0.456	0.232	-0.171	1.059	-0.063	-0.859	-0.19	-0.316	-0.326	-0.039	0.036
SNP__RPS10P2	0.013	0.304	-2.773	0.122	0.437	-0.355	0.09	0.165	0.439	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	-0.604	-0.007	0.422	-0.08	0.305	0.168	0.109	0.067	0.143	-1.165	0.252	0.157	-0.255	-0.374	0.868	0.028	0.109	0.056	0.024	-0.133	-0.292	-0.31	-0.202	-0.375
SNP__BCAS1	0.013	1.068	-2.242	2.02	0.565	0.515	0.076	0.13	-0.213	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.352	0.268	0.169	0.238	0.305	2.058	2.247	0.637	0.143	0.83	0.252	0.166	1.244	-0.184	0.683	0.028	0.371	0.333	0.855	-0.137	0.32	0.853	0.395	0.305
SNP__DLG2	-0.634	0.113	0.18	-0.244	-0.632	-1.16	-0.541	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.242	0.23	0.256	-0.225	-0.181	0.19	2.017	-0.109	0.096	-0.208	-0.433	-0.044	0.051	-0.884	-2.328	-0.016	-0.106	0.162	-0.349	-0.024	0.324	0.333	-0.258	-0.386
SNP__IGHV3-9	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__IGHV2-10	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__NME7	0.651	0.492	0.162	-0.676	0.603	0.1	0.446	-2.446	-2.095	0.059	0.09	-0.024	0.403	-0.156	-2.232	0.236	0.176	0.183	-0.096	0.277	-0.064	0.176	0.296	-1.802	-3.103	-0.222	-0.052	0.286	0.263	-0.23	-0.172	0	0.084	0.089	0.243	0.291	0.282	0.067	0.445	-0.997
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.526	0.315	0.09	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.834	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
