Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1
SNP__MGAM	0.006	-2.204	0.186	0.355	0.322	-0.135	0.422	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	-0.409	-1.689	0.526	-3.317	-0.006	-0.234	-0.327	0.23	-0.287	-0.321	-0.317	-0.042	0.028
SNP__LOC553158	-0.003	-0.092	-0.2	-0.161	-0.475	-0.154	0.018	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.216	-0.182	-0.152	0.004	-0.056	0.51	0.075	0.009	-0.327	-2.757	-0.431	-0.368
SNP__LOC391322	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__GSTT1	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__SMAD4	0.013	-0.541	-0.881	0.086	-0.128	-0.147	-0.178	-0.444	0.428	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.803	-0.454	-0.443	-0.217	-0.028	-0.461	-0.556	-0.641	-0.525	-0.405	-0.548	-0.031	-0.56	0.211	-0.147	-0.015	-0.168	-0.629	-0.367	-0.793	-0.615	-0.284	0.239	0.234
SNP__GALNTL2	0.008	-0.153	0.157	-0.037	-0.153	0.023	0.075	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	0.123	-0.208	-0.457	-0.058	-0.248	-0.132	-0.101	0.017	-0.064	-0.361	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__LOC653399	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__RHD	-2.45	-0.136	-0.18	-0.234	-0.44	0.218	-0.163	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.321	-1.752	0.344	-0.015	0.387	0.262	0.226	0.206	0.018	-0.156	0.057	0.245	0.482	-0.299	0.165	-2.045	-1.621
SNP__SHCL1	0.37	-3.776	-0.191	-0.146	0.229	-0.093	0.096	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.532	-0.576	-0.138	-0.114	0.06	-0.305	-0.354	0.334	-0.139	0.301	0.082	0.011	0.023
SNP__LOC643827	-0.26	-0.178	-0.209	-0.352	-0.211	-0.099	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.159	-0.186	0.2	-0.24	0.047	-2.826	0.168	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__RIMS1	0.009	-0.208	-0.243	0.001	-0.619	-0.508	-0.563	-0.083	-0.233	1.122	0.08	-3.083	-0.036	-0.169	0.02	-0.056	-0.125	0.423	0.686	-0.981	-0.047	-0.377	0.011	-0.046	-0.129	0.41	0.231	0.284	-0.619	-2.669	-0.217	0.017	-2.44	0.01	-0.147	0.226	-0.315	0.062	-0.222	-0.379
SNP__C20orf133	0.013	0.478	-2.773	-3.412	0.535	-2.106	0.09	0.165	0.439	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-2.389	0.214	0.422	-3.787	0.305	0.243	-0.409	-0.69	0.143	-3.628	0.252	0.31	0.582	-0.578	0.868	0.028	0.109	-0.267	0.024	-0.782	-0.292	-3.619	-0.277	-0.375
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.526	0.315	0.09	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.834	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__LOC653723	0.003	-0.12	-2.97	0.093	0.166	0.219	0.475	0.152	0.408	-0.301	0.1	-3.66	-2.52	0.255	0.478	-2.716	0.584	-3.227	0.016	0.14	0.287	-0.019	-0.177	-0.637	0.119	0.029	0.182	-0.021	0.052	-0.159	-0.223	0.002	0.745	0.286	0.55	-0.388	-0.286	0.088	0.066	0.001
