Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1
SNP__TCAP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PNMT	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__NEUROD2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PERLD1	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__ERBB2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	-0.191	-0.193	0.052	3.576	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PPP1R1B	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__STARD3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__C17orf37	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	-0.191	-0.193	0.052	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__GRB7	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	-0.191	-0.193	0.052	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC643827	-0.26	-0.178	-0.209	-0.352	-0.211	-0.099	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.159	-0.186	0.2	-0.24	-2.826	0.168	0.002	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	-0.191	-0.193	0.052	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__ANKRD15	-0.657	-0.203	-2.643	-1.013	-3.018	0.182	-0.496	-0.451	0.095	0.341	-0.475	-1.121	-0.033	-0.739	-0.129	0.558	-1.137	-0.27	0.831	0.742	-2.347	0.383	0.366	-1.564	0.112	-0.84	-0.124	-0.627	-0.826	-2.804	-0.073	-0.41	-0.332	-0.181	-0.306	-0.296	-0.084	-0.001
SNP__LCE3B	-1.958	0.495	-2.398	-0.129	-2.13	0.134	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	-0.255	-0.111	0	-2.222	-1.451	0.291	-1.976	-1.915	-2.744	-2.627
SNP__FLJ36492	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	-0.411	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	-1.31	0.357	-0.431	-0.364
SNP__IGL@	-1.694	-1.159	-3.74	0.248	-2.86	-0.961	-3.126	0.818	-0.216	1.28	-0.012	-0.384	0.122	-0.092	-2.723	0.714	-0.047	0.611	0.439	0.55	0.535	-0.404	-0.171	0.179	-0.122	0.659	0.396	0.716	0.226	-0.148	0.565	0.383	-0.163	-3.338	-3.43	0.69	0.757	0.514
