Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	1	-1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	1	1	1
U133A__MARCKS	4.0846	7.9558	9.3462	9.0052	6.1751	9.3931	3.1121	7.562	9.3508	6.1638	7.7138	7.8514	8.6914	8.1749	9.5401	8.7765	9.5328	9.2564	9.3228	3.4705	6.1732	9.3868	9.2405	7.1593	8.4118	8.1083	8.134	7.7284	7.2272	7.9364	6.5351	7.3555	8.9906	8.8831	2.8129	7.525	5.898	6.8807
U133A__CALD1	4.2559	5.8786	8.3527	3.9365	4.9682	7.9225	3.6763	6.2884	9.1905	3.4181	8.0223	6.0784	7.1754	4.4506	5.5558	9.2409	8.6378	8.8403	9.3954	3.6019	3.9175	4.3435	7.5768	4.9728	7.2995	5.0421	4.1759	3.5041	4.7812	7.3616	7.3157	7.8436	8.0238	6.7517	4.3805	4.0465	4.0081	3.6434
U133A__CYB5A	6.6338	7.709	5.1047	6.3098	6.617	5.7624	7.9642	6.9887	4.4315	6.1598	6.0589	5.0605	5.3328	6.0628	8.2505	5.2687	4.701	6.1142	3.8628	6.5067	6.1092	7.8149	4.6541	7.0276	6.1533	6.26	7.9185	7.5663	6.7328	4.648	7.3606	7.1314	7.0204	5.551	6.3159	8.6476	7.8435	8.1908
U133A__FADD	8.5432	7.2253	7.5941	7.3694	7.9263	7.3736	8.6319	7.9796	8.0257	7.5068	7.4055	7.7871	7.4981	9.2216	7.4372	7.3283	6.8438	7.0393	7.045	8.2105	7.9457	9.9878	7.5091	8.7146	8.1263	8.5757	10.0277	8.4773	7.1372	6.7516	8.0897	7.4219	7.5246	6.8788	7.3984	7.6765	7.8862	9.1575
U133A__GALNT6	8.8821	7.3905	8.324	6.7568	9.7521	5.1143	8.8841	6.8554	6.1052	8.3463	5.6143	6.7577	6.284	8.1603	8.2228	6.9834	5.9045	7.5279	5.4304	8.8602	7.768	8.6096	5.6215	8.65	5.8084	8.4236	9.1485	9.1731	8.7939	5.665	7.8211	5.8236	8.3165	9.245	7.746	9.7446	7.8728	9.2057
U133A__S100A14	10.6729	10.3133	8.3063	9.1691	8.474	6.475	11.3051	10.3913	6.7286	7.2141	6.7811	8.4815	9.4805	10.1649	9.6534	9.5955	7.3264	10.0147	6.498	10.3599	8.2332	6.2807	6.262	10.1752	5.626	9.6735	10.718	10.2781	10.9606	6.078	9.3308	6.0542	10.0711	11.1628	6.9285	10.332	10.9098	11.131
U133A__PLCG2	6.5168	6.5628	6.8862	6.6357	6.3363	6.7695	6.7472	6.8618	7.0184	6.6858	6.8866	6.5975	7.3542	6.9606	6.522	6.9216	7.2069	10.2967	6.8883	6.7778	6.8881	6.5643	6.5345	6.3556	6.7718	6.6133	6.7417	6.3532	6.7498	7.1081	6.2739	6.6263	6.4407	6.699	6.9178	6.6411	6.4317	6.4792
U133A__ASNS	5.7555	6.9915	8.9025	8.6184	7.1894	8.7816	8.0217	7.2217	8.7944	7.2405	7.4364	8.23	7.3351	6.7055	7.0562	7.619	7.5599	9.0102	8.0987	7.5216	7.197	7.7174	7.4411	6.7424	9.2835	6.6397	8.0286	6.3197	7.3892	8.7993	8.3637	7.3568	9.2583	11.7898	6.9057	7.4767	6.5745	7.3136
U133A__SNX3	7.4822	8.0248	8.9435	8.0462	7.0702	8.3886	7.6091	7.4899	7.8493	7.3454	8.4501	8.0451	8.4314	7.936	11.1678	8.4686	7.962	8.1692	7.7878	7.7229	7.6676	8.7653	8.4924	8.0632	8.2593	8.4013	8.1024	8.0647	7.9791	8.03	7.2657	8.0497	7.9844	8.681	7.3744	8.4575	7.824	7.949
