Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	UACC812	ZR751	ZR75B
Response	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	1	-1	-1	1	-1	1	-1	-1
U133A__GRB7	8.3996	7.1275	10.6507	7.1976	6.3286	7.053	8.3948	7.1531	9.4888	6.7622	7.2019	11.2984	7.5151	6.7119	7.5479	6.1629	6.6554	6.355	7.4331	6.1061	8.6563	6.8747	7.812	9.662	6.2945	6.9855	6.7471	7.4331	12.4555	7.0393	10.4791	7.1442	6.9964
U133A__PIP	6.4355	6.3157	7.061	7.2807	6.2596	6.2897	6.4685	6.2459	6.3056	5.9752	6.0752	6.4284	6.7761	6.1173	5.7083	6.0998	6.1608	6.1202	10.0061	5.8344	7.7157	6.8376	7.9615	7.0196	6.1485	6.3994	6.1424	11.8405	8.7615	6.0735	8.8185	7.5776	6.1976
U133A__KMO	5.7671	5.6079	6.0018	5.9323	5.4186	4.9161	5.6305	5.4732	5.4523	4.9175	5.0193	5.6756	7.1436	5.8379	4.714	4.7488	4.5188	5.1243	7.3547	4.6571	7.0098	5.6323	8.8071	6.233	5.1258	5.2933	4.7453	5.5913	8.7828	4.6167	5.529	6.2072	4.8873
U133A__ERBB2	9.3202	7.8098	12.0098	9.58	7.0802	8.4009	8.7493	7.6523	11.8139	7.294	7.8108	11.5446	9.3757	8.1445	7.98	7.0358	6.8815	7.0918	9.2857	6.6117	11.035	7.8448	10.215	11.611	6.9193	6.6093	7.3643	8.4025	13.0449	7.652	12.1946	9.1095	8.3688
U133A__DDIT4	7.5309	6.8728	9.5108	6.8696	10.5424	8.9504	7.5289	7	9.2058	8.7386	8.6661	6.8977	6.091	7.4198	8.3905	7.3089	7.2565	7.6621	8.6169	6.395	8.1399	8.6558	9.5738	9.6591	9.6427	10.4824	8.3328	9.356	9.8628	9.6722	10.9391	9.3186	8.7454
U133A__CAT	9.2728	8.9651	8.6094	8.1768	7.6458	7.9778	7.1926	9.183	8.3309	11.1759	8.5523	9.9741	8.1137	7.7908	8.3007	7.4298	9.1065	7.2563	8.7414	8.3873	9.0302	7.4691	8.3149	8.1271	8.2005	8.7364	8.0446	6.1542	10.075	8.6121	9.0364	7.6033	7.5928
U133A__ZNF544	6.9864	8.7357	6.9637	7.6542	7.1156	7.4338	7.4326	7.4451	6.6237	9.6213	8.1072	6.7879	7.0077	7.3676	6.9216	7.0009	7.2612	6.3988	6.4939	7.2039	7.0974	7.1081	6.2996	6.724	7.0081	6.8126	6.8659	7.3366	7.3685	6.3543	6.629	6.3383	6.9272
U133A__SLC12A2	10.8301	7.4859	8.1968	7.0689	6.6955	7.2458	6.6463	6.7385	7.2896	7.4138	8.0077	7.9024	7.6004	6.4072	6.7053	8.54	7.0651	6.5537	8.7772	6.7589	10.0865	9.2415	7.9819	6.782	6.9139	7.3307	6.6781	7.7796	9.7845	6.9059	7.6067	6.5298	7.0343
U133A__RNASET2	8.128	7.3384	8.3523	7.6879	6.5304	7.4109	6.2817	7.2288	8.724	8.1106	6.9623	7.4644	7.8744	5.712	7.6474	7.8307	8.1991	6.5105	7.9749	6.851	9.2695	6.9932	8.1165	8.4278	6.555	7.8822	6.0853	9.1341	8.5411	9.2691	10	7.9327	8.4503
U133A__KIAA0100	8.8681	7.9417	8.8628	8.6047	7.4282	8.9246	7.7525	7.9503	8.0312	8.2047	7.8415	8.2902	8.4022	7.8823	7.6288	8.8026	7.8276	7.2512	8.327	8.6738	9.0547	7.8274	8.4813	9.7569	7.9615	8.3141	8.6067	7.8017	8.8547	8.3358	10.2621	8.2115	8.5997
U133A__SPRY4	9.1625	6.7206	7.0909	6.6778	6.1402	6.2326	6.5822	6.1928	6.858	6.8281	6.4451	6.6843	6.3436	6.4449	6.0177	6.1993	6.8972	6.7042	8.6704	9.0079	6.9669	6.9797	7.1359	7.2561	6.6597	6.6632	7.669	6.9477	7.7472	7.2227	7.6452	6.1551	6.3391
U133A__EFEMP1	7.4576	3.9936	4.9476	7.2537	9.8537	9.8452	11.5931	9.5939	4.5082	9.0406	7.8452	6.2124	9.5684	11.2032	9.9411	6.8707	4.3448	9.1576	7.5869	6.0508	5.3781	9.5557	4.4232	8.7332	3.8355	9.2272	9.7898	10.0329	9.0876	4.2679	7.0931	6.9504	7.616
U133A__CRIM1	6.6823	7.7575	4.5538	5.2347	6.6582	3.5903	7.9088	5.8645	5.4013	6.6716	6.0828	6.2967	6.6118	6.5511	6.4677	4.209	4.8435	6.3739	5.1213	8.3257	4.25	5.0642	4.1324	4.8529	6.1856	4.9762	7.7736	5.3263	5.4297	7.3237	4.7611	3.0831	4.056
U133A__PGAP3	6.0798	5.5166	7.8242	5.9351	5.2618	5.6344	6.0077	5.2591	5.2674	5.2901	5.1176	8.224	5.914	5.4125	5.624	5.12	5.6203	5.1433	5.5062	4.8408	7.3947	5.4054	5.9113	6.9123	5.3523	5.1623	5.3377	5.4946	10.9139	5.4472	7.9766	5.7382	5.5235
U133A__EGR1	7.1754	7.4441	7.4814	7.3888	6.308	5.4248	5.9257	5.819	6.5474	5.91	8.6843	5.9632	5.6021	6.9361	5.6816	6.0611	5.7529	5.9859	5.2688	6.1269	7.3378	5.4053	6.8313	9.3693	6.3465	7.0071	7.1152	5.2344	7.6351	5.7512	6.4399	5.7614	5.5811
