Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	-1	-1	1	1	1	-1	1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	1	-1	1	1	1	1	1
U133A__EFEMP1	7.4576	8.4777	3.9936	4.9476	7.2537	9.8537	9.8452	11.5931	3.9406	9.5939	4.5082	9.0406	7.8452	6.2124	7.7884	9.5684	8.5328	11.2032	9.9411	5.6562	6.8707	6.1881	4.3448	9.1576	7.5869	6.0508	5.3781	9.5557	4.4232	8.7332	3.8355	9.2272	9.7898	10.0329	9.0876	4.2679	10.1096	7.0931	6.9504	7.616
U133A__ISG20	8.275	7.6967	4.8316	6.2746	5.2423	5.0474	6.6827	6.8949	5.3508	5.1734	5.7079	4.9467	5.2002	6.1257	6.1106	5.3907	6.1804	6.1827	7.1092	4.8358	5.1388	6.1813	5.9174	6.6011	6.2896	4.7503	5.8328	6.4042	5.2956	7.6847	4.819	6.2048	5.2027	7.8979	5.9049	6.5604	5.2023	7.1331	7.9348	7.1531
U133A__EGR1	7.1754	8.7708	7.4441	7.4814	7.3888	6.308	5.4248	5.9257	5.5174	5.819	6.5474	5.91	8.6843	5.9632	6.5191	5.6021	6.4535	6.9361	5.6816	6.1835	6.0611	7.143	5.7529	5.9859	5.2688	6.1269	7.3378	5.4053	6.8313	9.3693	6.3465	7.0071	7.1152	5.2344	7.6351	5.7512	5.1156	6.4399	5.7614	5.5811
U133A__HTRA1	6.7003	6.2736	6.3885	6.5619	6.5603	6.4306	5.9744	6.5707	6.7075	5.904	6.5307	7.7992	8.3177	6.4915	6.4617	6.4236	6.16	6.9112	5.9653	8.1098	7.5058	6.8794	6.3703	9.3958	6.821	6.888	8.4262	6.0692	6.4565	6.2344	11.4172	9.6218	7.5158	6.3811	8.6427	8.5513	6.7275	7.4804	6.294	6.4095
U133A__GPRC5A	7.4835	8.1924	10.8478	6.6047	8.4387	6.411	7.0096	8.9953	5.7325	6.94	5.5498	8.3772	7.6094	9.252	7.803	9.0365	8.5419	8.7773	9.0299	7.3729	7.7901	8.8337	7.6604	5.9316	9.2595	8.1985	7.3947	8.0719	6.3931	6.2926	5.6671	10.3479	6.9332	9.4321	8.0798	7.8656	6.8201	8.9387	6.3194	6.9714
U133A__EFNB2	5.4764	4.7613	4.9303	7.0119	6.4386	8.6207	7.4791	8.8445	5.5096	6.4622	4.9044	8.2395	7.0896	7.4331	6.9829	9.9666	5.9393	6.9153	7.5536	5.9236	6.4018	6.9459	6.1413	8.3547	5.5304	5.5961	7.2819	7.5891	7.6132	4.8166	4.7258	8.8053	8.021	8.057	5.2698	4.9264	5.6351	4.1326	4.9242	7.1568
U133A__TUBA4A	8.127	8.0959	10.2276	6.0048	6.8604	7.1961	7.2988	8.0741	6.1229	7.2844	6.1504	9.7248	8.2095	9.6436	6.3914	6.9849	6.436	8.1739	9.3597	6.724	7.2218	6.3682	7.9791	6.2093	7.051	7.6192	6.6858	8.986	7.9045	7.5394	6.7402	10.2412	10.2433	8.5017	8.8552	8.7116	6.8016	6.4082	7.5034	9.1448
U133A__LANCL2	5.8528	7.2945	8.7735	7.2875	5.9263	6.1474	5.8428	5.9234	6.8344	6.5591	6.0216	6.7342	6.6088	7.4901	6.0928	5.8528	6.8358	5.9462	6.1305	6.9561	6.2898	6.5257	5.9869	7.2274	5.8817	6.8068	6.3016	5.6848	5.8898	6.6128	6.6065	6.6469	6.5225	6.0019	6.8958	5.4766	6.1616	5.6897	5.7803	6.2757
U133A__STAT1	7.2521	8.0289	8.9076	7.5388	9.9742	8.2815	6.9856	7.9112	8.6978	8.049	8.3459	9.0902	10.2397	9.0231	8.1431	6.7996	7.7738	8.9201	9.7459	7.9713	8.0961	8.2953	8.929	8.9037	6.852	8.3	8.2216	7.4767	7.903	7.4653	8.244	7.9746	7.4368	7.4307	9.7004	7.3811	7.3093	7.9471	7.2797	7.4195
