Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1
U133A__SIK1	5.5407	6.6616	4.9096	5.4238	6.6913	5.4221	5.3659	7.7282	8.163	5.4636	5.4409	6.6593	5.7017	6.0411	5.9479	5.3807	7.5037	6.582	5.9786	5.4702	6.3386	6.4975	5.7459	5.7844	5.5274	5.4881	5.517	5.6329	6.3212	4.9697	6.495	5.7079	6.6356	7.7926	6.1986	5.6693	6.413	5.5653	6.0509	5.3543	6.0703	5.5297
U133A__CTSH	7.7912	7.8723	7.1516	7.8606	7.6416	5.9081	7.2351	8.2239	6.6067	7.394	8.0708	7.8029	9.1521	8.9282	8.7475	7.4304	8.2436	7.9671	9.1895	6.2436	7.3984	9.0816	6.3329	6.9505	8.1891	6.9421	6.8663	7.6441	5.5631	6.3931	9.1441	7.6669	7.427	8.1701	6.6331	5.5263	7.2394	7.1167	9.3313	7.7488	8.5733	7.101
U133A__KRT4	6.9644	10.0722	5.5598	6.021	5.6361	5.6631	5.1239	6.5386	5.5032	6.0737	5.8991	9.4795	11.8723	5.6528	8.7042	12.978	7.2059	6.06	11.0246	5.7431	5.5836	5.7032	5.4862	5.5855	6.3982	5.4281	5.8633	6.9905	5.5127	5.5702	5.7597	9.9403	5.9632	5.8219	5.4273	5.8027	7.1576	6.1567	7.2326	5.8672	6.964	5.5862
U133A__BACE2	9.3765	8.281	6.3105	6.1423	6.0657	5.3419	6.603	7.5574	6.834	6.793	7.912	7.5191	7.95	7.8842	7.7563	9.2403	7.9159	7.0988	9.2209	6.3671	7.1378	6.2433	5.9436	6.2496	7.3922	6.7457	6.6809	7.7806	6.3089	5.4893	8.2188	9.4037	6.7943	8.3682	6.6684	5.4672	6.8133	7.5997	8.4457	6.8962	7.3362	6.4187
U133A__EPAS1	7.5586	9.4435	6.5628	6.6454	7.1099	6.6122	7.581	6.878	5.9279	7.9068	9.1876	9.0687	8.1309	8.2067	8.4481	11.134	8.0527	8.9875	8.7955	7.4187	9.242	7.7912	8.5965	8.4085	9.4821	6.3178	8.0953	7.8271	9.2692	7.9185	8.6953	9.5402	6.3055	8.8077	8.0257	8.9549	10.3129	7.6909	9.5309	7.7552	8.2398	6.3461
U133A__SDC2	7.6839	4.4758	5.471	5.8173	4.5404	5.3484	4.9752	10.2929	6.6377	9.2915	8.7747	4.4879	4.6024	4.7327	7.4159	9.7014	7.0364	7.5149	4.7632	8.8181	4.7019	6.728	7.8196	9.0147	5.4896	7.431	4.4419	4.9399	6.4263	5.0457	4.3422	4.8889	6.2214	4.7253	5.4138	6.0161	4.9022	6.7886	5.683	4.8569	4.8693	6.2833
U133A__KRT7	10.1211	11.0636	10.6804	10.0912	3.555	8.9173	5.3362	9.7258	8.9656	4.8813	7.8858	9.3769	10.4135	11.0505	10.8063	10.5188	10.3118	9.5229	9.7402	4.6072	6.1713	6.5574	8.418	4.0198	10.127	8.702	10.5889	10.3833	4.1635	9.0756	10.5973	10.8183	3.5269	11.4685	10.7265	10.5658	9.6603	6.9013	10.3015	6.8825	8.9429	5.5108
U133A__MALL	5.9594	9.6574	5.7996	5.7681	5.5609	5.355	5.4016	7.6983	5.6344	5.9818	6.1853	8.6162	9.3676	10.0543	8.2866	8.4348	6.8244	7.0931	9.9715	5.675	8.3023	6.3252	5.9264	5.4322	6.7314	5.8379	5.7292	6.607	5.3331	5.6076	7.7222	6.8833	7.6292	6.4668	5.7006	6.9903	5.6005	6.0371	5.9517	5.5443	5.6336	5.7131
U133A__DERL1	5.475	8.3416	5.9092	6.4988	6.0889	5.9957	5.5655	5.7088	5.9916	7.7607	5.6934	6.8211	6.503	7.2959	5.6843	8.4643	6.2926	5.7426	6.9287	6.1283	6.7508	6.2364	6.6886	6.4555	5.8625	5.6717	5.9146	5.5712	6.2623	5.5019	5.8745	8.4292	6.1425	5.7119	5.7651	6.4365	7.6148	6.2023	6.4948	5.956	6.8543	6.161
U133A__CSTA	3.3672	5.2138	4.492	3.8183	4.0291	3.9406	3.9232	3.8298	3.1942	5.5298	4.8696	10.7546	10.2411	6.2854	4.2378	4.0758	8.8013	5.8523	8.0961	4.0575	4.9609	6.884	3.5562	3.861	9.2798	3.9751	7.9998	4.3999	3.7416	3.701	3.5472	4.7564	4.0488	8.603	4.9863	3.2478	4.8553	4.1182	3.3322	9.6093	3.6782	3.562
U133A__S100A2	5.7104	5.2629	5.0266	5.1361	8.7308	5.1261	9.3678	11.8664	8.1017	4.6494	5.0442	12.1145	9.7223	9.938	6.7237	5.0393	12.6387	7.9326	10.0914	6.775	6.5171	4.9131	4.8508	7.9401	6.4604	5.843	5.1111	6.0773	7.1644	4.8966	8.4703	5.6079	8.4846	10.926	8.9102	5.3655	5.9202	5.5082	5.3582	5.3529	6.4182	5.7302
U133A__NMI	5.4002	6.3355	5.7453	6.2096	6.1877	3.8738	6.686	5.7535	7.1553	4.6454	6.3539	7.9995	8.664	7.9398	6.1445	6.8946	7.0581	6.7868	8.4223	6.1866	5.3983	5.7694	4.0752	7.4026	5.436	6.8466	6.5341	3.9968	6.5408	5.6363	8.6585	5.8808	6.4119	8.0871	6.5488	4.6572	5.5115	4.7055	6.0912	6.4388	4.0133	5.2935
U133A__PTEN	6.0913	6.269	6.7616	6.5673	6.7866	6.3073	6.2833	7.0194	7.0259	7.696	6.2325	8.17	4.6058	7.0343	7.1806	5.6098	4.8611	5.0714	5.7272	7.3598	6.9642	7.2994	7.083	7.3628	6.987	7.1792	6.1864	7.1573	7.4404	6.7947	6.6651	6.2051	7.5944	4.527	6.9457	7.5813	6.3954	7.375	7.731	8.3939	7.1754	9.5046
U133A__ID3	6.5887	8.2017	6.292	4.9436	9.0818	8.7673	6.8911	6.2882	8.7247	5.5829	4.654	7.8635	9.1626	5.6262	9.7219	9.16	7.4433	9.2935	8.3717	8.8993	7.6416	7.6832	8.4068	8.3992	7.0932	8.1135	7.6525	8.5874	4.423	7.9443	7.0461	8.3927	8.1339	8.6072	8.571	6.0519	8.38	7.5964	7.2625	7.3309	7.6576	7.1219
U133A__SHOC2	6.4196	6.4652	6.926	7.4526	6.3936	7.5677	6.6822	6.5926	7.2378	8.2063	5.6342	7.8995	6.1507	6.0135	5.6852	6.8143	6.356	6.268	7.263	5.3781	6.6247	6.8352	7.1692	6.6768	6.7138	7.1528	7.9108	8.2722	7.2903	8.0058	7.0351	6.3408	6.6276	5.6485	6.6845	7.9337	6.8114	8.0742	7.641	10.5269	6.9367	9.7141
U133A__RIPK4	6.9369	8.614	7.3972	7.0338	6.6705	7.0491	6.4881	9.796	8.8061	7.3564	7.6975	8.7888	8.9884	8.8039	8.166	10.051	7.9447	7.9849	9.5888	8.0963	7.4957	7.1495	6.9917	9.6954	7.2635	6.6804	7.1106	7.1915	6.6007	7.0182	9.2631	7.6382	9.5498	8.7522	7.4829	8.2037	7.8159	7.7129	8.042	6.7148	7.4084	7.0509
U133A__PPL	7.2713	8.6978	7.5989	7.4733	5.343	7.0375	5.1253	7.7172	7.1606	6.3943	5.6236	8.6777	7.8406	6.9215	7.4366	9.0138	6.3552	6.8729	8.4826	4.9562	8.1627	7.1625	6.2894	4.9658	7.221	5.0623	8.1619	8.0623	5.8596	6.3576	4.7159	7.8424	6.0512	6.4286	4.7362	7.7004	7.1074	6.9717	8.5963	6.9001	7.4454	7.5252
