Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	1	1	1	-1	1	-1
U133A__RHOB	10.4942	9.873	11.0388	10.4831	6.7962	11.0472	8.3443	6.5967	5.3472	11.2735	6.8223	5.304	6.3977	6.8571	10.6523	9.5881	6.7605	5.6554	4.5314	6.3916	9.3614	9.9117	11.0411	7.4355	10.1894	6.7163	10.5222	9.9235	9.2453	10.7721	7.3136	10.9564	5.3243	5.6316	8.7454	9.5754	9.765	9.1037	9.9938	10.6561	9.3275	10.3209
U133A__KANK1	5.1845	6.3431	4.4629	5.8517	6.3967	4.9071	4.5114	7.1835	6.6344	4.4494	7.8058	6.3191	6.8472	5.5078	4.8784	4.5401	6.1554	7.7999	8.4046	6.2557	5.5361	5.3198	4.7946	4.5636	5.0467	5.6924	4.7356	4.2955	5.8591	5.7617	6.8357	5.8712	5.7353	5.6835	7.4	5.007	6.1543	5.6976	6.0245	5.7133	6.432	6.2831
U133A__SERPINH1	7.3383	7.1112	8.1094	7.609	10.5733	9.4768	8.6268	8.1624	9.1995	7.2126	9.7949	9.0328	9.016	7.5828	8.5273	8.1352	9.7503	8.4767	8.1285	9.4153	8.799	8.2441	7.2596	6.5507	9.796	8.2198	7.7041	7.8123	8.8173	8.1456	7.3328	7.2836	9.8089	9.2239	8.8404	6.2635	9.6402	8.6763	7.692	7.3527	7.3068	6.6774
U133A__IFNGR1	6.2688	7.5228	6.3571	5.4815	5.8801	5.2355	5.7804	6.8528	8.334	4.6056	6.7327	8.5441	8.1554	6.8216	4.8815	8.3696	6.9811	7.6443	8.2171	6.8533	6.2653	5.2145	6.2502	7.4998	6.6431	6.5338	6.6722	6.1714	7.2957	6.5028	8.8206	6.212	6.5564	7.4746	7.0159	6.9089	6.8947	5.0929	7.0664	5.7274	6.1177	6.2415
U133A__WWTR1	5.5378	5.4353	3.966	4.1743	7.3987	3.3913	5.7099	8.3892	5.0729	5.616	6.4266	6.3704	8.6394	6.8808	4.278	8.0557	6.9231	9.3347	8.5677	7.4314	3.8181	3.8193	3.4958	6.5088	4.0356	6.9541	4.5266	3.6265	6.1605	4.75	6.726	5.0238	7.8837	6.1643	5.4187	3.2832	8.0272	5.8601	6.6523	5.1135	5.1994	3.6301
U133A__RIPK4	6.9369	8.614	7.3972	7.0338	6.6705	7.0491	6.4881	9.796	8.8061	7.3564	7.6975	8.7888	8.9884	8.8039	8.166	10.051	7.9447	7.9849	9.5888	8.0963	7.4957	7.1495	6.9917	9.6954	7.2635	6.6804	7.1106	7.1915	6.6007	7.0182	9.2631	7.6382	9.5498	8.7522	7.4829	8.2037	7.8159	7.7129	8.042	6.7148	7.4084	7.0509
U133A__GCLM	6.0291	7.5479	5.4249	5.7461	7.6196	7.7395	6.217	5.5992	7.0837	7.1773	7.0669	8.3129	8.4717	7.7987	5.9682	6.114	8.1152	7.5195	8.4664	8.4537	6.8713	5.8763	6.9286	6.4362	5.0065	8.8706	6.9329	7.2826	7.292	6.7209	8.5339	6.6394	7.626	8.7869	8.1921	6.054	7.1043	5.0209	6.7278	4.8826	7.8625	6.8645
U133A__PRNP	6.1952	7.6265	4.4988	6.3549	8.3473	2.8621	7.7789	8.8473	8.0052	3.5182	8.5845	9.0397	9.2202	8.6949	3.0417	6.9932	8.0449	9.5522	7.329	9.3616	5.659	4.5659	3.7609	8.366	6.9978	8.3535	5.8395	3.3305	6.5325	4.0872	8.1388	7.1137	7.4428	8.3248	8.0389	5.8058	8.4491	6.0263	6.8121	4.5816	4.4824	5.6471
U133A__DIP2C	6.0306	5.6	6.1426	7.3021	5.8184	7.2703	5.3375	5.9785	7.7083	7.6453	5.5877	6.3643	5.5528	4.2909	6.1653	5.8443	5.318	7.5229	3.946	5.2792	6.2597	6.5002	7.245	7.9021	6.0921	5.9908	7.1526	6.9179	5.8195	6.2128	5.3291	5.3484	6.081	4.2421	5.8763	8.1831	5.1349	5.6502	6.3524	6.2191	5.9423	6.4159
