Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	1	1	-1	1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	1	1	1	1	1
U133A__IFI6	4.9866	6.1205	5.4451	10.1621	5.5759	5.5314	6.4811	7.4325	7.2127	6.6375	9.9393	6.0926	8.479	8.4356	8.9623	5.4425	5.726	6.5632	8.5826	6.9663	5.9167	7.0966	7.5224	9.0873	6.7666	5.8968	6.2391	6.5746	6.6056	5.8892	9.3912	5.4492	6.297	5.104	5.1714	5.6316	5.4146	6.5746	5.244	5.1317	4.6725
U133A__TNFRSF21	6.9434	7.383	6.2411	5.8168	7.6132	6.2938	6.7414	9.4794	6.2643	6.3644	8.9963	8.8483	7.9123	8.4644	7.3763	8.9154	9.1783	7.7884	7.9115	10.028	7.0946	6.9593	7.6411	8.7664	8.4893	9.2021	7.3706	7.6864	7.8007	5.8836	9.4798	6.6581	6.831	5.5389	7.9016	6.9565	7.1457	7.9318	5.8725	7.7789	6.4674
U133A__CYP51A1	7.1379	6.7235	7.9948	6.9283	6.7289	7.7408	6.6008	6.9648	7.9976	8.1668	8.4123	6.9172	6.5777	7.3519	8.1687	7.165	8.4226	7.2755	7.1489	7.556	7.7218	8.3815	7.7393	7.8408	7.125	8.0664	6.2976	7.4839	8.2237	7.1755	7.0345	7.9582	6.6826	6.8516	7.0758	9.0446	5.9458	7.5436	7.2496	6.7678	7.5472
U133A__UBL3	8.7963	7.6775	6.922	7.6336	7.3076	8.7664	5.7383	6.5634	6.2866	9.5318	5.493	6.6881	6.6114	5.7834	5.8757	7.9422	6.3881	6.4779	6.177	6.1569	7.5274	7.2907	6.2037	6.054	6.3585	6.6733	8.7684	7.6624	6.5733	8.2815	6.1326	7.7059	7.3602	6.3717	7.0935	8.8315	7.2158	7.517	8.1667	7.6898	10.0176
U133A__ASNS	5.7555	6.9915	8.6184	7.1894	8.7816	8.0217	6.8922	7.2217	8.7944	7.2405	7.4364	8.23	7.3351	6.7055	8.3372	7.0562	7.619	7.5599	9.0102	8.0987	7.5216	7.197	7.7174	7.4411	6.7424	9.2835	6.6397	8.0286	8.1835	6.3197	8.8295	7.3892	8.7993	7.3568	10.555	11.7898	6.9057	7.4767	6.5745	6.7488	7.3136
U133A__PODXL	5.8122	5.7718	7.415	6.6408	5.2774	6.7693	6.4555	7.8292	8.6333	5.6383	5.5409	7.5824	8.1435	5.8862	5.8571	6.0954	7.4922	5.36	8.3307	6.3805	6.9023	8.2421	7.1327	6.063	6.6091	7.0962	6.9862	5.6992	7.6973	5.7078	7.339	5.6023	5.7194	6.0624	6.5541	5.9662	5.7361	6.265	5.4449	5.6006	6.6903
U133A__IRF9	6.567	7.2426	6.4215	10.1828	7.6644	6.1171	7.5577	8.3291	8.6936	7.7642	7.5971	6.2636	9.3201	8.0265	9.4517	6.8795	7.5318	7.4596	9.766	6.7956	6.2872	7.9939	8.6157	7.9128	7.9232	6.4818	7.5838	7.5909	7.6485	6.9253	9.4289	6.1693	6.8573	6.0417	6.8427	6.3509	6.8277	7.4402	6.3875	6.6608	6.0362
U133A__KIAA0100	8.8681	9.2054	8.8628	8.6047	7.4282	8.9246	7.5337	7.7525	7.5068	7.9503	8.0312	8.2047	7.8415	8.2902	9.0749	8.4022	8.2701	7.8823	7.6288	7.6848	8.8026	8.3881	7.8276	7.2512	8.327	8.6738	9.0547	7.8274	7.5392	8.4813	7.605	9.7569	7.9615	8.6067	7.8017	8.3358	9.2605	10.2621	8.2115	10.903	8.5997
U133A__MSL1	8.4973	11.0616	7.6567	8.9254	7.246	7.5161	6.9702	6.2351	7.9444	6.4312	7.5699	7.3185	7.0968	7.4843	7.1746	7.6938	6.777	7.3462	7.9972	7.5341	7.7231	7.2066	8.0309	7.4204	7.6825	7.3756	7.8424	7.0973	7.4219	7.0433	7.2279	11.0407	7.3822	8.238	7.4681	7.1078	8.3011	11.0363	8.2656	6.6441	8.1269
U133A__NOTCH2NL	7.8298	8.6341	7.6974	7.8539	7.4215	6.8991	8.2007	8.7139	10.2228	7.6996	7.2474	7.7885	6.7152	7.8414	7.163	7.8356	7.0501	7.9431	8.1671	6.7489	7.9419	8.6442	6.2143	7.3806	7.39	7.798	6.7809	7.1969	7.7693	7.2189	7.8977	7.5982	7.1509	6.8928	6.7038	7.4317	7.8704	9.2372	8.3514	8.2976	7.9329
U133A__IGFBP7	2.9865	2.8753	2.8187	2.8488	2.9678	2.9102	6.2946	8.1639	2.9617	3.057	9.0694	7.7424	4.9465	2.8659	3.0689	2.8328	7.664	6.8087	5.298	9.287	2.953	2.8392	2.8773	8.7334	2.9882	8.5718	2.8618	4.331	4.3887	2.7709	2.9252	3.7421	3.4559	4.3464	2.9303	2.8623	3.2633	3.1601	2.8804	2.8511	2.8224
U133A__HOMER3	6.0414	6.7908	6.0965	5.8645	6.9993	6.5947	6.4992	7.4988	8.1995	6.5724	6.6337	7.0466	5.9441	7.3602	6.3587	5.9818	7.9062	5.9173	7.2291	7.8541	5.4821	6.8363	6.597	8.333	6.8523	6.0062	6.1166	7.0976	6.872	5.836	8.8869	5.9463	6.8397	6.8507	6.3858	4.9433	4.8396	6.7364	6.0386	6.1329	7.0818
U133A__C3	8.0106	5.5822	6.0817	5.8311	5.7648	5.7742	8.0969	9.0395	6.3784	5.6617	10.1816	7.4163	8.7858	5.9001	6.1855	6.5894	8.5375	6.2009	9.4553	6.0739	5.9398	5.8497	6.0495	6.9302	7.2708	5.7414	5.7467	6.1981	8.4282	5.8062	7.7387	5.7035	5.7721	8.3609	7.3317	5.9459	5.7433	6.22	5.8786	6.0972	5.5469
U133A__PSPH	3.0836	2.8068	8.8397	6.7999	6.9781	3.9571	3.0708	3.5236	4.0114	2.8876	4.9507	5.6603	5.337	4.8724	3.7695	3.2991	8.5676	4.3599	6.2269	3.3834	3.9784	3.957	3.1641	7.7069	8.0686	6.9336	3.8532	6.5213	4.0688	3.6251	9.7515	3.3861	7.1978	3.5548	6.222	3.3091	3.816	3.4727	2.8167	4.8848	3.3359
U133A__SLC6A8	6.9459	7.8981	7.4036	5.6976	8.3725	5.8974	6.4197	5.6049	7.2957	6.4491	7.5947	8.6334	5.8306	7.764	6.8817	7.1394	6.7583	6.8535	5.7344	6.6405	5.9897	6.7365	5.8509	6.4881	6.2545	6.0851	7.9234	6.7876	9.1798	7.6796	5.7613	9.4851	7.0348	8.1285	9.511	6.3318	6.7968	6.2045	6.8256	6.2767	7.9459
U133A__RBP1	4.9917	4.9346	5.4835	5.7961	5.0867	5.209	5.4796	8.9096	7.3428	6.2527	5.4054	5.6712	8.0306	7.5767	5.7259	4.9838	5.5924	6.9637	8.7362	5.489	5.0856	5.0419	10.2069	6.3413	5.2231	4.9367	5.0215	5.3652	5.411	5.1334	9.1263	4.867	5.5451	5.3278	4.8704	4.9851	5.082	6.1421	4.9269	5.1145	4.82
U133A__LANCL1	6.7689	7.9484	7.1973	8.0437	7.4032	6.8113	6.0496	8.2676	7.471	7.7845	6.858	6.4065	7.4074	6.1261	6.0262	7.1325	6.5866	8.9228	7.4355	7.3639	6.9245	6.5193	7.6214	7.1381	6.6311	7.2862	7.7475	6.4586	5.7058	7.6675	6.9237	9.6917	8.1542	7.5143	6.6789	8.0595	7.3913	7.8901	8.0387	7.1071	7.3553
U133A__DECR1	6.66	9.0064	7.3199	6.8777	7.0909	7.5545	6.3566	7.8356	5.9952	7.8875	7.8221	5.3596	7.6481	6.4086	7.4553	7.8985	7.6777	8.2614	7.4609	6.9361	6.6044	7.7078	7.3777	7.9482	8.3211	7.3017	6.9448	6.9046	7.3967	7.1159	6.222	9.7578	7.3422	6.2275	3.9487	3.9781	7.355	7.5332	6.7474	6.1164	6.8056
U133A__LGALS1	9.2382	7.7525	5.8446	8.8126	11.9757	12.336	12.3419	12.1952	11.1399	10.6651	11.5613	8.1987	9.9206	10.3303	10.8452	5.0472	11.7356	11.486	11.2154	12.9455	7.8464	8.893	10.3526	12.5884	11.124	11.6327	5.2613	11.3986	11.7984	10.2053	9.4923	8.8885	12.472	11.8188	5.4749	9.5798	11.0411	10.1593	6.0697	9.5206	8.6626
U133A__MKNK2	8.8547	9.1024	9.4367	9.134	7.54	8.4693	8.4639	7.416	9.167	9.0655	7.1375	8.6892	8.2033	7.7142	8.8308	8.9706	7.5959	9.0658	8.9596	7.0119	7.0536	7.6164	8.2146	7.3453	8.596	8.3944	8.5317	7.9915	7.5164	9.8256	7.9628	9.3436	6.5736	8.4037	11.1721	8.8276	8.2748	9.5034	10.562	8.6244	9.1577
U133A__PPP1R3C	5.3507	5.3831	6.9823	6.0548	7.049	7.3675	6.7619	5.4099	5.1707	6.4353	5.3367	5.5783	6.4418	5.2825	7.0712	5.6056	5.5377	6.2115	6.2363	5.8868	6.9161	7.2075	5.7518	6.3184	8.2775	6.2228	6.6878	8.1684	5.3715	5.5832	7.3416	5.8696	5.6742	5.9204	6.3529	5.4165	5.5653	8.3111	6.3951	5.7111	5.2313
U133A__SDC2	7.6839	4.4758	5.471	5.8173	4.5404	5.3484	4.9752	10.2929	6.6377	9.2915	8.7747	4.4879	4.6024	4.7327	7.4159	9.7014	7.0364	7.5149	4.7632	8.8181	4.7019	6.728	7.8196	9.0147	5.4896	7.431	4.4419	4.9399	6.4263	5.0457	4.3422	4.8889	6.2214	5.4138	6.0161	4.9022	6.7886	5.683	4.8569	4.8693	6.2833
