Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	1	1	-1	-1	1	1	1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	1	1
U133A__ID2	8.0734	7.4444	3.4919	9.022	7.2765	8.2608	9.4546	8.9987	8.7602	7.2989	8.911	9.6486	3.8659	9.4692	6.8716	7.2985	6.0127	7.966	8.6926	9.3373	7.6134	7.141	9.3071	7.5169	9.9817	7.6966	5.7772	6.8302	6.2331	6.7214	6.8739	7.9709	6.2231	7.4058	8.9398	6.7317
U133A__CAT	9.2728	8.6882	8.9651	8.6094	8.1768	7.6458	7.9778	7.1926	8.5442	9.183	8.3309	8.5523	9.9741	8.1137	9.9591	7.7908	8.3007	7.9061	7.812	9.1065	7.2563	8.7414	9.0302	7.4691	8.3149	8.1271	8.2005	8.7364	8.0446	6.1542	10.075	8.6121	9.4779	9.0364	7.6033	7.5928
U133A__PRELP	6.8291	6.5662	6.6107	6.843	6.7042	6.6083	6.628	9.6306	6.5614	6.599	6.5589	6.1534	6.5104	6.7419	6.8514	6.4367	6.4912	6.8243	6.7206	6.5358	5.9924	6.6174	6.8615	6.2698	6.7329	6.5423	6.7477	6.5663	6.764	6.3013	6.3472	6.6793	6.6153	6.4132	6.6346	6.4253
U133A__HIST1H2AC	6.6347	6.1315	6.2762	6.5263	8.9285	6.3159	8.2325	6.2668	5.7625	8.2922	6.892	8.9315	5.4115	9.1759	6.6311	9.0257	6.3429	6.1112	7.5399	6.5756	7.5443	6.7217	8.1253	8.7312	7.1371	6.148	7.2614	5.7119	5.4892	7.0303	8.049	6.763	7.3041	6.8911	6.201	5.5955
U133A__MAGEA12	3.4909	8.5934	9.1314	3.6742	4.3691	3.6666	3.181	3.5403	3.6563	9.3479	3.4526	3.1286	4.8389	3.4203	4.1481	3.6093	3.9717	8.1449	3.8575	3.4049	4.8922	3.17	3.8532	3.9622	3.4557	6.8693	5.2006	3.1928	8.1218	3.5872	8.4059	3.7137	3.7545	3.4816	6.3265	7.8246
U133A__CDH1	9.4054	3.1026	9.7731	10.1506	10.8025	2.7451	7.2616	8.8869	7.6506	10.3047	8.1115	9.9294	9.3213	2.9912	9.3955	7.3494	9.9431	3.1604	10.3314	4.8896	2.9383	10.1819	10.7292	10.1856	5.9099	3.9307	3.1058	9.2079	3.5212	10.1757	10.4251	9.7177	9.7436	10.2468	10.6202	10.3636
U133A__ID3	6.5887	8.2017	6.4475	6.292	4.9436	9.0818	8.7673	6.2882	8.7247	5.5829	4.654	9.1626	5.6262	9.16	7.4433	9.2935	8.3717	8.8993	7.6832	8.4068	8.3992	7.0932	7.6525	8.5874	7.9443	8.3927	8.1339	8.6072	8.571	6.0519	7.3742	8.38	7.5964	7.2625	7.3309	7.1219
U133A__H2BFS	7.6939	8.14	9.1665	9.0151	9.4825	7.5511	10.0856	7.4697	7.0381	9.6266	8.3781	10.1758	8.4017	11.3662	8.0953	10.2003	8.323	7.2868	9.6227	8.6025	9.2039	8.9019	10.0234	10.8112	9.3547	8.8394	9.4932	8.0654	6.9914	9.1738	9.0903	8.557	9.8876	7.6589	8.7904	7.7033
U133A__NOTCH2NL	7.8298	8.6341	7.7021	7.6974	7.8539	7.4215	6.8991	8.7139	10.2228	7.6996	7.2474	6.7152	7.8414	7.8356	7.0501	7.9431	8.1671	6.7489	8.6442	6.2143	7.3806	7.39	6.7809	7.1969	7.2189	7.5982	7.1509	6.6654	6.8928	6.7038	8.3539	7.4317	7.8704	9.2372	8.3514	7.9329
