Cell lines	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	ZR751	ZR75B
Response	1	-1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	-1	1	-1	-1	-1	1	1	1	1	-1	1	-1	1	1	1	-1	1	1	1
U133A__CYP51A1	6.7235	7.9948	6.9283	6.7289	6.6008	6.9648	7.9976	8.1668	8.4123	6.9172	6.5777	7.3519	8.1687	7.165	8.4226	7.2755	7.1489	7.556	7.7218	8.3815	7.7393	7.8408	7.125	8.0664	6.2976	7.4839	8.2237	7.1755	7.0345	6.6826	7.4475	6.8516	7.0758	9.0446	7.2496	7.5472
U133A__TUBA4A	8.0959	6.0048	6.8604	7.1961	7.4336	8.0741	6.1229	7.2844	6.1504	9.7248	8.2095	9.6436	6.3914	6.9849	6.436	8.1739	9.3597	6.724	7.2218	6.3682	7.9791	6.2093	7.051	7.6192	6.6858	8.986	6.7349	7.9045	7.136	6.7402	10.2412	10.2433	8.5017	8.7116	7.5034	9.1448
U133A__GRB10	5.4919	8.5374	8.2707	5.3595	4.8131	5.402	10.2075	6.5732	6.3604	4.9465	4.8583	6.6414	6.6836	6.2955	4.6338	6.1154	7.6347	7.8401	5.8101	5.4498	9.6632	7.1144	5.4158	6.6734	6.0157	7.1687	8.0491	5.4992	6.6179	5.3711	4.4084	7.763	6.053	5.8099	4.8448	6.1565
U133A__ADI1	8.4126	6.0904	7.5485	8.1381	8.7872	7.9559	5.7867	7.111	7.2265	8.4107	8.9165	8.3018	6.6829	7.5084	6.2243	7.7446	7.2521	7.0495	8.7333	8.131	6.9574	8.6245	5.8795	7.4451	8.669	7.2065	7.4689	8.8698	8.2637	8.3028	6.8774	8.8092	7.8845	7.9971	6.8236	7.0473
U133A__ASPH	6.8366	6.5254	8.1324	6.8716	6.6723	6.5755	6.2036	6.0212	7.3679	7.8645	7.2219	8.1345	4.4642	5.177	5.7293	8.8405	7.2005	8.9386	6.6102	5.3359	6.6341	7.0177	8.5437	7.5871	7.8154	6.9904	5.8901	8.6886	6.3256	7.7094	6.3051	7.5512	6.0606	8.6961	5.9685	5.6668
U133A__SDC2	4.4758	5.471	5.8173	4.5404	4.9752	10.2929	6.6377	9.2915	8.7747	4.4879	4.6024	4.7327	7.4159	9.7014	7.0364	7.5149	4.7632	8.8181	4.7019	6.728	7.8196	9.0147	5.4896	7.431	4.4419	4.9399	6.4263	5.0457	4.3422	6.2214	4.7253	5.4138	6.0161	4.9022	4.8569	6.2833
U133A__IFI6	6.1205	5.4451	10.1621	5.5759	6.4811	7.4325	7.2127	6.6375	9.9393	6.0926	8.479	8.4356	8.9623	5.4425	5.726	6.5632	8.5826	6.9663	5.9167	7.0966	7.5224	9.0873	6.7666	5.8968	6.2391	6.5746	6.6056	5.8892	9.3912	6.297	5.3162	5.104	5.1714	5.6316	5.244	4.6725
U133A__NQO1	8.3288	8.3661	9.2423	9.9761	8.1091	9.1845	5.7607	9.5916	8.9917	8.9205	9.8127	9.3353	7.4613	8.1832	8.4577	9.8392	8.2246	9.8275	10.157	8.9371	7.248	8.5633	10.5185	9.8231	10.2816	11.265	8.177	8.9245	7.7971	10.7929	7.7514	7.6389	8.7586	10.7305	8.4671	8.0085
U133A__LGALS8	6.93	7.7823	8.9898	4.0492	5.2592	6.2438	4.4525	7.5037	4.2296	6.4287	7.3981	5.7325	5.2971	8.0335	3.8314	5.7469	5.9013	4.1778	3.8058	5.3444	7.2931	3.8368	7.8755	7.5299	7.1015	8.0029	6.5652	7.9816	5.402	4.3027	6.2919	4.594	4.0473	8.0004	8.9952	6.5759
