Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	-1	-1	1	1	1	-1	1	-1	-1	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1
U133A__ID3	6.5887	8.2017	6.292	4.9436	9.0818	8.7673	6.8911	6.2882	8.7247	5.5829	4.654	7.8635	9.1626	5.6262	9.7219	9.16	7.4433	9.2935	8.3717	8.8993	7.6832	8.4068	8.3992	7.0932	8.1135	7.6525	8.5874	4.423	7.0461	8.3927	8.1339	8.6072	8.571	6.0519	8.38	7.5964	7.2625	7.3309	7.6576	7.1219
U133A__CST3	7.8659	6.7192	9.7824	10.026	8.2635	7.8759	8.359	7.946	5.0466	9.2058	9.3159	9.137	4.7632	4.5048	4.4327	8.171	5.8202	8.888	5.6844	9.0656	8.6406	9.918	8.8921	10.9584	8.5309	9.7941	8.7841	7.7873	3.9799	6.6027	7.7348	9.7141	8.1298	10.963	8.4317	8.6142	9.3117	6.7087	8.9741	7.6018
U133A__IGF1R	7.4366	6.0432	7.616	9.0997	6.7451	5.1784	6.164	7.4726	4.8247	7.1078	5.9359	5.9343	6.3173	5.3298	5.5299	6.252	5.9489	6.6041	5.5932	5.6916	7.8115	8.3023	5.3234	5.1774	6.931	7.3309	5.6135	5.9851	4.8088	5.3017	5.5466	6.4853	4.9335	7.2016	7.5757	7.0228	7.4657	5.5772	6.3976	6.4581
U133A__LMCD1	6.5609	6.4091	6.1756	7.4953	5.3439	6.2751	5.829	7.8319	5.3364	7.8935	7.3762	5.3461	5.7221	5.6691	5.9457	7.0603	5.1047	6.4592	6.3042	5.9992	5.9717	8.0941	5.9372	7.2973	5.7364	6.2042	7.0151	5.3802	5.0196	6.1463	5.4766	5.0203	5.7004	7.9499	7.4884	7.5056	8.1009	6.6191	8.1152	5.7219
U133A__UCP2	9.6294	10.6891	11.051	10.1722	9.2555	7.9243	7.2126	8.9817	5.642	10.1599	7.6198	8.3911	5.8092	6.2556	9.9079	8.7794	8.1962	9.2716	8.7817	5.512	9.2632	11.818	7.505	10.7462	9.3588	10.4657	9.2304	5.3891	10.4055	10.2665	6.2975	5.8019	5.5516	9.1125	7.4515	9.3054	8.5052	7.9376	9.006	8.6715
U133A__TFF1	12.2913	8.7704	12.009	13.0647	4.5823	11.357	4.4645	5.0347	4.9526	12.0586	5.5069	4.6102	4.7953	5.1295	7.7444	6.8636	5.3196	4.6565	4.7428	5.032	12.6032	7.2875	4.6427	11.0566	4.7941	12.0723	7.1696	4.5311	4.66	6.7433	5.0684	4.859	4.9279	10.1664	5.2403	4.7042	12.6332	7.8516	8.9264	12.1863
U133A__TNFAIP2	6.5795	8.2231	6.3738	6.1237	5.8589	6.542	7.6816	7.4465	8.7141	6.2884	5.9616	8.3867	8.5324	7.833	6.9407	6.4399	7.8688	8.5522	9.3888	6.3682	6.5616	6.4062	8.2471	6.4737	6.5829	5.7377	6.762	7.6957	8.9943	7.0839	6.245	8.1	6.9614	6.0373	6.7441	6.7504	6.8502	5.7957	6.9406	6.5668
U133A__S100A2	5.7104	5.2629	5.0266	5.1361	8.7308	5.1261	9.3678	11.8664	8.1017	4.6494	5.0442	12.1145	9.7223	9.938	6.7237	5.0393	12.6387	7.9326	10.0914	6.775	4.9131	4.8508	7.9401	6.4604	5.843	5.1111	6.0773	7.1644	8.4703	5.6079	8.4846	10.926	8.9102	5.3655	5.9202	5.5082	5.3582	5.3529	6.4182	5.7302
U133A__ME1	8.3567	7.7974	5.9976	4.3669	6.2304	3.5126	6.2684	5.2956	7.5277	6.3978	6.0968	8.6735	7.608	7.8782	4.659	6.6291	7.442	6.9336	7.1357	6.5106	6.5939	4.2005	8.2989	4.2227	6.5132	6.5847	8.4861	7.0108	6.7743	6.4531	6.6978	6.6297	7.1395	3.7365	8.4449	3.91	5.382	6.4445	8.5652	7.0946
