Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1
U133A__GRB7	8.3996	10.2608	7.1275	10.6507	7.1976	6.3286	7.053	8.3948	6.9301	7.1531	9.4888	6.7622	7.2019	11.2984	9.5524	7.5151	8.0687	6.7119	7.5479	6.7995	7.5126	6.6554	6.355	7.4331	6.1061	8.6563	6.8747	7.812	9.662	6.2945	6.7471	7.4331	12.4555	7.0393	7.1024	10.4791	7.1442	6.9964
U133A__ERBB2	9.3202	12.1579	7.8098	12.0098	9.58	7.0802	8.4009	8.7493	7.9295	7.6523	11.8139	7.294	7.8108	11.5446	12.1228	9.3757	8.9136	8.1445	7.98	6.6782	8.5128	6.8815	7.0918	9.2857	6.6117	11.035	7.8448	10.215	11.611	6.9193	7.3643	8.4025	13.0449	7.652	8.3078	12.1946	9.1095	8.3688
U133A__PGAP3	6.0798	7.7235	5.5166	7.8242	5.9351	5.2618	5.6344	6.0077	5.363	5.2591	5.2674	5.2901	5.1176	8.224	7.6509	5.914	5.4419	5.4125	5.624	5.2056	5.6348	5.6203	5.1433	5.5062	4.8408	7.3947	5.4054	5.9113	6.9123	5.3523	5.3377	5.4946	10.9139	5.4472	5.34	7.9766	5.7382	5.5235
U133A__ACSL1	5.8954	8.2165	6.9153	8.658	6.2343	5.1716	7.2737	7.9344	5.8146	6.185	8.0636	6.2	8.2443	6.2225	6.6356	6.7455	5.5297	7.044	8.7631	4.7826	6.1018	6.4659	5.6861	7.0502	5.928	7.5073	7.6861	8.5253	6.84	4.6924	6.8998	6.3058	9.291	8.5472	6.3515	8.1543	5.7848	5.8106
U133A__RNASET2	8.128	8.9614	7.3384	8.3523	7.6879	6.5304	7.4109	6.2817	7.1632	7.2288	8.724	8.1106	6.9623	7.4644	8.3347	7.8744	5.444	5.712	7.6474	6.5863	8.1873	8.1991	6.5105	7.9749	6.851	9.2695	6.9932	8.1165	8.4278	6.555	6.0853	9.1341	8.5411	9.2691	6.3693	10	7.9327	8.4503
U133A__GCHFR	7.0875	7.7336	7.3299	7.4086	6.3534	5.9174	7.0334	6.0695	5.6255	6.5892	6.057	5.9386	5.6697	6.4225	7.5495	7.2153	6.4454	5.5521	9.3148	5.7151	6.6104	6.846	5.6439	8.0588	4.8651	7.7018	7.5975	8.9348	8.3753	6.5251	5.3529	6.5813	7.5842	5.7935	6.8521	6.8993	8.7278	7.0875
U133A__PRSS8	8.8288	8.984	7.5482	8.4017	8.4845	5.5972	7.5995	7.1231	8.7157	7.8521	7.897	6.8913	7.7276	7.1033	9.1171	9.0244	7.8961	6.167	9.0988	5.8126	7.696	7.6602	5.2863	8.842	5.6892	8.4368	7.7911	7.8115	8.3283	5.4722	4.5504	10.1071	9.5346	6.0866	7.2982	9.366	8.0536	7.1875
U133A__KMO	5.7671	7.6837	5.6079	6.0018	5.9323	5.4186	4.9161	5.6305	4.6965	5.4732	5.4523	4.9175	5.0193	5.6756	6.8911	7.1436	7.2444	5.8379	4.714	5.3228	4.7064	4.5188	5.1243	7.3547	4.6571	7.0098	5.6323	8.8071	6.233	5.1258	4.7453	5.5913	8.7828	4.6167	6.1682	5.529	6.2072	4.8873
U133A__LOXL1	7.6117	4.1966	5.1158	4.3121	5.5348	8.338	5.7862	4.933	8.9195	5.1848	5.3431	3.9845	4.0034	4.3856	5.2075	4.1953	4.8002	6.8359	4.9628	9.1502	8.9368	6.588	8.3756	3.6902	5.6773	6.3196	7.3211	4.5602	4.2818	9.7542	6.6159	5.6259	3.9347	8.3171	4.6056	5.1326	5.3135	5.2119
U133A__AZGP1	11.0784	9.5652	4.1337	4.3722	5.3773	3.828	4.9144	9.7205	4.6557	3.8861	7.4406	3.8669	7.7823	6.7995	11.0073	6.6826	8.834	3.7841	10.0723	4.0968	3.7957	3.9856	3.0804	7.5474	4.0232	6.4078	9.4461	9.2802	5.7217	4.0741	3.7598	4.1752	9.6783	4.0009	5.3704	7.4854	8.8218	4.9162
