Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1	1
U133A__GRB10	4.7959	5.4919	8.5374	8.2707	5.3595	7.4569	4.8131	5.402	10.2075	6.5732	6.3604	4.9465	4.8583	6.6414	6.6836	6.2955	4.6338	6.1154	7.6347	7.8401	5.8101	5.4498	9.6632	5.4158	6.6734	6.0157	7.1687	8.0491	5.4992	6.6179	4.9824	5.3711	4.4084	7.763	6.053	5.8099	6.8667	7.2711	4.8448	6.1565
U133A__DEPDC6	6.5775	5.651	7.3238	6.9351	5.3355	6.1073	5.1492	6.4586	5.8382	6.8016	5.4454	5.018	5.9569	5.7007	6.5867	7.0469	5.6039	5.2684	6.8221	7.3107	5.2826	7.2091	6.8144	6.3997	5.2031	8.2562	7.3802	5.133	6.37	6.3896	6.1324	5.3696	5.477	5.4188	5.853	5.8502	6.5351	7.6139	5.8068	5.7792
U133A__CRELD2	8.5277	9.2368	8.6445	9.6993	8.6688	8.9179	8.9397	9.0821	8.7685	8.0203	9.7665	10.7859	8.0359	7.6169	8.0733	8.3111	8.9344	9.212	9.3579	8.7961	8.8584	8.2566	8.6466	9.0627	8.2227	8.2875	10.3251	7.6626	9.1468	8.6123	9.006	8.3906	8.2549	8.9392	8.4949	8.646	8.3876	9.3633	8.1463	9.545
U133A__GAL	5.5668	5.0145	5.1247	5.5186	4.3321	5.1451	4.8246	5.9986	7.9881	4.8284	8.7914	9.0261	6.4929	5.9047	4.7434	5.3813	8.2046	6.7009	4.1139	4.7831	6.4596	6.1713	4.3119	4.9348	4.4756	5.308	4.7313	7.4091	4.5764	4.981	4.8875	4.9972	7.4613	5.5538	4.7111	4.6807	4.7853	4.9327	4.9922	8.7476
U133A__IFI27	4.6386	5.1543	4.6777	5.8546	4.687	4.5519	6.1249	4.9288	11.1042	4.871	6.238	7.2516	11.349	11.3436	8.4421	4.4035	5.9256	4.4385	10.9936	4.7467	4.7579	8.9666	4.6875	4.8506	4.661	4.404	4.8339	4.3892	4.6337	9.6865	4.5304	4.6953	8.0022	6.5604	4.5079	4.5195	4.8154	4.3101	4.3879	4.4577
U133A__COL6A1	6.9732	6.3156	6.3956	6.2876	7.7987	5.9948	7.9622	8.9878	5.7568	6.6083	8.0962	7.3804	6.3507	5.6124	6.3969	5.8936	6.4987	9.1927	5.4538	10.8531	6.5479	6.2493	5.8409	6.8487	6.5369	6.4207	5.7732	7.6372	6.0757	5.4333	5.7873	9.5167	7.8725	6.8032	6.018	6.5026	6.3931	7.0413	5.7191	5.9583
U133A__GOLGA8A	5.5482	5.624	7.8406	6.2792	7.9159	5.1443	6.4675	6.1268	6.5558	3.9995	6.2642	7.0239	4.5668	5.7512	4.8288	6.4569	5.5296	6.6093	6.9683	4.5496	4.7798	5.7913	4.5748	5.6399	5.1079	4.7992	4.7586	6.7718	6.2041	5.8264	5.4125	5.9638	7.2451	4.9087	7.7159	8.1643	5.205	7.8459	8.5237	7.3475
U133A__PLCG2	6.5168	6.5628	6.6357	6.3363	6.7695	6.7472	6.6768	6.8618	7.0184	6.6858	6.8866	6.5975	7.3542	6.9606	6.8817	6.522	6.9216	7.2069	10.2967	6.8883	6.7778	6.8881	6.5643	6.3556	6.7718	6.6133	6.7417	7.2307	6.3532	7.5051	6.7498	7.1081	6.2739	6.6263	6.5003	6.699	6.9178	6.6411	6.4317	6.4792
U133A__HPCAL1	5.578	5.9845	6.8938	5.68	6.2353	6.2788	6.425	5.0138	6.6114	7.5659	5.1776	5.7204	6.5238	7.2026	6.9069	6.7662	5.615	5.6009	6.7248	7.1728	6.3002	6.1858	6.2615	5.8117	6.8879	7.152	6.1281	7.7229	5.5699	6.4916	5.8186	6.4995	8.5889	8.5868	6.3343	6.5193	5.2869	5.4867	6.0023	6.3035
U133A__HMGCS1	4.7548	6.6928	8.4489	5.7519	6.6066	5.2763	6.4192	6.7535	7.7171	7.8134	6.283	6.4676	6.3959	6.2914	5.3217	7.887	6.3859	6.4413	6.6387	6.5232	5.2901	6.2517	7.4989	6.4676	6.68	6.8716	6.897	6.1571	7.225	6.4065	5.5922	4.89	5.3679	5.1532	6.8847	5.7117	6.1708	6.9066	5.231	6.3642
U133A__SC5DL	6.1606	7.0351	6.809	7.2429	7.0293	7.3732	6.6472	8.2691	8.7164	8.2697	7.7105	7.5793	7.4132	7.9503	6.6341	8.6072	7.3147	6.6143	7.4732	7.6902	7.2177	7.4234	7.519	7.1048	7.767	8.0885	8.0598	6.9988	7.9005	8.9371	6.4547	6.1235	7.1008	6.808	7.3359	7.3923	8.601	8.2823	6.5754	6.7923
U133A__PON2	6.9905	8.545	6.9593	7.6992	6.8894	7.5751	7.5382	7.1908	6.3066	7.1999	8.0402	6.9952	6.2384	7.0837	7.1096	7.9459	7.2793	7.6566	7.9654	7.5685	6.838	6.2501	8.0083	6.7746	6.4667	7.1855	7.0361	7.1461	6.9661	7.0407	8.2261	7.6251	7.2494	8.6669	7.4132	10.4159	6.8371	7.2709	8.3466	7.3836
U133A__HLA-B	8.2861	6.5287	8.4347	9.7896	8.1642	8.915	10.3122	9.9839	12.112	8.8869	10.6615	9.8035	11.5088	10.0633	10.1819	6.3218	9.5062	10.8249	12.3107	8.5989	6.9006	8.3908	9.4948	8.045	8.1669	9.2382	9.8055	8.963	7.5816	11.9884	6.226	9.7036	8.7843	9.7905	9.8309	8.6981	10.2594	9.7333	7.8149	7.1263
U133A__GSN	9.2268	8.1061	10.15	8.785	7.3084	8.6184	7.8941	10.9304	10.6582	9.1008	8.4068	6.8738	9.206	8.4359	8.8309	8.3216	10.0933	8.9772	9.9856	6.6957	6.9336	8.5384	9.311	8.1205	6.2354	10.0492	9.4899	8.2464	6.2992	8.6325	7.8979	9.4176	8.1646	6.513	9.9793	8.8637	10.1924	8.7947	7.6626	8.7535
U133A__C1orf115	7.2949	6.9475	5.8685	6.449	5.1898	6.9003	5.6689	6.3547	7.1337	5.0147	6.5582	6.3223	6.1112	4.7567	7.2879	7.3154	6.2642	6.4033	5.1145	5.007	5.4686	5.3279	5.574	7.0146	4.8072	7.4573	8.5627	5.6939	7.4798	6.4457	6.4155	4.7245	5.8825	5.5547	5.9571	9.0861	6.4767	6.1671	9.6618	6.7793
U133A__IRF9	6.567	7.2426	6.4215	10.1828	7.6644	6.1171	7.5577	8.3291	8.6936	7.7642	7.5971	6.2636	9.3201	8.0265	9.4517	6.8795	7.5318	7.4596	9.766	6.7956	6.2872	7.9939	8.6157	7.9232	6.4818	7.5838	7.5909	7.6485	6.9253	9.4289	6.1693	6.8573	6.9026	6.0417	6.8427	6.3509	6.8277	7.4402	6.3875	6.0362
U133A__RHOBTB3	5.0787	5.0683	5.1065	5.6136	6.0473	6.2514	6.308	4.9227	5.6696	8.5462	7.9271	7.835	7.275	6.0499	4.2318	6.8141	6.2335	6.566	6.6969	5.985	5.5974	8.3924	6.5413	3.3827	7.6414	5.9011	7.025	4.3117	3.8914	4.5033	5.5555	5.72	3.8442	6.2604	6.5518	7.0476	5.4977	6.662	5.3302	4.6212
U133A__IFIT1	4.7114	4.2157	4.5077	9.7076	4.7238	4.3455	6.5273	4.7744	6.9119	6.1597	6.2547	7.0582	8.6976	6.346	8.2698	4.894	4.5623	5.5582	8.9034	4.7911	4.6602	4.9544	5.3881	4.9999	8.3202	5.5062	4.8948	5.3456	4.8674	9.5009	4.4414	6.1359	4.2817	4.4171	4.5392	4.7807	4.4767	4.3094	4.7475	4.2272
U133A__SLC24A3	5.6004	5.5097	7.0284	8.6046	4.2919	7.6789	4.5472	5.7657	8.3801	7.8815	6.0192	4.488	4.5344	4.5142	6.0343	7.7085	4.6155	4.9532	6.8012	6.2703	4.6445	6.0407	7.2196	5.5787	4.6406	6.2134	5.5668	4.1616	7.404	5.2417	5.3517	4.4037	4.821	4.696	7.0271	6.5218	6.8955	5.7622	5.5253	5.9244
