Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	1	-1	-1	1	1
U133A__CALML5	9.1843	4.9355	4.4468	7.506	5.0858	4.3927	4.4391	7.0081	4.7674	4.4988	3.976	7.0929	6.2387	4.7763	4.6611	5.6873	4.1746	7.6889	4.3762	4.2787	4.7548	3.9299	4.0226	5.8142	9.4476	4.2781	8.6032	3.8489	4.0363	4.425	4.5789	10.2072	8.829	4.1725	4.0406	4.8753	4.1623	4.0767
U133A__ANKRD57	5.9697	4.6663	6.3858	6.1402	6.2868	5.939	7.7336	6.0224	5.2587	6.8299	5.4594	6.5732	6.5182	6.5702	5.1079	5.4951	5.5572	6.0201	5.2873	5.7804	5.1389	7.8938	5.3602	5.5994	6.098	4.9998	6.1175	5.572	5.31	6.1903	6.4324	7.6739	6.738	6.4395	5.5621	7.0825	5.7018	5.2503
U133A__PDLIM2	6.1838	6.4469	6.5686	5.0195	5.6124	8.445	5.1054	6.7985	7.5575	4.7108	6.3607	5.2325	5.6691	6.1512	6.3079	7.0536	6.8265	6.1954	8.6963	6.1059	5.2037	5.8817	6.625	6.3894	4.9201	6.5696	4.5589	7.137	7.7536	6.8021	7.2215	5.3168	5.6906	4.947	5.8226	6.1853	6.1648	6.9082
U133A__ID3	6.5887	8.2017	6.4475	6.292	4.9436	9.0818	8.7673	6.2882	8.7247	5.5829	4.654	7.8635	9.1626	5.6262	9.16	7.4433	9.2935	8.3717	8.8993	7.6416	7.6832	8.4068	8.3992	7.0932	7.6525	8.5874	7.9443	8.3927	8.1339	8.6072	8.571	6.0519	7.3742	8.38	7.5964	7.2625	7.3309	7.1219
U133A__CAT	9.2728	8.6882	8.9651	8.6094	8.1768	7.6458	7.9778	7.1926	8.5442	9.183	8.3309	11.1759	8.5523	9.9741	8.1137	9.9591	7.7908	8.3007	7.9061	7.4298	7.812	9.1065	7.2563	8.7414	9.0302	7.4691	8.3149	8.1271	8.2005	8.7364	8.0446	6.1542	10.075	8.6121	9.4779	9.0364	7.6033	7.5928
U133A__GRB7	8.3996	10.2608	7.1275	10.6507	7.1976	6.3286	7.053	8.3948	6.9301	7.1531	9.4888	6.7622	7.2019	11.2984	7.5151	8.0687	6.7119	7.5479	6.7995	6.1629	7.5126	6.6554	6.355	7.4331	8.6563	6.8747	7.812	9.662	6.2945	6.9855	6.7471	7.4331	12.4555	7.0393	7.1024	10.4791	7.1442	6.9964
U133A__PBK	7.0274	6.7703	6.752	7.0826	6.4642	9.2891	7.091	6.6403	8.3205	5.9385	7.6548	7.2653	6.4	7.1569	7.7515	6.5833	7.6571	6.0256	8.8112	7.1445	6.782	7.9008	7.4454	7.6348	6.0122	7.1833	6.8715	7.02	7.6933	7.9153	8.7212	5.2544	5.0102	4.2319	7.3545	7.3338	7.7813	8.9375
U133A__RAB31	6.2413	8.0673	8.3752	5.1431	7.7963	8.3412	5.7159	8.1732	6.3882	5.2803	6.3372	7.6547	6.0256	7.7825	5.7421	7.6507	9.5565	6.5396	8.4846	8.4498	8.1669	5.4419	9.649	4.7638	8.3539	8.6618	5.3344	8.156	9.8536	8.2197	8.2362	5.2265	6.1315	5.4669	6.4993	7.2702	5.4727	8.7646
U133A__TSKU	11.0637	8.2421	8.5092	9.0798	8.5228	7.578	7.5767	7.5938	7.6168	8.2058	8.1601	8.241	8.0502	8.5889	7.7436	8.2928	8.165	6.5287	7.4395	8.035	8.24	8.9638	7.4804	8.8192	9.0219	8.4862	8.7443	7.8671	7.6819	8.0746	7.4697	8.6837	8.4816	8.7885	7.7775	8.559	7.7132	7.2394
U133A__SH3GLB2	6.5425	6.1316	5.2045	7.5758	6.9276	5.7078	7.1346	6.1178	5.6393	7.6168	5.069	5.9234	7.0037	5.1924	6.4713	5.3567	5.5879	6.4594	5.1439	5.1173	7.4452	7.2121	5.1126	7.0174	6.6336	6.07	6.1606	5.7669	4.7977	6.3724	5.9489	9.1407	6.4003	6.9105	7.6052	6.7678	5.9303	6.9862
