Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	-1	-1
U133A__SHB	6.1653	6.8733	6.828	6.1711	6.3303	7.2606	6.1796	5.8797	6.4954	6.4016	6.8149	6.1061	7.1242	6.5164	7.1248	6.8155	9.4468	6.3557	7.5118	8.0176	6.6858	6.4005	6.5346	6.4142	6.7529	6.5025	6.6582	6.3874	6.546	7.5095	6.2702	5.2957	5.9911	6.1421	7.0421	7.0962	6.027	6.3154	6.456	5.9912	5.9384
U133A__PLXND1	8.0278	8.0521	7.2243	6.8569	8.0591	6.1152	6.932	6.9463	6.7389	7.6025	7.7119	7.432	6.9718	7.012	6.7294	7.4985	8.5089	6.3405	7.3005	7.767	7.1712	7.5315	8.1479	7.045	8.3326	9.6295	6.9015	7.1637	6.9815	8.0254	6.8911	7.248	7.013	6.1165	9.3213	7.7929	7.2942	7.5523	8.2313	6.6068	6.7508
U133A__LOXL1	7.6117	4.1966	5.1158	4.3121	5.5348	8.338	5.7862	6.9908	4.933	8.9195	5.1848	5.3431	3.9845	4.0034	4.3856	5.2075	4.1953	4.8002	6.8359	4.9628	9.1502	5.6646	8.9368	6.588	8.3756	3.6902	5.6773	6.3196	7.3211	4.5602	4.2818	9.7542	8.8104	6.6159	5.6259	3.9347	8.3171	4.6056	5.1326	5.3135	5.2119
U133A__TNS3	6.8795	8.1902	9.0136	7.5866	6.9132	9.0042	5.6988	6.6068	9.2701	4.0902	5.5019	8.1426	7.8083	7.7228	8.5076	8.212	8.5705	6.2364	9.9299	8.961	7.8124	6.7106	6.5179	6.2633	8.3007	8.0747	8.3139	6.4102	7.207	6.7186	6.7809	9.3477	6.5821	8.1469	9.2966	8.4555	7.3788	7.9149	8.683	4.8818	6.7365
U133A__IER5	7.3983	8.4834	8.2593	5.6405	7.5553	5.9635	6.4142	8.5787	7.3217	7.8547	5.634	7.5246	8.7751	8.6291	8.5956	7.2478	9.4112	7.7493	7.0389	9.4247	6.8806	7.7217	7.0547	7.6119	7.9844	7.7677	7.9227	6.8566	6.0609	6.9052	7.4431	4.9517	7.9731	8.0814	7.4049	7.5876	8.2302	8.1897	7.8434	7.3929	7.6796
U133A__SC5DL	6.1606	7.0351	8.1349	6.809	7.2429	7.0293	7.3732	6.6472	8.2691	8.7164	8.2697	7.7105	7.5793	7.4132	7.9503	6.6341	8.6072	7.3147	6.6143	7.4732	7.6902	7.2177	7.4234	7.519	7.0982	7.1048	7.767	8.0885	8.0598	7.9005	6.4547	6.1235	7.1008	6.808	7.3359	10.1698	7.3923	8.601	8.2823	6.5754	6.7923
U133A__CDK14	8.6483	5.1017	5.5914	6.7216	6.7512	4.9859	5.9636	6.2085	6.0433	7.151	5.5382	5.5826	6.0146	6.2902	5.8351	6.0482	5.5811	6.4406	6.7865	5.4488	6.9009	5.2891	5.3301	6.5698	5.5064	5.8304	6.4005	5.6448	6.3828	5.0626	5.0038	5.8604	7.3179	6.1089	6.4645	7.2559	8.4385	5.6363	6.2927	5.5939	5.8693
U133A__SHMT2	6.8623	6.8222	7.9185	7.071	7.0055	7.6469	6.4895	7.3888	7.1328	7.2544	6.7988	6.8016	7.7717	6.9625	7.2352	7.8769	7.1546	6.8061	6.8646	7.8655	7.2257	6.7149	7.2691	6.8747	7.2939	6.993	8.2976	7.3437	7.2153	7.1317	7.177	6.9664	7.6724	8.1897	10.3165	8.4652	8.1213	7.8199	7.3251	6.8354	7.5223
U133A__EPAS1	7.5586	9.4435	9.3385	6.5628	6.6454	7.1099	6.6122	7.581	6.878	5.9279	7.9068	9.1876	9.0687	8.1309	8.2067	8.4481	11.134	8.0527	8.9875	8.7955	7.4187	9.242	7.7912	8.5965	8.4085	9.4821	6.3178	8.0953	7.8271	7.9185	9.5402	6.3055	8.8077	8.0257	8.9549	7.1293	10.3129	7.6909	9.5309	7.7552	6.3461
U133A__TMEM135	5.668	6.7817	5.0456	5.5373	6.4603	5.8126	5.7686	4.8527	4.7886	5.852	6.7122	6.661	5.797	5.1155	5.4529	5.7782	7.1022	5.8957	6.9366	6.0968	4.6112	4.98	5.7666	5.261	6.6658	6.5722	6.102	6.82	6.0613	7.4905	6.4907	4.9966	5.5595	5.5384	7.1223	7.9843	7.1232	6.8095	8.6528	7.3552	5.975
U133A__RNF114	6.7798	10.0609	9.3801	8.4793	8.1706	7.6556	7.3372	7.9061	7.7277	7.9296	8.0058	8.6718	7.973	8.7477	8.5949	6.6354	11.4501	8.1842	7.849	8.3651	7.6045	8.3815	8.9345	7.7066	8.9229	8.2818	7.9847	8.1157	8.0394	8.3138	9.5327	6.3469	8.5934	7.3703	8.4966	9.1669	9.7197	8.8963	7.8848	8.0062	8.1745
U133A__MALL	5.9594	9.6574	8.4122	5.7996	5.7681	5.5609	5.355	5.4016	7.6983	5.6344	5.9818	6.1853	8.6162	9.3676	10.0543	8.2866	8.4348	6.8244	7.0931	9.9715	5.675	8.3023	6.3252	5.9264	5.4322	6.7314	5.8379	5.7292	6.607	5.6076	6.8833	7.6292	6.4668	5.7006	6.9903	8.1516	5.6005	6.0371	5.9517	5.5443	5.7131
U133A__QPRT	6.2711	9.4457	8.2145	7.4417	6.489	5.6007	6.3278	5.5574	5.4435	5.1401	7.275	7.3774	5.6756	5.5612	6.3718	7.9553	8.0511	8.7061	7.02	9.2734	5.9733	7.4239	8.1142	6.9332	8.6614	7.115	5.2379	9.1192	8.4536	6.314	8.5981	5.9379	5.4969	5.6873	7.2077	9.2223	6.3381	7.7665	8.9526	8.0018	5.6556
U133A__ABCC5	6.6226	8.0779	7.8607	7.1449	7.6776	6.8408	8.5504	6.9079	7.4246	7.1746	9.5645	7.9864	8.1341	7.9396	7.1158	7.6418	9.4831	7.1401	7.208	8.2613	7.2144	8.3302	7.7177	6.6558	7.0907	7.519	6.9575	8.0859	7.7665	8.0521	8.6714	6.9314	6.6645	6.9156	10.0979	6.9137	7.4944	8.5541	8.0903	7.0478	7.2983
