Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1
U133A__ANK3	6.4478	7.308	5.8183	7.5215	7.0276	2.7342	6.8733	7.1104	5.6934	7.8747	7.0227	5.117	6.4182	4.6788	7.3358	6.7191	6.6335	6.6594	2.6483	6.8444	5.6613	3.2294	6.2805	3.5943	7.386	7.623	5.2949	7.0939	2.7388	3.1715	5.8833	9.1143	7.5673	5.702	6.1148	6.4416	6.837	6.6091
U133A__HIST2H2BE	5.2169	6.1555	6.3954	5.9939	9.4664	4.7581	6.4892	7.028	5.845	9.4831	6.6393	5.1986	7.3397	5.9223	8.9328	6.3304	8.0707	6.4151	4.9797	8.2043	7.1567	5.8962	6.2671	5.0337	9.2133	6.6612	6.7257	5.8532	5.39	5.6544	5.0466	7.1041	7.1433	5.9142	6.7795	5.2721	5.3079	6.1542
U133A__NEBL	7.1562	7.471	6.4486	7.9659	8.3793	4.4277	8.0852	8.1581	5.8258	8.7265	4.729	4.5974	6.1047	4.8275	8.4438	4.7794	5.3089	8.8448	4.5196	7.7379	7.7128	4.3245	6.2351	4.2596	7.1621	7.8028	6.5042	7.6328	4.692	4.966	5.6682	9.7977	8.5099	6.3427	7.0842	8.2432	8.448	7.1828
U133A__TBC1D9	6.3771	7.496	5.581	6.0691	9.2575	4.8144	7.0148	4.3359	5.6622	8.2883	5.4965	3.5309	5.9846	5.0743	7.5382	5.0659	6.6908	7.3101	6.1223	8.7386	8.2356	5.9894	7.447	6.3818	8.4877	7.2127	5.1711	6.5539	5.0828	4.6908	6.4141	8.6955	7.7167	6.6034	5.0197	7.5227	6.7933	7.8456
U133A__DAAM1	5.7712	6.9394	6.7256	7.4256	9.1201	5.7426	6.5441	5.5412	5.8286	7.3134	4.3108	6.1768	6.3515	5.6336	9.0542	6.947	5.6935	6.8334	4.2798	7.0736	7.5356	5.712	6.5563	4.2843	6.6937	6.402	7.1325	6.6966	5.278	5.2773	4.3674	7.2789	7.6872	5.4127	6.6933	7.2805	7.2217	7.1886
U133A__CRIP2	8.2574	9.2634	6.3153	9.209	9.9678	7.8746	8.3415	7.7681	8.0402	9.0021	7.6044	5.5453	6.6722	6.6952	8.8685	7.8221	7.9649	7.9883	7.3507	8.6983	8.9642	6.3079	8.3729	5.1886	9.2302	8.0924	7.8109	8.3547	8.1304	6.4487	5.4693	9.8773	9.8924	7.1792	9.294	7.9542	9.0175	9.4029
U133A__HIST1H3H	4.5987	5.0394	5.7959	5.2954	7.0262	5.1973	7.1901	5.2309	5.1804	7.7752	4.9774	5.3258	6.7115	4.903	8.3387	5.3894	8.3287	4.9466	4.5073	6.6563	5.6775	4.9412	4.668	4.3556	8.4879	6.8346	6.7291	5.1044	5.9021	5.0129	4.7309	5.8351	6.2272	4.5009	5.9355	5.0129	5.2029	5.5379
U133A__SLC39A14	6.6658	6.3508	8.5567	5.7462	6.1677	9.7025	6.6078	6.3584	10.0436	5.8834	7.972	7.7405	6.3612	6.229	6.6312	7.0261	7.3375	6.1078	8.8219	6.0328	6.4296	7.3106	6.5998	7.9923	5.6425	6.5311	5.5457	6.6012	10.1244	7.5401	8.3297	7.8884	5.1832	6.6665	6.7652	7.3475	5.9987	8.1011
U133A__MEST	4.1765	9.1445	7.6999	8.9309	8.7516	6.6424	8.5033	7.7862	7.8309	8.7083	4.5952	9.1663	7.8941	7.5623	8.9105	4.5462	11.3108	3.7298	6.5437	8.9624	7.5797	9.3082	8.7994	7.1838	7.7	7.1751	9.0391	9.9474	5.8419	5.283	7.8764	7.8433	7.9864	3.8016	3.9968	7.8186	7.7185	9.1736
