Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1
U133A__LIMCH1	6.0867	7.0559	7.0651	5.9547	4.5506	3.4312	4.4364	6.6193	6.9381	3.4256	6.7857	4.222	6.9595	5.566	8.4483	5.7588	5.1467	7.6226	5.4328	4.0459	3.9423	6.553	4.4139	6.8992	6.5312	5.033	5.5271	6.2939	6.1873	3.4676	5.11	6.8599	8.4582	8.2485	7.9542	4.2224	6.6392	7.7023	3.813
U133A__PRKACB	5.7668	7.3425	6.974	7.9085	6.873	7.128	5.6635	7.0985	7.116	6.5155	6.3986	6.8435	7.7829	7.5556	7.4713	6.6439	7.7662	9.3369	7.1608	5.2971	6.3838	5.8828	7.191	6.1262	8.461	8.0549	5.4461	7.2026	6.4	7.3061	5.9619	6.8006	6.4627	8.839	7.2857	6.1098	7.754	6.9566	6.3993
U133A__VEGFA	6.0067	7.5865	7.4133	9.3172	8.8928	7.2353	8.7479	7.4108	8.8648	6.898	7.7084	7.6821	7.3718	8.5349	6.1552	7.9471	6.1499	9.1817	7.9602	6.6548	6.5035	6.9542	7.311	6.9627	6.1337	7.1265	7.4277	7.8891	7.5508	6.0449	7.6551	7.5202	8.2384	9.726	8.0846	5.8024	9.2627	9.467	7.0239
U133A__ZNF238	6.9296	3.6984	8.1969	7.2027	8.8738	7.2082	4.9441	6.3162	7.6741	3.3173	8.3037	5.0206	6.5104	5.7289	7.2653	6.3071	4.5975	6.9448	5.6544	3.3741	3.5935	4.9768	7.0301	5.758	7.4201	6.4543	4.1213	4.6561	3.2385	4.123	5.4605	4.4145	7.3186	7.2616	7.108	4.5444	8.6131	7.2481	4.7902
U133A__SASH1	6.8729	8.0514	6.5801	6.2097	6.3274	5.5121	5.0593	6.3964	7.9624	5.8275	5.5587	7.1532	6.4264	4.9592	8.5103	5.5314	5.4471	6.5303	6.0764	5.3468	5.6008	4.5609	5.7093	6.2216	6.4312	4.7488	6.2194	8.058	7.0212	7.7444	5.3774	6.1138	6.2486	8.2544	6.7125	6.0433	8.1355	5.8784	5.0383
U133A__CDCP1	7.0742	7.2215	8.8826	7.3078	7.3245	5.7458	7.0456	7.5834	6.5563	6.1087	5.8003	8.3644	7.5225	8.6177	7.6904	8.2325	6.9611	7.7991	6.2206	5.8522	5.5089	7.7861	6.0267	6.8073	6.5621	7.4171	6.5984	7.661	5.7184	9.4111	8.3319	8.8519	5.8008	6.9583	7.2886	6.9554	7.7043	7.4395	7.2068
U133A__TSC22D3	8.6296	7.6905	8.256	8.0938	8.2768	6.8298	8.046	6.3736	7.4189	7.9939	6.8413	6.5075	8.4426	6.8274	9.6233	7.1738	7.9296	9.0921	5.9813	7.7376	8.113	8.7906	6.4745	9.6575	5.5423	7.798	9.5332	8.5134	8.297	7.2593	7.1095	8.0444	7.5857	10.0225	10.701	6.4267	10.173	9.4171	7.5559
U133A__DTX4	8.5534	9.0599	7.5579	7.4076	6.3974	6.0917	6.706	6.3983	8.0553	6.4963	8.0591	7.1172	8.3881	7.9724	9.3534	6.8807	5.8196	7.6493	6.1719	6.0955	6.0561	6.6433	6.6331	8.2983	5.8898	7.0834	7.3844	6.6527	7.4584	6.2423	7.1386	5.167	7.0847	7.7214	7.9261	5.7985	9.3252	6.781	6.6645
U133A__EFEMP1	7.4576	8.4777	3.9936	4.9476	7.2537	9.8537	9.8452	11.5931	3.9406	9.5939	4.5082	9.0406	7.8452	6.2124	9.5684	8.5328	11.2032	9.9411	5.6562	6.8707	6.1881	4.3448	9.1576	7.5869	6.0508	5.3781	9.5557	4.4232	8.7332	3.8355	9.2272	9.7898	10.0329	9.0876	4.2679	10.1096	7.0931	6.9504	7.616
