Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	1	-1	1	-1	1	-1	1	1	-1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1
U133A__GOLGA8A	5.5482	5.624	6.4387	7.8406	6.2792	7.9159	5.1443	6.1268	6.5558	3.9995	6.2642	7.0239	4.5668	5.7512	4.8288	6.4569	5.5296	6.6093	6.9683	4.5496	4.7798	5.7913	4.5748	6.1873	5.6399	5.1079	4.7992	4.7586	6.2041	5.4125	5.9638	7.2451	4.9087	7.7159	8.1643	5.205	7.8459	8.5237	4.6228	7.3475
U133A__NAMPT	5.9078	7.5425	7.6434	7.1369	6.1052	7.5271	6.5232	5.9372	7.4207	5.6088	6.7065	8.1311	7.3738	7.3141	5.4208	6.6757	6.4502	6.6746	7.6402	5.828	7.1487	6.4945	5.6817	6.255	5.5494	8.1958	6.5858	6.2031	4.6505	6.4053	5.6559	8.4488	7.3949	6.9115	7.0908	5.2057	6.5646	7.9709	6.4584	6.2666
U133A__DERA	5.5781	5.9419	6.8346	6.1925	6.5152	6.0295	5.272	6.1059	6.7801	6.0139	6.0557	7.4637	8.1627	5.6616	5.2291	7.1835	7.0636	6.7477	7.7884	5.9393	5.0626	5.592	6.2087	5.1167	5.362	7.5361	7.2845	4.8626	5.9168	5.1172	5.9513	8.5474	6.6315	5.7685	6.6148	8.9576	5.3098	7.4364	6.061	7.1865
U133A__PRKACB	5.7668	7.3425	6.974	7.9085	6.873	7.128	5.6635	7.0985	7.116	6.5155	6.3986	6.8435	7.7829	7.5556	7.3933	7.4713	6.6439	7.7662	9.3369	7.1608	5.2971	6.3838	5.8828	7.191	6.1262	8.461	8.0549	5.4461	7.2026	6.4	7.3061	5.9619	6.8006	6.4627	7.2857	6.1098	7.754	6.9566	6.7215	6.3993
U133A__KIAA0040	7.4994	6.4763	6.2241	6.3177	8.4261	5.5327	7.1961	6.3227	5.7125	7.9873	6.0097	7.8512	6.4646	6.2896	6.8359	6.4563	6.0658	5.6974	6.5026	5.7298	5.6006	5.9483	7.6846	5.955	6.4962	5.278	6.0962	7.1032	6.9009	7.0973	5.2923	5.7746	5.1966	6.184	8.7619	6.5898	6.2826	7.188	7.4958	6.3955
U133A__LDHB	4.1912	9.5557	4.0631	7.7198	7.4019	11.1499	3.7442	10.2809	11.5671	9.3184	11.4528	11.4705	11.0616	3.5408	6.3778	11.1987	10.7072	11.2496	8.8148	11.0885	3.5489	4.7582	3.8705	10.5632	11.012	11.6052	10.7455	9.8168	3.3627	10.4303	10.9508	11.7129	11.5033	3.5016	10.3626	4.7713	8.3895	3.3083	4.5865	3.6779
U133A__PAM	6.5936	4.9904	5.7176	7.0863	6.6673	8.1748	5.0662	9.5932	7.0482	4.3977	8.7907	6.5625	5.8	6.8941	4.7078	4.3226	7.3707	8.0552	9.9862	6.6152	4.9939	6.885	5.1649	7.0219	5.2092	7.6517	5.7571	4.5287	5.2073	4.5169	7.177	6.6648	6.9385	8.2732	5.5328	7.2031	7.9912	5.8766	5.0727	6.8036
U133A__BNIP3L	6.9596	6.2052	5.6322	8.103	7.7679	8.6934	7.3541	7.3395	8.3008	5.2278	6.0727	5.3145	6.0933	4.5581	4.9433	8.0548	6.343	7.0537	6.2095	7.0532	4.6164	7.3856	6.4527	5.59	7.7427	6.7753	6.9296	7.1868	7.2602	6.0024	7.387	5.6349	5.8446	7.6413	7.5988	6.5657	9.1955	9.4425	6.6876	7.1327
U133A__GALNT6	8.8821	7.3905	8.324	6.7568	9.7521	5.1143	8.8841	6.8554	6.1052	8.3463	5.6143	6.7577	6.284	8.1603	7.455	8.2228	6.9834	5.9045	7.5279	5.4304	8.8602	7.768	8.6096	5.6215	8.65	5.8084	8.4236	9.1485	9.1731	8.7939	5.665	7.8211	5.8236	10.0613	9.245	7.746	9.7446	7.8728	8.6079	9.2057
