Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	-1	-1	1	-1	1	-1	1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	1	1	1	-1	1
U133A__CSTA	3.3672	5.2138	4.492	3.8183	4.0291	3.9406	3.9232	3.8298	3.1942	5.5298	4.8696	10.7546	10.2411	6.2854	4.2378	4.0758	8.8013	5.8523	8.0961	4.0575	4.9609	6.884	3.5562	3.861	9.2798	3.9751	7.9998	4.3999	3.7416	3.701	3.5472	4.7564	4.0488	8.603	4.9863	3.2478	4.8553	4.1182	3.3322	9.6093	3.6782	3.562
U133A__G6PD	7.419	10.257	7.6085	8.2352	8.511	8.3055	8.4506	7.1968	6.9496	9.2814	8.0679	9.3686	7.6264	10.5808	9.6087	7.7827	8.1939	8.8272	8.4124	9.0366	10.2266	10.4884	8.2878	7.8584	9.4783	7.5137	10.8347	8.9439	7.375	11.0569	8.6609	9.6004	7.0779	9.3761	8.2127	10.0446	8.6083	7.5745	8.9033	8.575	8.5037	9.736
U133A__NFIB	5.1049	8.0429	5.5476	8.2244	6.5844	7.7382	4.5777	7.2318	8.0784	6.7958	8.4369	4.8136	6.7973	7.8837	8.0486	7.8088	8.563	6.8395	9.0065	6.3652	6.5391	6.6523	3.9047	5.8632	5.138	6.9184	6.2054	5.2087	5.3905	8.4052	7.4796	7.2966	5.089	7.8456	6.1568	4.7122	5.6226	7.4827	7.2677	7.2396	4.93	8.705
U133A__ZNF544	6.9864	6.6867	6.9637	7.6542	7.1156	7.4338	6.0262	7.4326	7.681	7.4451	6.6237	9.6213	8.1072	6.7879	6.9704	7.0077	6.8549	7.3676	6.9216	7.1203	7.0009	6.9974	7.2612	6.3988	6.4939	7.2039	7.0974	7.1081	6.825	6.2996	8.1382	6.724	7.0081	6.8126	6.8659	7.3366	6.3543	6.967	6.629	6.3383	6.615	6.9272
U133A__NBR1	8.5837	6.8223	7.7641	8.4116	6.3274	7.4229	7.716	7.3541	7.0632	7.8062	7.2236	7.32	7.4418	5.8032	6.2526	7.2843	7.2111	8.5669	7.3033	7.4616	6.7581	6.9477	7.5243	7.4008	7.1891	8.0003	7.8273	7.3042	7.2467	6.9636	7.2487	6.1965	7.7861	7.0789	7.3247	6.9851	7.6207	7.9033	7.6139	8.6925	7.6123	7.1429
U133A__MGLL	8.2469	9.04	8.5543	7.9714	5.7801	8.5358	6.1856	7.5087	6.1704	7.0151	7.2816	6.3151	7.9814	8.197	6.7506	8.2177	7.6209	6.0812	6.3137	9.439	6.4863	6.6796	8.7077	6.984	8.0526	7.4364	7.414	8.6103	7.8301	5.7225	7.5775	8.2169	6.1597	8.0148	7.7377	7.6289	8.2178	6.3348	8.0407	6.7549	9.2887	7.0911
U133A__HMOX1	5.9805	6.3462	6.2042	6.0583	9.3758	6.8273	6.1023	6.6101	6.269	6.5746	7.1662	6.0146	6.2742	5.9549	6.1698	6.7426	7.6179	6.5557	6.0875	7.9038	5.9175	5.8619	6.4551	6.459	6.0077	6.365	6.3473	6.6004	7.3798	6.3751	6.869	6.243	9.709	5.7164	8.5448	6.5511	5.9153	5.9068	5.6787	6.4186	6.6584	6.8615
U133A__DSG2	6.2933	7.3653	7.4431	7.9979	8.7014	6.8108	7.7422	9.0995	8.3721	6.8674	7.1286	7.8072	6.7464	8.2853	6.1779	6.2759	8.2842	9.3294	9.5026	5.7974	7.2818	6.95	7.2679	5.8236	5.1871	7.6317	6.8121	5.4075	7.7383	6.326	7.2045	6.9088	4.8296	8.2165	7.5831	5.7935	6.7872	6.8478	8.1937	7.2686	6.1169	7.8434
U133A__GRB10	4.7959	5.4919	8.5374	8.2707	5.3595	7.4569	4.8131	5.402	10.2075	6.5732	6.3604	4.9465	4.8583	6.6414	6.6836	6.2955	4.6338	6.1154	7.6347	7.8401	5.8101	5.4498	9.6632	7.1144	5.4158	6.6734	6.0157	7.1687	8.0491	5.4992	6.6179	4.9824	5.3711	4.4084	7.763	6.053	5.8099	6.8667	7.2711	4.8448	7.2124	6.1565
U133A__SLC6A8	6.9459	7.8981	7.4036	5.6976	8.3725	5.8974	6.4197	5.6049	7.2957	6.4491	7.5947	8.6334	5.8306	7.764	6.8817	7.1394	6.7583	6.8535	5.7344	6.6405	5.9897	6.7365	5.8509	6.4881	6.2545	6.0851	7.9234	6.7876	9.1798	7.6796	5.7613	9.4851	7.0348	8.6371	8.1285	9.511	6.3318	6.7968	6.2045	6.8256	6.2767	7.9459
U133A__FARP1	7.4771	6.1313	8.1138	8.8341	6.541	6.6631	5.4307	8.6433	7.6265	8.0007	6.585	5.8878	7.8769	5.4775	7.1214	7.2328	7.2984	7.3103	7.3406	5.9912	5.3448	5.8391	6.5233	6.071	8.236	5.4881	8.0231	7.4909	6.371	5.6239	6.7873	5.9676	5.0966	5.858	4.6886	8.1285	5.8389	6.1601	7.5092	6.6622	8.4562	6.7694
U133A__EPAS1	7.5586	9.4435	6.5628	6.6454	7.1099	6.6122	7.581	6.878	5.9279	7.9068	9.1876	9.0687	8.1309	8.2067	8.4481	11.134	8.0527	8.9875	8.7955	7.4187	9.242	7.7912	8.5965	8.4085	9.4821	6.3178	8.0953	7.8271	9.2692	7.9185	8.6953	9.5402	6.3055	8.8077	8.0257	8.9549	10.3129	7.6909	9.5309	7.7552	8.2398	6.3461
U133A__SLCO4A1	6.2348	6.7352	7.1578	6.3902	6.9714	6.7224	7.3719	6.1678	5.5299	6.5915	6.887	9.0157	7.0585	7.1801	5.9475	6.7742	6.3876	6.0588	7.1977	6.8532	8.0642	8.0368	5.9788	7.0604	6.4478	5.9196	6.7694	6.3666	7.5834	6.8818	7.1583	6.8639	5.9723	8.4308	8.3952	5.9474	6.4851	6.1254	8.3285	6.5888	5.8349	7.2784
U133A__RDX	6.2849	7.0989	5.5424	5.2777	9.8431	4.669	7.4389	6.885	8.2381	4.714	7.2261	8.2444	7.3477	6.6441	3.4463	7.49	6.8925	7.3649	7.5288	7.2916	8.6552	8.7689	3.9994	7.5706	6.3754	7.8273	6.2957	6.3962	7.169	5.5619	7.8498	7.7306	7.8101	6.6603	7.7876	6.3776	7.0507	7.4451	8.1581	6.8784	6.3951	7.3748
U133A__GOLGA8A	5.5482	5.624	7.8406	6.2792	7.9159	5.1443	6.4675	6.1268	6.5558	3.9995	6.2642	7.0239	4.5668	5.7512	4.8288	6.4569	5.5296	6.6093	6.9683	4.5496	4.7798	5.7913	4.5748	6.1873	5.6399	5.1079	4.7992	4.7586	6.7718	6.2041	5.8264	5.4125	5.9638	7.2451	4.9087	7.7159	8.1643	5.205	7.8459	8.5237	4.6228	7.3475
U133A__IER5	7.3983	8.4834	5.6405	7.5553	5.9635	6.4142	8.5787	7.3217	7.8547	5.634	7.5246	8.7751	8.6291	8.5956	7.2478	9.4112	7.7493	7.0389	9.4247	6.8806	7.7217	7.0547	7.6119	7.9844	7.7677	7.9227	6.8566	6.0609	7.7524	6.9052	9.7525	7.4431	4.9517	7.9731	8.0814	7.4049	8.2302	8.1897	7.8434	7.3929	6.9424	7.6796
U133A__SORBS2	8.936	5.4961	6.4401	5.4424	5.5175	5.5786	5.7715	8.6285	5.6054	6.2198	6.3474	6.0802	6.9047	5.4611	5.7926	6.2066	6.4919	6.1776	7.7611	6.6186	5.7661	5.5938	5.7209	6.9767	6.1543	5.9303	6.5877	6.2867	5.4416	5.633	6.0051	5.5737	8.6789	5.8552	6.5495	7.5596	6.8821	5.923	5.5824	6.4692	7.3065	5.6689
U133A__CLNS1A	9.4608	8.6558	6.9005	8.581	8.8302	6.9955	8.0207	7.7269	8.5912	8.5311	9.0546	9.5556	8.4244	8.5211	7.4982	8.0984	9.0511	8.2463	8.0085	8.011	8.7419	8.7794	11.0338	8.2217	9.6021	8.4882	7.6112	7.6521	8.1443	8.5151	8.2984	8.1378	8.3304	9.2318	9.4287	8.085	10.4912	8.8496	8.6699	7.8664	7.831	8.2449
U133A__C1orf106	10.0398	9.071	6.4457	6.3035	6.014	6.2668	5.4447	7.1557	9.242	6.8518	8.8609	8.3117	8.8083	7.699	8.3482	9.1534	7.9706	6.8505	8.7505	5.9213	5.7634	6.1472	5.874	5.323	9.2096	6.4594	7.3261	8.0817	5.844	7.0397	8.0604	7.7464	6	8.7694	5.5202	7.8809	9.3234	7.395	7.6388	8.4486	7.5821	7.6676
U133A__AXL	4.5848	4.3447	4.6163	4.3957	9.7332	4.3709	9.0689	7.011	4.3959	4.4975	4.5981	4.2906	4.9826	5.1863	4.9555	4.2474	5.2312	9.2723	4.1729	10.475	4.5906	4.4261	4.7784	8.3136	5.0443	10.3645	4.1508	4.614	7.5333	4.2537	4.6935	4.0831	9.5546	7.5369	9.6852	4.2137	4.2126	4.5153	4.3396	4.2859	4.6527	4.2316
U133A__NEDD4	5.8766	5.7439	5.8644	5.7051	8.7922	7.1953	6.1936	5.5039	5.1218	6.4833	5.2576	5.4214	5.58	5.8284	4.7364	5.4936	5.4286	5.4974	5.2635	6.0369	6.1024	5.4419	6.1074	6.471	5.8631	8.2282	6.2391	6.6502	7.6668	6.199	6.5735	5.913	6.1135	6.0024	7.5448	7.4447	6.7903	5.6626	6.515	6.1297	5.6007	6.457
U133A__MYBL1	4.1786	3.2174	4.7679	7.0366	9.1908	7.7161	6.3016	7.5343	6.7188	7.7789	5.5451	3.7465	3.8436	5.3119	3.4746	5.9194	5.2875	6.3972	6.3711	6.4187	4.9238	5.6882	8.1351	7.2197	5.1224	7.4962	5.1765	5.8498	4.9694	3.5382	4.8312	3.6408	9.1344	4.1395	4.4723	3.8426	4.8438	6.6299	6.5727	4.3772	5.7111	5.5983
U133A__KYNU	3.1107	7.5015	3.7016	3.7004	4.199	6.8799	3.4469	3.3451	3.3778	5.2812	5.0897	9.7837	6.6414	8.1632	3.6599	5.8705	8.3008	4.2979	3.6763	3.9397	9.3041	9.2168	3.205	6.7245	6.0479	5.4828	6.253	3.5387	4.3284	3.4423	9.3122	4.7613	3.2793	9.6851	5.4603	3.4978	4.0878	8.121	5.0006	5.7334	3.7515	3.5004
