Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812
Response	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	-1	1	1	1	-1	1	1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	1	-1	1	1	1	-1	1
U133A__BAG2	3.9484	3.6233	4.2663	3.847	3.6546	6.779	3.7302	6.7389	4.687	5.112	3.9445	6.6817	8.2798	6.0631	5.3853	4.0193	4.1116	5.402	5.1323	4.2779	6.4596	4.244	4.0731	6.4698	3.909	7.9802	4.5399	3.9434	6.3208	3.9206	5.8701	3.9939	8.1652	7.0594	7.9745	4.0376	4.4212	3.9483	3.8011	4.8384	4.0353
U133A__CTSB	8.9033	8.3507	7.4127	7.895	9.4448	10.3253	7.3919	8.9813	9.8386	7.1998	8.7026	8.7987	10.4713	8.9155	8.2071	7.5955	8.7264	9.6347	10.3193	8.6727	10.1243	8.2081	8.7671	9.7003	8.8804	7.8934	8.1404	8.1867	11.1434	7.8041	9.4426	7.0968	12.1734	8.6588	8.6083	10.4251	6.6465	8.5123	7.1327	8.8929	9.6935
U133A__TSC22D3	8.6296	7.6905	8.256	8.0938	8.2768	6.8298	8.046	6.6455	6.3736	7.4189	7.9939	6.8413	6.5075	8.4426	6.8274	8.6658	9.6233	7.1738	7.9296	9.0921	5.9813	8.113	8.7906	6.4745	9.6575	5.5423	7.798	9.5332	6.1585	8.5134	9.1427	8.297	7.2593	7.1095	8.0444	7.5857	10.0225	7.7835	10.701	6.4267	10.173
U133A__COL4A2	6.4635	5.4771	6.2726	4.9197	4.4398	9.5328	4.7309	7.1	6.7139	4.8079	4.9894	7.5194	8.2333	5.6191	5.1904	5.6325	5.0157	9.3085	8.3007	4.2182	8.3461	4.7039	4.7941	9.7331	5.177	5.9915	4.8098	5.2981	5.5286	4.7465	6.0811	5.4106	6.024	9.0196	4.8637	4.61	4.6647	4.8713	4.8703	4.9757	4.6655
U133A__IRS2	8.2646	5.3993	6.3871	6.1831	6.7845	6.2723	5.228	5.7221	9.8849	5.6423	6.4241	5.833	9.3915	7.7954	6.0032	5.6418	5.453	8.6129	6.621	5.3606	5.4758	6.2504	6.3569	6.8503	5.6481	7.0768	7.1192	5.6215	6.9995	5.0591	9.2111	5.6329	6.3412	7.299	7.7423	7.3676	6.7356	6.6402	5.7346	6.0545	5.8869
U133A__TRIL	6.45	7.691	4.9883	5.7803	8.2706	4.3206	6.0987	4.2621	4.8923	6.7164	6.9271	4.5574	4.0993	4.5377	4.618	7.1587	7.1386	4.4006	4.3815	5.8478	4.3545	5.0011	7.308	4.4089	5.3409	4.5657	5.6758	4.9838	4.5005	5.7791	5.5015	7.6403	4.4034	4.3459	4.6801	7.0693	7.903	8.2998	5.9149	7.3008	6.3524
U133A__SMURF2	5.3079	5.6089	5.9547	5.405	5.7355	6.9838	3.5189	6.6816	7.3907	5.6463	5.7139	5.1517	7.2388	5.353	6.3549	4.6842	5.0893	5.7892	6.8505	5.6735	6.5155	6.1958	4.5026	6.9682	4.4935	8.3902	7.8146	4.9734	6.5385	6.1146	6.1733	4.805	7.3581	6.5988	5.5586	5.2551	5.9648	4.3874	5.0942	4.8824	5.9768
U133A__SELENBP1	8.8083	9.7924	6.2626	7.6433	9.2375	4.404	8.985	5.7129	8.8748	7.4447	7.9249	6.8402	4.8861	6.996	5.9103	9.6817	8.3716	5.1255	6.3603	8.2953	5.4059	7.5547	7.3078	5.0839	7.755	5.9437	7.8378	7.8349	5.555	9.293	6.6074	9.5222	5.4631	4.9068	5.4815	8.5464	8.5024	9.455	8.8177	7.1748	8.0832
U133A__SGK1	4.5039	4.9334	6.1785	4.7827	5.0255	8.6493	4.9394	7.5162	7.9635	4.3632	4.5738	6.4205	8.1867	7.2171	5.7353	4.9836	4.2787	5.4377	7.4515	6.0284	7.7563	5.5643	4.8025	7.6973	4.6129	7.0334	6.3626	4.4837	9.4257	4.4109	8.2431	4.9636	8.6062	6.7889	7.1807	4.5583	5.3698	5.1004	6.1684	4.7328	5.5696
