Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	1	1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	-1	1	1	-1	1	1	1	1	1	-1	-1	1	-1	-1	-1
U133A__FBP1	6.8861	5.4407	5.6061	8.7593	9.0806	5.8518	8.9571	6.0355	5.675	5.3145	9.223	5.9597	5.9596	8.9816	6.1031	8.462	5.4783	5.7636	6.0568	6.0106	6.2966	9.2997	10.2366	9.9675	5.5894	10.3739	5.6397	10.3698	8.9993	6.1156	7.3014	5.5824	7.2633	5.8976	9.8817	8.5732	7.7395	7.7367	9.0869	8.5342
U133A__CDH1	9.4054	3.1026	9.7731	10.1506	10.8025	2.7451	7.2616	3.7836	8.8869	7.6506	10.3047	8.1115	8.7079	9.9294	9.3213	10.668	2.9912	9.3955	7.3494	9.9431	3.1604	9.7553	10.3314	4.8896	2.9383	10.1819	3.7691	10.7292	10.1856	5.9099	3.9307	3.1058	9.2079	3.5212	10.1757	10.4251	9.7177	9.7436	10.6202	10.3636
U133A__BST2	8.7431	6.628	8.2193	4.2637	9.7762	5.2164	8.5034	6.4804	5.4118	9.5469	8.8584	9.1133	6.7513	10.0594	8.3263	8.7328	4.4392	6.9466	4.8507	10.1508	5.5764	6.1967	6.2168	8.0857	7.5776	9.7058	5.0736	4.849	8.3117	8.8676	5.8416	4.9275	8.3869	7.5466	9.1934	9.8754	7.9052	8.5472	8.4818	8.7943
U133A__TFF3	12.242	7.4282	5.6939	11.8098	12.1898	5.9539	7.9505	6.1278	5.6693	5.4995	9.7873	5.9862	5.5639	5.8248	5.9636	6.9685	5.7579	5.9571	5.5964	5.385	6.1336	7.9223	8.6074	8.054	6.0694	12.8617	5.781	12.1275	8.7981	6.2142	7.2255	6.0829	5.986	5.7096	12.552	7.2202	6.9097	7.2481	8.677	9.4077
U133A__TGFBR2	4.7952	5.333	7.0106	5.0315	4.0804	6.7765	4.5064	6.7981	6.3664	4.7365	4.2208	4.6006	6.7692	5.9237	8.2695	5.0056	4.2784	5.3755	7.5116	6.5588	7.6766	4.5196	5.7419	4.3473	6.6819	4.3361	7.685	4.9647	5.073	4.4376	5.0651	7.2266	7.6333	8.8984	4.4958	6.1121	4.7649	4.3031	4.2258	4.3092
U133A__GPX1	8.9739	4.0916	9.6587	9.13	4.1978	9.7074	8.7943	8.0487	8.6375	3.8954	7.8047	3.5472	8.4418	9.4091	9.7496	9.301	3.7548	10.5188	9.1911	8.6679	9.1332	5.2514	5.269	9.851	7.3749	3.9513	9.7794	9.7769	8.2842	9.6262	4.1969	8.82	10.2252	9.2677	3.2767	9.1704	3.978	3.5145	3.7776	4.1642
U133A__MED1	6.789	9.401	6.6315	9.8321	6.7544	6.543	6.5188	6.7874	6.1616	6.714	5.4657	6.4849	6.584	6.2933	5.5168	7.637	6.165	6.7157	6.7015	6.6643	5.9833	5.9938	6.0596	6.5369	6.341	6.0538	7.4592	7.1028	5.6961	6.8213	9.7185	6.1455	5.8447	6.5327	5.9984	6.2341	6.2636	7.0154	6.1249	6.4994
U133A__CSRP2	4.6788	4.979	4.1554	5.0201	4.0119	7.7089	4.3732	7.2517	5.1256	8.5335	4.1902	5.8713	8.9537	4.8602	4.5477	7.3587	5.8602	6.7445	6.1986	3.8214	6.0008	4.9673	4.4735	5.2102	6.9489	4.3389	7.2707	5.5783	4.5925	4.4372	4.4089	6.4662	6.4077	5.9498	4.0688	4.8518	4.6758	4.0357	4.0661	5.474
U133A__TGFBI	5.9683	6.9042	6.5137	6.5837	5.5476	6.1062	5.7755	7.9789	5.3076	9.9085	5.8022	5.705	8.7344	7.4678	9.0113	6.0496	7.0812	6.6511	11.1168	10.6715	11.2079	6.2419	8.2212	5.6705	10.843	6.2392	7.7059	5.9087	6.0484	5.846	6.7466	11.8115	10.622	11.553	5.5123	6.1076	5.6781	5.5711	5.5391	5.3747
U133A__IRX5	7.7399	6.5809	5.5081	7.7145	8.7913	6.7582	9.7052	5.397	6.7088	8.4982	9.2355	7.8438	5.0398	8.2703	6.928	8.3002	6.9459	7.2265	6.0328	7.8287	5.68	6.4979	7.5153	9.0702	5.4402	8.0494	5.6562	8.26	7.8134	9.0329	6.3151	7.6172	6.2181	4.7753	8.3988	8.6255	7.2192	7.8621	8.7904	8.8174
U133A__MEGF9	6.1887	5.2454	5.728	7.1921	7.8359	5.352	6.5592	4.9552	5.4416	7.4246	8.1128	5.4149	5.8697	5.8965	5.6407	5.6619	5.7681	5.6285	6.0475	6.4887	5.5942	7.7911	6.5321	7.1962	5.0869	7.0854	5.5495	9.258	7.1866	6.6597	5.7238	5.1876	5.0277	5.331	6.8868	6.9558	6.8659	6.6887	6.1345	6.9286
U133A__PLAUR	7.2636	7.0817	7.6566	6.3774	6.0661	7.9196	6.3478	7.0145	8.6018	7.3217	6.6571	6.7499	6.7768	7.13	8.4113	6.868	6.8516	8.1211	7.2534	7.3607	8.1234	6.4877	6.4579	6.6082	6.9693	6.7436	8.9904	6.1449	6.6998	6.2084	6.715	7.4222	9.277	7.1697	6.0395	6.8223	6.7814	6.3108	6.3425	6.7746
U133A__LMCD1	6.5609	6.4091	6.5713	6.1756	7.4953	5.3439	6.2751	5.829	7.8319	5.3364	7.8935	7.3762	5.3461	5.7221	5.6691	5.9457	7.0603	5.1047	6.4592	6.3042	5.9992	6.2394	5.9717	8.0941	5.9372	7.2973	5.7364	6.2042	7.0151	6.8584	6.1463	5.4766	5.0203	5.7004	7.9499	6.6592	7.4884	7.5056	6.6191	5.7219
U133A__TNFAIP2	6.5795	8.2231	7.6824	6.3738	6.1237	5.8589	6.542	7.6816	7.4465	8.7141	6.2884	5.9616	8.3867	8.5324	7.833	6.9407	6.4399	7.8688	8.5522	9.3888	6.3682	6.3993	6.5616	6.4062	8.2471	6.4737	6.5829	5.7377	6.762	6.0875	7.0839	6.245	8.1	6.9614	6.0373	6.0305	6.7441	6.7504	5.7957	6.5668
U133A__EGFR	6.5405	8.8087	11.1948	9.1916	5.4966	8.9985	4.6032	7.5795	8.5853	8.75	5.4451	6.1574	10.0365	8.0004	9.7369	8.7474	10.2614	7.8659	7.3722	9.5572	8.9579	5.5013	5.3316	4.5102	8.86	6.0289	9.7841	6.2142	4.6987	5.0824	8.0587	7.8138	9.152	8.0666	4.8664	8.4192	4.2139	6.1317	8.1672	4.7772
U133A__CRIP2	8.2574	9.2634	6.3153	9.209	9.9678	7.8746	8.3415	6.5901	7.7681	8.0402	9.0021	7.6044	5.5453	6.6722	6.6952	9.1442	8.8685	7.8221	7.9649	7.9883	7.3507	8.6357	8.6983	8.9642	6.3079	8.3729	5.1886	9.2302	8.0924	7.8109	8.3547	8.1304	6.4487	5.4693	9.8773	9.8924	7.1792	9.294	9.0175	9.4029
U133A__HSPB1	9.8381	11.9878	10.658	11.1392	12.1917	10.9092	12.4619	10.5053	9.7586	9.4377	11.9863	10.4327	9.9008	11.9422	9.7152	11.6081	7.6241	10.821	9.9102	10.7294	10.9497	11.5674	12.3547	11.3351	10.3616	12.8993	10.0079	11.75	11.1248	7.7425	11.0928	10.9232	10.4221	10.3461	8.3736	11.3463	7.4763	12.0345	10.7593	11.8178
U133A__CTSL1	7.8798	7.8217	7.3628	6.5576	7.0167	9.757	7.4496	7.435	7.0288	6.4798	6.048	6.8949	7.4235	7.4542	8.3773	5.337	6.2641	7.0943	8.2269	7.8047	8.3916	7.4346	7.6	8.0089	8.9738	6.7347	7.4494	7.8617	7.5577	5.7749	7.5965	10.5886	7.5244	7.4769	6.9951	6.5554	7.7098	6.1703	6.2306	6.448
U133A__PLEKHF2	7.8227	5.5542	5.4206	8.353	9.5772	5.3539	7.7758	4.5965	6.2048	6.0169	8.5369	6.5492	6.6429	8.251	6.1642	5.9198	9.5057	6.5501	5.6869	6.6621	5.3134	7.6518	7.2111	8.3373	5.1421	7.3073	5.4357	9.0386	6.3531	8.0942	4.8166	4.8152	4.6651	5.4296	6.1804	9.5436	9.1234	7.8132	8.9253	8.4682
U133A__ITGA3	7.0347	5.904	8.7863	7.0003	6.2149	8.0259	6.2689	8.8922	7.8936	5.0259	6.8603	5.3603	7.6743	7.3976	8.3943	7.9867	5.562	7.1843	8.7137	6.5616	7.4535	6.6455	6.406	6.3636	8.2664	6.2884	7.5132	7.5224	6.7249	6.8296	5.5944	6.0298	7.3832	7.7502	5.8839	6.4267	6.8074	5.8556	5.7229	5.9956
U133A__EPHA2	6.8777	6.8505	7.7375	5.9049	5.1826	8.0944	5.8575	7.5704	6.3275	5.4135	5.1916	6.3529	7.8942	7.0137	8.5616	7.0007	6.7903	6.7602	8.2689	6.7414	8.1722	6.0052	6.6211	5.7144	7.5885	5.7941	8.7282	5.6235	5.8814	5.967	6.6319	7.5941	8.0211	8.2738	6.9307	7.4133	6.077	5.5545	5.4127	5.8045
U133A__LPCAT1	7.3577	8.9611	8.569	9.6749	7.1029	7.2521	7.0423	6.846	7.74	6.6152	6.6098	6.6442	7.3353	6.5708	10.0197	6.1164	7.112	7.373	6.9475	7.7542	7.1383	7.6529	8.2705	7.4954	7.1965	7.3813	7.7236	8.3462	6.6051	6.3507	8.3357	7.0926	5.9251	7.5598	7.3431	6.6121	7.2444	7.0242	6.3502	6.8462
U133A__TRIP13	7.745	8.3821	9.099	8.3399	7.2109	8.4946	8.4298	9.1761	8.1542	8.1616	8.0032	8.2922	9.269	8.9522	11.8558	8.2882	8.7189	8.5732	8.6762	9.2749	9.1383	7.9553	7.9682	8.584	8.3787	7.6696	8.1315	7.9447	8.0787	7.9149	8.2085	8.3646	8.3153	9.9502	6.6053	7.1	7.2737	8.9561	6.3957	7.9724
U133A__TRPS1	8.6584	7.3827	3.3819	7.0458	9.6951	6.9494	8.2062	3.4593	8.634	5.392	8.5305	7.8165	3.8643	6.1183	4.2236	6.5161	8.4291	7.4467	7.9026	6.7044	5.5976	7.4086	7.1694	8.6372	5.0367	7.8186	3.923	6.8585	7.5954	8.5243	8.38	7.5346	3.3148	4.1508	10.0281	7.8115	9.272	9.1202	8.5384	8.6575
U133A__PDGFC	5.5151	4.7072	6.4241	5.306	4.2114	8.5446	4.2682	7.4629	7.5679	8.1244	3.5487	4.7294	7.0604	5.2036	7.8858	6.7858	6.5847	5.6004	6.6393	7.1701	6.9926	4.1352	3.636	4.0802	7.2686	4.8705	9.2966	6.5591	5.3401	5.7983	4.7499	8.8223	6.3115	7.8914	4.062	8.5844	5.1023	5.7918	5.4727	5.9931
U133A__RAI14	5.8045	6.8528	7.6505	6.5191	4.7329	7.1977	6.3754	8.5524	6.2722	5.5801	7.0817	6.0818	7.393	5.9586	7.2175	5.1903	4.9184	8.4573	6.3942	8.6065	6.5584	5.6957	5.9513	5.9509	8.3284	6.7127	7.995	7.088	4.6179	5.8292	6.033	4.3547	5.7551	7.8314	6.3683	4.7881	6.0277	5.7235	4.2361	5.793
U133A__MED24	6.9285	9.2036	6.3673	9.9268	7.0736	6.0922	6.891	6.5397	5.784	8.2819	5.4771	6.6253	6.4028	6.381	6.6928	6.5315	6.5348	7.3363	7.2212	6.7101	6.2124	5.7215	6.6214	7.3983	6.8359	6.0875	6.6819	6.1646	5.9338	7.5758	8.7567	6.3423	5.967	6.9219	5.7808	6.3791	5.8922	6.9161	6.1301	7.3933
U133A__CYB561	9.3231	8.9941	7.8642	7.9717	8.632	6.2388	8.0748	6.4993	7.6969	6.9168	8.6582	8.3664	8.4426	7.8981	7.7693	9.4771	7.5397	7.7448	7.7648	8.0632	6.9285	9.7372	9.1411	8.1277	7.0833	8.4517	7.3983	10.3813	8.2127	8.7824	8.5366	5.2097	7.0984	6.7225	10.2413	8.9039	9.4326	8.5092	8.7911	9.3286
U133A__TPM4	7.5354	5.8557	6.4431	7.0182	5.6134	8.444	7.8344	8.6083	7.5265	6.9576	5.253	7.0015	7.1745	8.3884	7.7741	6.8116	7.5146	8.8621	8.0885	6.9763	8.6658	7.2559	8.5262	6.3231	8.5185	7.7302	7.3272	6.6417	6.7652	6.6924	7.4954	9.1089	8.7288	7.4332	3.4831	6.4929	4.6367	4.0479	6.1841	6.0462
U133A__CDCP1	7.0742	7.2215	8.8826	7.3078	7.3245	5.7458	7.0456	7.1212	7.5834	6.5563	6.1087	5.8003	8.3644	7.5225	8.6177	6.9089	7.6904	8.2325	6.9611	7.7991	6.2206	5.8522	5.5089	7.7861	6.0267	6.8073	6.5621	7.4171	6.5984	7.661	5.7184	9.4111	8.3319	8.8519	5.8008	6.9583	7.2886	6.9554	7.4395	7.2068
U133A__IGFBP2	8.9994	6.5614	8.0793	8.4756	10.174	4.1337	8.2319	5.5098	6.9756	5.0969	11.3152	6.6399	5.5755	7.4344	6.2061	7.8506	6.7846	6.7353	5.7058	4.1339	5.3651	7.4161	8.4871	9.2672	6.523	6.9218	5.18	9.4817	8.7196	9.2216	5.7955	5.3561	5.6784	5.7516	6.6061	8.1112	7.7527	9.675	7.0239	9.9643
U133A__NNMT	7.4816	6.4025	8.9292	4.3441	4.2984	10.43	4.4886	8.6418	4.4447	4.5027	4.0426	5.1421	4.462	6.0129	6.8071	4.8556	4.2145	5.8981	7.0081	7.6329	7.5692	4.5485	4.4465	4.6024	10.1086	4.1548	4.4358	4.2956	4.9538	4.3555	4.6834	8.5814	8.774	9.9583	4.671	5.6167	5.758	4.3408	4.1626	4.082
U133A__LASP1	9.5381	8.8228	9.664	11.8925	9.0713	9.1628	9.3673	9.334	8.5106	8.657	8.8387	8.7288	9.609	9.423	9.7487	10.5579	9.9354	8.9098	9.4553	9.1961	8.8766	7.5227	9.3005	9.6931	9.5261	8.2583	9.5882	11.114	9.393	9.1818	8.5311	7.9899	9.1735	9.2861	8.7128	8.7215	7.7283	9.741	8.6075	9.0406
U133A__GATA3	4.3432	3.6303	5.3574	5.039	9.974	4.1358	8.5593	3.5801	2.9041	5.2215	8.0058	4.0984	4.9866	4.7334	5.0131	7.259	7.9089	3.0972	5.915	5.4572	3.2756	8.2784	9.0129	8.8407	2.9786	7.4635	3.0718	7.1761	6.9304	9.0051	4.2017	3.2494	3.2905	2.7796	8.2158	5.6253	7.0477	8.5736	6.4257	8.156
