Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1
U133A__MT1X	8.4084	8.2002	10.7098	8.1249	7.4471	9.3471	8.3782	10.0479	6.6892	9.4273	8.2086	8.6822	8.4598	10.1523	8.178	8.9091	10.0628	10.8713	10.1184	6.7858	7.3453	9.6321	10.0782	8.8258	10.9035	8.2451	8.777	9.7324	10.4715	10.7999	8.8989	9.62	9.7216	6.9663	7.1999	9.2386	6.7383
U133A__MEST	4.1765	9.1445	7.6999	8.9309	8.7516	6.6424	8.5033	7.7862	7.8309	8.7083	4.5952	9.1663	7.8941	7.5623	8.9105	4.5462	11.3108	3.7298	6.5437	8.65	8.9624	9.3082	7.1838	7.7	7.1751	9.0391	9.9474	5.8419	5.283	7.8764	7.8433	7.9864	3.8016	3.9968	7.8186	7.7185	9.1736
U133A__MT1F	8.8457	8.4682	11.449	9.0415	8.2996	9.723	8.3702	9.3606	7.3736	10.1497	8.895	9.2237	8.6485	10.1593	8.1514	9.0099	10.0446	9.6652	10.7	7.8613	8.0034	9.3064	10.6159	9.1573	10.5503	8.8884	8.8961	10.4918	11.0993	11.1161	8.3957	9.5437	9.1751	8.0095	8.3509	9.2106	8.4788
U133A__MT1H	9.7691	9.9144	12.0323	9.4742	8.8859	10.3299	8.7427	10.344	8.326	10.4489	9.4932	10.0553	9.4289	10.9063	8.4144	10.0575	10.9054	10.2961	11.2855	8.4115	8.8273	10.2353	10.9772	10.1181	11.5502	9.7013	9.8995	11.3317	11.9502	11.5849	8.9971	10.3979	10.0943	8.5934	8.495	9.4841	8.3513
U133A__MT1P2	10.1084	9.8881	12.0742	9.719	9.2436	10.5395	9.2019	10.3683	8.2837	10.6617	9.531	10.1679	9.6322	10.9101	9.0536	10.1399	10.8309	10.1722	11.5302	9.2927	9.0609	10.3507	11.052	9.9655	11.5305	9.8421	10.038	11.0822	11.8502	11.6559	9.2834	10.2496	10.1061	8.6721	8.6118	9.5654	8.5364
U133A__BPTF	6.8483	8.6408	6.3479	7.5001	7.6163	6.0281	6.4019	6.6098	6.6248	7.1143	5.6327	6.1347	5.7794	5.5429	5.7125	6.3422	6.9605	6.1183	5.9811	8.3108	7.9599	7.5758	6.3989	7.9848	5.5364	8.2596	8.0437	6.3576	5.6765	5.9499	7.0151	6.1885	5.641	6.9433	6.4234	6.8825	6.4022
U133A__HIST1H3H	4.5987	5.0394	5.7959	5.2954	7.0262	5.1973	7.1901	5.2309	5.1804	7.7752	4.9774	5.3258	6.7115	4.903	8.3387	5.3894	8.3287	4.9466	4.5073	5.3057	6.6563	4.9412	4.3556	8.4879	6.8346	6.7291	5.1044	5.9021	5.0129	4.7309	5.8351	6.2272	4.5009	5.9355	5.0129	5.2029	5.5379
U133A__SEMA3C	5.5063	7.8535	6.2973	7.2138	8.9072	7.9184	8.3292	8.5165	6.515	6.9541	4.8101	6.5634	5.7918	5.1109	6.6837	6.0845	8.9521	5.6476	7.3771	8.3973	8.6625	7.9666	5.6302	7.8415	8.0204	6.4005	5.7378	6.6405	3.8054	6.3761	8.6192	8.9705	5.6067	8.6439	7.6228	5.8646	8.8128
U133A__TNC	5.3228	4.6808	6.0589	5.0294	4.8493	6.8118	4.6548	5.8077	9.2972	4.909	6.0354	4.8131	5.0022	8.1084	5.3092	6.2336	9.3754	8.5657	6.5111	5.0374	4.7272	7.5353	5.0495	6.0046	6.2086	9.5715	4.904	7.4837	8.1507	6.8616	5.1442	6.0683	7.8556	4.9164	6.5265	5.2553	4.8657
