Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	1	-1	1	-1	-1	1	1	1	-1	1	1	-1	-1	-1	-1
U133A__ZNF217	7.419	7.5835	7.8014	8.8077	6.3906	7.2507	4.8339	6.639	6.8205	7.0884	6.5128	5.7742	6.7022	5.9938	6.3508	6.8491	6.55	6.4752	7.1567	5.4451	7.5959	8.0458	6.4752	5.7126	7.3471	6.1379	5.8998	5.9462	7.0682	7.1079	5.8327	5.9423	5.1742	6.4352	6.8576	5.7603	6.5379	9.0439	7.9256	7.0191
U133A__LAMB3	6.3544	4.6146	4.2523	4.5548	4.2692	4.8434	5.8752	8.3716	4.0661	4.4141	5.2448	9.146	6.9705	7.8459	5.559	4.6953	7.4785	6.003	7.8037	5.974	5.226	5.0082	5.795	8.1853	5.2156	7.5624	5.0024	4.2693	6.2723	4.6992	5.7854	9.5937	5.9034	5.4211	5.8658	7.4778	4.4149	5.1624	4.6983	5.6776
U133A__BRD3	8.0335	7.0552	8.8741	8.701	8.1861	7.469	7.9278	8.1703	8.9881	7.7792	6.9922	6.8743	8.1244	6.8308	7.1547	8.0223	8.4947	8.351	7.6168	6.5313	7.3688	7.6875	7.2378	7.3083	8.1786	6.8757	8.02	7.9636	7.0204	6.8199	7.1282	7.3145	6.6386	10.3884	6.9468	7.558	7.3309	7.0895	7.6949	7.5907
U133A__DUSP6	9.086	4.5862	7.2517	5.9772	4.8545	3.8179	5.6815	3.2318	4.2026	3.781	5.2299	8.0553	4.5799	7.6182	6.5014	4.4033	4.5763	3.9989	3.4463	6.0844	3.8725	4.1192	5.8583	9.3144	6.7839	6.3629	4.0255	7.4639	5.6503	3.4721	4.239	6.1233	5.2699	7.8927	5.8719	10.1408	5.8571	6.0751	3.7037	3.6122
U133A__DAAM1	5.7712	6.9394	7.4256	9.1201	5.7426	6.5441	7.2811	5.5412	5.8286	7.3134	4.3108	6.1768	6.3515	5.6336	5.6113	9.0542	6.947	5.6935	6.8334	4.2798	6.7682	7.0736	5.712	4.2843	6.6937	6.402	5.1898	7.1325	6.5947	6.6966	5.278	5.2773	4.3674	7.2789	7.2186	5.4127	6.6933	7.2805	7.2217	7.1886
SNP__FLJ20433	0.003	-0.163	0.153	0.184	0.228	0.458	0.293	0.184	0.151	0.274	0.007	-0.09	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	0.271	-1.534	-0.201	0.047	-0.158	-0.198	0.02	-0.131	-0.415	-0.054	0.292	-0.296	-0.066	0.024
U133A__MT1G	9.5396	9.8014	9.5375	9.1879	10.2389	9.5497	10.9803	10.1966	8.9364	10.0569	9.4293	10.1144	9.3626	10.3956	9.6338	8.9171	9.9396	10.5941	10.0105	11.0897	9.5614	9.4205	9.8725	10.9873	9.9641	11.216	10.8516	9.6989	10.5912	9.9504	10.9458	11.5697	11.2823	9.5986	9.9562	9.9742	9.6423	8.985	9.3284	8.7799
SNP__ZNF462	0.003	-0.163	0.13	0.149	0.209	0.064	0.293	0.184	0.133	0.238	-0.022	-0.124	0.274	0.147	0.036	-0.073	-0.126	0.146	-0.019	-0.088	-0.064	0.157	-0.15	-0.147	0.207	-4.605	0.223	-0.633	-0.201	0.047	-0.211	0.161	0.02	0.188	-0.418	-0.176	0.297	-0.296	-0.055	0.024
U133A__DCTD	6.7368	5.2551	5.1467	5.2233	6.3193	7.0626	6.6695	6.191	5.2222	5.2165	8.2899	7.0776	7.2563	7.3378	4.372	5.1893	5.3932	7.6038	6.9105	6.8982	5.9638	6.1875	7.3325	8.1583	6.0793	6.8102	7.0588	6.0422	5.5091	5.4363	7.4175	8.6957	7.8895	6.5288	7.2342	7.7797	6.4909	6.1735	6.6284	7.042
