Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Response	-1	-1	1	-1	1	-1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	1	-1	1	1	1
U133A__CRIM1	5.0556	7.7575	4.5538	6.6582	3.5903	7.9088	5.0214	5.8645	5.4013	6.6716	6.6118	6.6738	6.5511	6.4677	7.6681	4.209	4.0619	6.3739	8.3257	4.25	5.0642	4.1324	4.8529	6.1856	4.9762	7.7736	5.3263	5.4297	7.3237	6.0612	4.7611	3.0831
U133A__MYB	6.9468	5.5605	7.1427	5.2382	6.1754	5.4142	6.3239	6.4602	5.2946	4.9253	7.3429	5.4122	4.8759	5.6105	5.5049	6.3934	7.2538	4.4327	5.3734	8.3463	6.7762	7.5681	6.5134	5.2487	5.4891	4.8102	5.5343	6.6125	6.4074	6.262	6.73	6.2372
U133A__ALDH4A1	7.4246	6.5647	8.3471	6.082	7.9374	5.962	6.3012	7.4468	6.466	6.4855	7.2935	6.2652	5.8633	7.3004	6.2349	6.5478	7.738	6.0012	5.8512	7.521	6.2685	9.9506	7.4964	5.9475	6.3586	5.7202	7.4961	6.7301	6.5002	7.6683	7.696	7.7586
U133A__FOXA1	7.7572	6.523	9.0263	4.7595	8.7472	5.2283	5.7444	8.14	5.0961	5.822	8.8813	6.9658	5.4233	5.6401	5.6268	8.3942	8.6803	4.7116	5.3926	8.8057	8.3218	9.2428	7.9736	5.241	5.689	5.6432	8.73	9.3117	8.6746	8.6077	7.9866	8.9553
U133A__COTL1	6.1669	10.3469	4.9965	8.685	3.9985	6.2075	4.6672	5.8737	7.9639	9.1007	4.9764	9.1278	8.7305	8.2581	8.4075	6.502	5.7289	7.2017	8.776	5.4758	5.1598	5.832	5.7785	6.831	8.3543	8.6649	5.26	7.8287	6.4731	6.115	5.3958	4.3443
U133A__ERBB3	7.5004	6.4014	8.3846	4.1332	7.8718	7.0488	7.2396	8.1221	7.1116	6.5673	8.2884	6.1232	6.1179	7.809	3.9223	7.4837	7.907	5.1573	4.7362	8.49	7.7735	8.3471	7.8318	4.3134	6.0561	4.2768	8.8454	8.2685	6.8618	8.571	8.2939	8.3354
U133A__GCHFR	7.7336	7.3299	7.4086	5.9174	7.0334	6.0695	5.6255	6.5892	6.057	5.9386	7.2153	6.4454	5.5521	9.3148	5.7151	6.6593	6.6104	5.6439	4.8651	7.7018	7.5975	8.9348	8.3753	6.5251	6.4883	5.3529	6.5813	7.5842	5.7935	6.8521	6.8993	8.7278
U133A__SLC7A11	4.9085	8.8657	4.8749	7.6008	4.0794	4.8761	4.5896	3.9585	5.6869	9.4099	4.097	5.2914	7.2811	6.0812	8.3411	4.3563	4.5052	6.2811	9.0367	5.1478	5.4183	4.2368	4.6391	6.1061	5.0838	6.5691	8.3337	7.4302	7.695	4.18	3.9346	4.1598
U133A__POPDC3	4.9063	8.8153	4.6823	4.9301	4.7796	5.9364	4.6287	4.9503	7.1219	6.8476	4.8478	5.5473	6.8111	6.8852	5.7957	4.8642	4.8038	6.6873	7.3238	4.7884	4.741	4.6897	5.0638	6.7314	7.1693	4.899	5.0638	5.0716	9.3478	4.6326	4.7804	4.8257
U133A__SHANK2	5.9045	4.943	7.6843	3.9882	5.1612	5.641	5.3585	5.1934	4.0531	4.7244	6.5754	4.4562	5.1162	6.8101	3.9503	5.2678	5.5006	3.8321	4.2847	7.5141	6.359	7.3884	5.3379	3.9945	3.8673	4.0287	6.3054	7.4714	6.2082	6.502	6.8877	6.5888
U133A__BIN1	8.362	8.6512	6.4352	8.6377	6.2759	6.655	6.2781	7.1999	6.9047	7.8473	5.867	6.5609	8.452	6.4451	7.2778	6.4746	6.324	8.4158	6.4772	6.4021	6.3341	6.0966	7.052	9.2603	7.9808	8.5909	6.3494	7.856	6.4031	6.3309	6.8244	6.3347
U133A__MT1E	7.3809	10.9472	7.1994	8.052	7.2057	8.2554	6.7525	10.3763	8.6888	9.325	7.1704	8.6778	10.2166	7.6766	10.4822	6.9449	7.3634	8.8841	11.072	7.7895	10.3548	7.9851	7.853	10.6588	10.8935	10.8512	7.4854	7.5278	9.3421	7.187	7.2065	8.0755
U133A__TMEM30B	6.8901	7.6466	7.4005	4.5145	7.2183	6.9133	4.3056	6.7918	4.8118	6.6057	8.128	5.2438	6.5212	6.4775	4.5702	8.4178	7.6244	4.4832	3.5723	7.4901	7.0626	7.6142	6.6801	4.1736	7.2792	3.6516	7.2406	8.0335	3.6461	7.2677	8.2243	6.7906
U133A__PRNP	7.6265	8.3038	4.4988	8.3473	2.8621	8.8473	8.0052	3.5182	8.5845	9.0397	6.9932	8.0449	9.5522	7.329	9.3616	5.659	4.5659	8.366	8.3535	5.8395	3.3305	4.0872	7.1137	7.4428	8.3248	8.0389	5.8058	8.428	8.4491	6.0263	6.8121	4.5816
U133A__CRIP1	4.9101	4.4423	9.7016	5.0897	4.9873	5.2707	8.3369	5.2036	8.8011	6.9537	4.8404	5.1706	5.7282	7.8829	4.6486	5.4919	5.8025	4.3166	4.6497	9.8876	9.8166	8.6704	5.2638	5.2501	8.6033	4.6048	5.5028	5.7352	5.1629	10.2423	9.5778	10.2373
U133A__ETV5	5.3512	8.7998	6.0268	6.6768	4.9464	6.3476	5.5852	5.6541	6.9955	7.4543	5.628	6.483	8.1696	5.9095	7.7918	6.185	5.4223	7.7123	8.0412	6.1711	5.7368	5.7878	5.0177	7.3943	7.3494	6.991	7.0011	7.7549	7.809	5.5572	6.9736	5.4015
U133A__LRIG1	6.2785	5.1965	6.714	3.8294	5.7543	4.6329	5.669	7.1662	4.7873	4.9515	5.5033	5.2939	4.0003	5.209	4.8805	5.4309	5.1228	4.104	4.2748	8.0802	5.1363	8.3706	5.1384	5.4354	5.9374	4.1727	5.8208	8.3873	5.0683	6.8777	6.743	6.956
U133A__MCFD2	6.2773	7.5503	5.0626	6.386	6.4827	5.7931	4.3098	5.5137	6.2944	8.0238	5.5338	6.2847	6.213	5.9582	8.8193	6.5741	6.1142	7.6131	7.2542	6.0619	5.909	6.2241	5.4566	7.0765	7.4358	7.5063	7.3567	5.6655	7.341	5.5784	5.8902	5.351
U133A__XBP1	9.815	7.6964	10.7009	7.9069	10.6604	7.6036	7.9543	9.2154	7.8611	8.1184	10.5899	8.1677	7.1544	8.6517	7.6438	9.3516	10.7117	7.2265	7.889	11.5911	11.2322	11.2977	10.1574	7.1282	7.1631	8.0768	11.2015	11.1151	10.9035	10.9459	11.0313	11.6974
U133A__GLS	5.7518	7.2918	4.0759	6.6791	3.7784	7.3472	5.1229	5.2186	7.3126	7.012	5.3827	5.5398	7.1731	7.3676	5.5516	5.2015	5.0259	6.4009	7.034	4.1183	4.9112	3.4156	4.8237	7.9906	6.7428	6.0561	4.4919	4.9067	4.4406	4.5268	4.8293	4.3555
U133A__C3orf14	8.6727	7.5754	9.212	8.5361	9.2088	4.2159	7.5311	8.7627	7.2165	6.6989	8.792	7.421	6.3008	7.4875	8.1547	10.6072	10.2344	6.6381	8.2452	9.1404	7.4683	9.4658	8.9235	7.4175	8.1998	8.4651	7.2508	8.5412	9.1302	7.7943	9.0827	9.2989
U133A__MET	7.1117	9.1682	6.3733	7.8015	3.681	7.5974	4.7232	5.4852	5.2012	8.5363	5.3306	7.3328	6.2434	7.4069	8.8939	5.544	5.1935	6.8282	7.7522	6.4167	4.6308	3.6139	5.2515	7.6225	7.4948	8.1415	4.3291	6.5536	5.477	3.9143	3.4815	4.67
