Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	-1
U133A__SPATA20	8.0097	8.0667	8.4022	8.973	9.0124	8.1244	7.9384	8.136	8.1626	6.0568	7.9664	8.2571	6.9651	7.1642	7.1251	10.4523	6.4692	7.276	8.545	6.7971	8.151	8.4668	7.4922	7.9718	8.2501	7.8416	9.0767	8.2506	8.2715	7.4515	8.086	7.3961	7.0211	6.8099	6.2629	7.8545	8.2459	7.6437	8.3765
U133A__PSMB3	9.6802	9.084	9.8988	12.1363	9.6264	9.5618	10.306	9.8656	8.8918	9.2269	9.1014	10.006	10.2436	9.5561	9.7906	11.3566	9.2113	9.923	10.0025	9.3135	9.7381	9.5798	9.9499	10.0309	9.6853	10.0956	10.8509	9.7682	9.7899	8.7196	9.5636	9.7851	9.9523	8.3181	8.917	8.9793	10.2048	9.0869	9.9681
U133A__SERPINE2	4.1494	4.4242	7.97	4.9022	4.2554	9.6075	4.4355	7.5807	6.6807	6.0426	3.9813	8.4672	7.9594	4.2132	7.2359	4.7087	4.2348	6.9187	8.2237	4.4336	10.6755	4.5754	4.2682	9.6812	3.944	6.4409	6.9121	5.0607	4.343	4.6083	5.8042	7.156	4.8219	4.8116	4.3567	4.627	3.9897	4.3236	4.6368
U133A__GOLM1	10.7915	6.9699	6.8996	6.1436	7.4106	7.6162	6.9619	8.0559	6.097	6.8168	4.7724	7.2941	6.293	7.9946	8.2171	5.8587	10.0582	6.9203	7.2777	7.3807	6.7465	5.3774	8.0129	7.4232	8.809	7.3179	5.4568	9.5048	5.0972	8.7597	7.0625	7.1676	7.1221	8.1662	8.2527	8.4265	7.2974	5.9218	5.7551
U133A__RAB6A	8.3478	8.1354	7.602	9.6089	8.5203	8.235	7.0744	6.9855	7.5458	8.9785	9.6511	8.2605	8.7391	8.1772	8.2082	6.8947	9.3203	8.6921	7.8781	8.3045	7.1215	8.5233	10.7149	8.1531	8.4794	7.9162	7.769	7.67	7.9761	8.2774	7.0141	8.7486	7.4315	8.176	8.9419	8.722	7.9143	7.9982	7.7061
U133A__ITGA3	7.0347	5.904	8.7863	7.0003	6.2149	8.0259	6.2689	8.8922	7.8936	5.0259	6.8603	5.3603	7.6743	7.3976	8.3943	7.9867	5.562	7.1843	8.7137	6.5616	7.4535	6.406	6.3636	8.2664	6.2884	7.5132	7.5224	6.7249	6.8296	5.5944	6.0298	7.3832	7.7502	5.8839	6.4267	6.8074	5.8556	5.7229	5.9956
U133A__FUT8	5.6391	7.1577	6.5198	7.0649	8.3524	6.9182	8.4013	7.987	5.8561	5.7352	6.273	6.072	7.683	5.5051	7.2262	6.7192	6.3162	5.7325	7.258	5.4207	7.0337	8.8413	7.1088	7.2275	7.4477	6.6699	7.9813	6.5994	8.5014	6.404	6.9045	6.0776	6.1045	7.824	5.3298	5.6915	5.9146	6.694	7.3654
U133A__TRIM16	6.1574	6.1974	9.2691	5.7526	6.4896	7.8195	6.6675	6.4563	6.8223	7.0869	5.7686	6.3137	9.1814	8.2659	7.3056	7.7113	6.6343	7.8839	7.5431	5.7772	7.4161	6.7198	6.2253	7.6578	5.7971	5.9195	7.4512	6.3	8.2898	7.0752	6.5095	7.3537	6.161	7.2962	7.0737	6.0595	6.0184	6.5469	6.4635
U133A__FKBP4	7.8938	7.2314	7.3501	7.8308	8.6332	6.4693	7.5977	6.5142	6.4888	7.6079	10.106	8.0188	7.4516	7.9534	8.2485	6.6807	6.7073	8.3906	6.7943	7.4821	6.6219	8.5173	9.1486	6.0714	8.2269	7.0025	8.2281	5.9213	7.3097	8.068	6.4055	8.0056	7.8416	7.6881	7.3206	7.2406	8.8391	8.1696	8.6481
