Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1
U133A__KYNU	3.1107	7.5015	4.3378	3.7016	3.7004	4.199	6.8799	3.3451	3.3778	5.2812	5.0897	9.7837	6.6414	8.1632	5.8705	8.3008	4.2979	3.6763	3.9397	9.3041	9.2168	3.205	6.7245	6.0479	5.4828	6.253	3.5387	3.4423	4.7613	3.2793	9.6851	5.4603	3.4978	7.9465	4.0878	8.121	5.0006	5.7334	3.5004
U133A__TMEM30B	7.5328	6.8901	7.6466	7.4005	7.841	4.5145	7.2183	6.9133	4.3056	6.7918	4.8118	6.6057	6.9381	7.4909	8.128	5.2438	6.5212	6.4775	4.5702	8.4178	7.6244	7.2188	4.4832	7.1355	3.5723	7.4901	7.0626	7.6142	6.6801	4.1736	7.2792	3.6516	7.2406	8.0335	3.6461	7.2677	8.2243	6.7906	6.8931
U133A__KIAA0100	8.8681	9.2054	7.9417	8.8628	8.6047	7.4282	8.9246	7.7525	7.5068	7.9503	8.0312	8.2047	7.8415	8.2902	8.4022	8.2701	7.8823	7.6288	7.6848	8.8026	8.3881	7.8276	7.2512	8.327	8.6738	9.0547	7.8274	8.4813	9.7569	7.9615	8.3141	8.6067	7.8017	8.8547	8.3358	9.2605	10.2621	8.2115	8.5997
U133A__PDLIM2	6.1838	6.4469	6.5686	5.0195	5.6124	8.445	5.1054	6.7985	7.5575	4.7108	6.3607	5.2325	5.6691	6.1512	6.3079	7.0536	6.8265	6.1954	8.6963	6.1059	5.2037	5.8817	6.625	6.3894	6.7859	4.9201	6.5696	4.5589	7.137	7.7536	6.8021	7.2215	5.3168	5.6906	4.947	5.8226	6.1853	6.1648	6.9082
U133A__HMOX1	5.9805	6.3462	7.4205	6.2042	6.0583	9.3758	6.8273	6.6101	6.269	6.5746	7.1662	6.0146	6.2742	5.9549	6.7426	7.6179	6.5557	6.0875	7.9038	5.9175	5.8619	6.4551	6.459	6.0077	6.365	6.3473	6.6004	6.3751	6.243	9.709	5.7164	8.5448	6.5511	6.6615	5.9153	5.9068	5.6787	6.4186	6.8615
U133A__MARCKS	4.0846	7.9558	9.3462	9.0052	6.1751	9.3931	3.1121	7.562	9.3508	6.1638	7.7138	7.8514	8.6914	8.1749	9.5401	8.7765	9.5328	9.2564	9.3228	3.4705	6.1732	9.3868	9.2405	7.1593	8.4118	8.1083	8.134	7.7284	7.2272	7.9364	6.5351	7.3555	8.9721	8.9906	8.8831	2.8129	7.525	5.898	6.8807
U133A__EEF1A2	8.4199	11.0325	10.6134	8.8277	10.4452	4.9698	10.4219	6.4697	4.4425	9.7461	5.8255	8.8877	8.1497	9.2164	4.9156	5.5593	9.1134	5.8471	8.9212	10.5813	11.7994	9.6918	9.0784	9.8087	8.0866	10.3513	8.6957	10.0605	7.2008	5.2855	9.4882	6.2216	8.1734	9.764	6.2512	9.1884	8.4557	10.671	11.6249
U133A__CAT	9.2728	8.6882	8.9651	8.6094	8.1768	7.6458	7.9778	7.1926	8.5442	9.183	8.3309	11.1759	8.5523	9.9741	8.1137	9.9591	7.7908	8.3007	7.9061	7.4298	7.812	9.1065	7.2563	8.7414	8.3873	9.0302	7.4691	8.3149	8.1271	8.2005	8.7364	8.0446	6.1542	10.075	8.6121	9.4779	9.0364	7.6033	7.5928
U133A__UAP1	9.1598	8.4831	7.1609	8.1046	8.3803	10.5221	7.3076	7.5494	7.5247	7.4176	8.5975	8.0611	7.6904	6.9409	7.8611	7.7855	8.3676	8.4675	8.864	6.5547	6.1229	7.6336	8.1057	8.1617	8.5606	7.148	8.1879	8.1683	7.9066	9.5836	8.0031	8.7819	8.9616	8.4541	8.9146	7.0147	8.1841	7.9779	7.8894
U133A__LRIG1	8.4873	6.2785	5.1965	6.714	7.3323	3.8294	5.7543	4.6329	5.669	7.1662	4.7873	4.9515	5.9472	4.8144	5.5033	5.2939	4.0003	5.209	4.8805	5.4309	5.1228	6.6869	4.104	7.4281	4.2748	8.0802	5.1363	8.3706	5.1384	5.4354	5.9374	4.1727	5.8208	8.3873	5.0683	6.8777	6.743	6.956	6.6563
U133A__KRT8	10.7115	11.2525	11.4126	11.1708	11.8105	4.6994	10.4767	9.9402	9.7313	11.932	8.4941	8.913	10.6646	11.1743	11.4994	9.9269	9.5922	9.5457	5.7145	11.6793	12.1159	10.506	7.5837	11.0665	8.3426	11.2063	10.4653	9.1194	11.5414	4.6224	9.8963	8.3775	10.5897	10.994	9.9593	11.9459	11.5683	9.9995	11.4816
U133A__TLN1	6.6588	6.5424	5.8805	5.7994	5.612	6.5644	5.9856	6.3255	7.1334	6.2038	6.5911	6.6526	6.1384	6.1843	9.1773	6.3819	6.184	8.0898	6.6104	5.9366	6.2893	5.6054	7.1546	5.8129	7.0731	5.9544	6.3669	6.1561	6.3103	6.3312	5.8417	6.5138	6.2184	6.0943	6.1867	6.0613	6.1134	5.9299	6.1477
U133A__SLC39A14	6.6658	6.3508	8.5567	5.7462	6.1677	9.7025	6.6078	6.3584	10.0436	5.8834	7.972	7.7405	6.3612	6.229	6.6312	7.0261	7.3375	6.1078	8.8219	6.2226	6.0328	6.4296	7.3106	6.5998	7.9923	5.6425	6.5311	5.5457	6.6012	10.1244	7.5401	8.3297	7.8884	5.1832	6.6665	6.7652	7.3475	5.9987	8.1011
U133A__CALD1	4.2559	5.8786	8.3527	3.9365	4.9682	7.9225	3.6763	6.2884	9.1905	3.4181	8.0223	6.0784	7.1754	4.4506	5.5558	9.2409	8.6378	8.8403	9.3954	3.6019	3.9175	4.3435	7.5768	4.9728	7.2995	5.0421	4.1759	3.5041	4.7812	7.3616	7.3157	7.8436	7.7707	8.0238	6.7517	4.3805	4.0465	4.0081	3.6434
U133A__KDELR3	7.7574	6.0177	6.3733	7.3768	7.0073	8.4164	5.4499	8.6357	6.8337	6.2748	7.8566	7.4485	7.0864	5.1006	6.8283	8.3566	7.4494	7.6389	8.6264	6.6977	5.9754	6.0059	7.9155	7.6533	7.7169	7.0497	8.1051	5.3789	5.5027	7.7253	6.8508	6.7554	8.6796	7.3828	7.6741	5.9734	7.0554	7.138	9.1425
U133A__KIAA0182	8.7175	8.7547	8.2326	9.4399	8.9626	5.5927	8.9031	7.0695	8.2032	9.5198	6.5335	7.1268	7.6521	7.6461	8.5395	7.194	7.6429	7.7941	6.6802	9.3437	9.2681	7.1592	5.5687	8.3507	6.8539	9.4821	8.1927	8.8215	8.4014	6.3604	6.768	6.9346	9.4211	8.9541	8.2608	10.1651	8.3246	9.5845	8.7069
U133A__C5orf13	7.5479	5.1369	4.8195	6.7214	7.2221	10.5831	8.7053	6.8127	10.1445	5.6449	7.1065	5.0964	5.3783	7.077	6.914	5.561	7.2038	5.9763	8.7252	5.4808	5.8234	8.3707	9.2578	5.8943	5.5724	6.9229	7.5753	8.2068	4.9232	7.1556	5.2497	9.5255	9.8606	6.3485	5.4205	6.0864	7.4534	6.3202	6.9258
U133A__MAP1B	5.2828	4.7448	6.4849	4.9262	4.8618	7.9119	4.5738	6.6054	8.1982	4.5955	5.1547	5.4784	4.3322	4.8752	4.6449	6.1241	8.077	7.8322	9.7287	4.2933	5.1401	5.3466	8.6245	5.0681	8.226	4.7169	4.9647	4.3393	4.5124	7.7301	5.7202	8.3276	10.7187	6.9184	4.8221	4.5797	4.5998	4.8576	4.5338
U133A__C5orf23	5.6841	6.3829	5.455	7.5346	6.271	6.5705	7.2092	8.7788	7.6183	5.4248	7.2325	5.4244	5.5515	5.5549	8.2279	6.8555	7.2818	8.3511	7.1384	5.6597	5.5512	6.1622	6.0857	5.6845	5.6237	5.9768	5.8137	7.0568	7.5061	5.7325	5.2448	6.0217	5.878	5.3433	5.4923	5.947	6.2081	6.4551	5.6891
U133A__MSN	3.841	4.5404	7.0857	3.5172	3.4371	8.5121	3.3393	9.342	8.9229	4.7864	8.964	8.5521	7.2232	8.4309	3.4629	7.7602	8.5216	9.8294	8.6483	3.9182	3.857	4.7157	8.0642	3.6968	8.6962	3.3597	4.1423	3.5368	3.4264	8.8511	9.046	8.7758	3.5774	5.7481	3.4357	3.3212	3.8634	3.5565	6.796
U133A__SPARC	3.7712	3.66	3.5138	3.5735	3.4648	10.4223	3.5195	4.282	3.8571	3.5912	8.829	3.6301	5.2953	3.922	3.632	9.6467	9.8987	3.695	11.0811	3.9276	3.715	4.7207	11.7943	4.1587	5.5428	3.6311	10.9894	3.6342	4.0483	8.1684	3.7031	9.5455	3.8431	3.6479	3.7304	3.9174	3.54	3.7679	3.658
U133A__TPM2	2.9737	3.2967	2.7599	2.7023	3.0083	9.2246	3.0307	6.6508	2.7736	3.2918	9.0163	7.0455	3.3028	3.2698	3.8763	6.7663	7.9299	8.1468	9.5375	3.3478	3.2518	3.2009	4.4389	3.1689	3.4678	2.8649	3.6268	3.157	3.4752	8.5825	7.37	8.2812	2.8239	3.0699	5.6483	3.0476	3.3862	3.4566	2.9659
U133A__GPRC5C	7.4235	6.1309	5.8727	6.7046	6.796	5.3902	6.9703	5.6507	5.5117	6.314	5.8513	5.5639	5.7202	5.8357	6.4456	5.8599	6.2879	5.6807	6.194	6.4966	6.7739	7.9681	9.0957	7.5182	5.7214	8.3154	6.1173	7.1564	6.0889	5.7109	5.5935	5.16	6.7736	6.437	6.2738	7.4572	7.4876	7.2886	6.3964
U133A__DPYSL2	6.5499	4.3957	6.3934	5.6905	6.9064	9.755	6.403	8.6685	6.876	6.4028	8.1874	7.4548	6.1458	4.9671	5.8342	7.3601	7.5697	6.8732	9.3498	4.9229	6.4398	8.4362	7.9753	6.9726	7.9353	6.4448	4.2048	6.5866	3.6449	9.0406	8.4346	8.7608	6.6997	7.2071	7.204	5.519	7.3291	4.2719	7.339
U133A__MREG	7.2904	7.4837	6.8632	7.3162	7.6224	4.1264	6.9158	4.9852	4.4452	7.6384	6.6941	7.6708	6.2989	5.9287	7.3828	6.2187	6.2332	6.664	4.6508	8.3801	8.8786	8.0033	5.5713	7.5852	5.3909	8.2337	7.7519	7.482	6.9532	4.3075	6.558	4.6489	4.8388	7.7298	7.2458	7.0424	8.2713	6.0785	6.4466
U133A__FKBP4	7.8938	7.2314	7.3501	7.8308	8.6332	6.4693	7.5977	6.4888	7.6079	10.106	8.0188	7.4516	7.9534	8.2485	6.7073	8.3906	6.7943	7.4821	6.6219	7.3035	8.5173	9.1486	6.0714	8.2269	7.0025	8.2281	5.9213	7.3097	8.068	6.4055	8.0056	7.8416	7.6881	7.3206	7.2406	8.8391	7.4746	8.1696	8.6481
U133A__TM4SF1	8.362	6.5146	5.874	3.8897	8.7189	9.4967	4.6259	10.9337	8.3625	6.6237	9.5874	6.9261	9.7401	8.5645	9.6634	8.2595	9.5157	9.932	9.4497	4.0086	3.9065	6.6238	5.6867	3.7921	8.5886	3.6329	8.9573	7.5024	5.3364	9.5365	8.6277	8.4649	3.7295	8.8941	7.1048	3.6687	6.4787	8.7528	3.6383
