Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	-1	1	-1	1	1	1	1	-1	1	1	1	-1	1	-1	-1	1	-1
U133A__ADORA2B	6.2311	6.1615	8.2451	5.3114	5.5734	8.4773	5.51	7.9456	5.3852	6.126	7.0501	8.6464	7.6821	8.9669	7.1201	7.0246	7.5635	7.1372	8.0401	6.1847	5.779	5.1524	9.0234	6.3393	8.2953	5.5289	6.2769	5.5188	6.1711	7.4778	6.8111	6.6939	5.2126	6.4237	5.9435	5.4204	6.5418	6.1897	6.3068
U133A__TIMP2	6.9407	8.1437	7.5463	5.9061	6.7268	6.8093	6.4559	7.4862	6.1842	6.645	7.2158	7.4453	6.6229	7.8937	6.1997	7.5739	7.5759	6.5576	6.9703	6.4701	6.6941	6.911	9.6382	6.6629	6.7168	5.6529	6.2677	5.5385	7.5049	8.0501	6.498	6.5791	5.934	6.7798	5.9121	6.6794	7.9524	5.8372	7.0237
U133A__F2RL1	5.0596	6.3428	6.4671	3.9371	4.6177	3.3402	5.3026	6.4559	4.9549	3.7885	5.0169	6.9584	6.7467	8.915	5.178	6.0668	4.5773	5.9755	6.7862	5.3338	4.8866	3.7741	7.0288	4.6	8.6755	4.2629	5.4487	3.2747	4.6219	7.6825	6.5574	4.4934	3.7193	6.9195	3.9098	4.5678	5.2637	4.4543	5.6641
U133A__FHL2	6.8345	7.5313	10.607	6.7725	5.7075	6.7465	4.7439	8.3456	5.4334	4.6551	7.6402	7.5109	8.0003	9.859	5.3809	7.916	7.8709	7.455	9.4441	6.409	6.7517	6.052	8.0689	7.7059	7.9957	5.0216	7.9393	4.7353	6.6008	10.66	8.0581	7.9105	7.7389	9.5596	9.8828	8.7644	10.1995	6.2594	5.9175
U133A__FXYD5	9.4366	8.8706	10.2383	6.3544	6.9093	10.5229	6.5905	9.7949	7.3967	6.6968	9.5407	10.4388	9.0421	11.5641	7.8566	10.3211	8.4657	10.2902	9.5227	6.2427	6.8433	6.25	10.5826	6.4736	9.5884	6.6844	7.9084	8.14	8.7157	7.1906	10.2745	9.6556	8.4212	8.9687	6.5669	8.3634	9.4597	6.2665	6.3151
U133A__NDC80	5.5522	5.0453	7.3704	6.0641	4.7678	7.5886	4.8913	6.2093	8.2113	4.6458	5.6359	6.8255	7.5058	5.4579	4.7843	6.5212	6.879	6.771	7.0702	5.4314	5.1758	5.1286	6.8271	4.2246	7.4584	5.221	4.9644	4.8313	4.8279	6.9992	6.9676	6.0043	3.5759	5.4467	3.7379	5.2985	5.7214	5.8115	6.0871
U133A__CAMK2N1	7.984	9.1459	9.4608	8.3458	8.7947	5.1483	8.6556	6.3505	6.2577	8.6715	6.6419	7.179	7.922	9.9631	8.3152	6.6618	7.3195	10.0484	8.0878	9.553	7.2483	11.0058	7.6561	10.238	6.867	9.2583	9.8342	9.6245	9.5868	5.7111	9.1636	7.9183	9.6719	9.5142	9.8937	8.0816	9.4807	8.5041	6.3299
U133A__PTRF	6.1143	6.0022	8.9581	6.2617	5.8685	9.7082	5.8463	8.3455	6.1188	5.7173	6.9987	8.6548	8.2281	7.4855	6.6073	6.763	9.0215	7.1768	9.9604	6.0237	6.3204	5.3083	9.1023	6.1647	9.8031	6.2294	7.3507	6.3333	5.6802	9.5435	8.2916	9.4023	5.267	6.4218	6.5915	6.796	6.1726	5.4646	5.981
U133A__MKNK2	8.8547	9.1024	8.1041	9.4367	9.134	7.54	8.4693	7.416	9.167	9.0655	7.1375	8.6892	8.2033	7.7142	8.9706	7.5959	9.0658	8.9596	7.0119	7.0536	7.6164	8.2146	7.3453	8.596	8.3944	8.5317	7.9915	9.8256	9.3436	6.5736	8.5994	8.4037	11.1721	8.9377	8.8276	8.2748	9.5034	10.562	9.1577
