Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	-1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	-1
U133A__THBS1	5.5343	5.001	7.0833	2.6537	6.3221	9.244	5.7668	8.4849	4.4151	3.3894	3.7441	6.7656	3.75	7.6908	2.6702	7.1499	5.1664	3.2742	8.3906	4.5841	5.9715	6.4773	5.6089	6.0028	6.6098	3.9623	5.9902	7.2005	4.0472	2.661	9.1396	8.1503	4.1347	6.3622	6.1984	6.842	4.6027	2.8948	2.6965
U133A__RAD51C	6.9822	5.6297	7.983	9.0343	6.8275	6.1623	7.4823	7.1986	7.165	8.0983	6.7777	6.7577	7.1427	7.6222	7.291	6.8232	7.3987	7.9373	6.6287	9.8191	9.5414	7.9039	8.2995	6.255	7.6047	8.658	6.7311	6.771	5.265	7.5262	6.7448	7.3169	5.3562	7.6741	6.851	7.0812	7.489	7.054	8.6001
U133A__L1CAM	5.131	6.8401	8.8594	5.4162	6.1226	5.1979	5.9992	5.5173	7.8196	5.2405	5.5027	5.3762	5.4281	5.847	7.5077	7.1837	6.3174	4.9963	5.9868	7.9212	7.0946	7.0356	9.0199	5.9986	5.5005	5.3735	5.5797	5.2012	7.695	5.1086	9.1313	5.2153	6.4661	5.7168	7.2869	6.3167	7.8844	5.2102	5.2926
U133A__AKR1C1	7.1431	7.4936	9.7287	6.9009	6.8428	6.9592	6.8648	8.8214	9.5937	6.993	6.9124	13.1661	9.4036	9.5204	6.7947	9.3672	10.5533	8.2823	10.5717	6.8776	7.8026	10.3287	9.2501	8.2671	6.5743	7.7902	8.1125	7.0886	6.9583	7.1779	9.3422	9.1273	9.812	11.7895	7.2018	7.2829	6.5776	6.7722	6.5749
U133A__TRIM16	6.1574	6.1974	9.2691	5.7526	6.4896	7.8195	6.6675	6.8223	7.0869	5.7686	6.3137	9.1814	8.2659	7.3056	6.6343	7.8839	7.5431	5.7772	7.4161	6.4079	6.7198	6.2253	7.6578	5.7971	5.9195	7.4512	6.3	8.2898	7.0752	6.5095	7.3537	6.161	7.2962	7.0737	6.0595	6.0184	6.2297	6.5469	6.4635
U133A__ACTL8	7.2689	6.6188	6.8011	6.9101	6.7162	6.7304	6.789	6.7821	6.4917	7.0359	9.48	6.4103	6.6844	6.801	6.7823	6.5964	6.6881	6.9857	6.7492	7.0368	6.9253	6.7076	6.7121	7.0124	6.5698	6.7753	6.6986	6.6741	6.9823	6.8612	6.8399	6.7522	6.656	6.0329	6.6576	6.9007	6.3788	6.9607	6.7018
U133A__IMPA2	8.7531	7.3139	7.0569	8.4529	5.4562	5.1665	6.023	8.6778	7.5464	6.8012	7.8668	7.343	8.3973	7.1983	6.5774	8.1387	7.6265	8.1532	4.5312	7.3864	6.8415	6.571	8.0562	6.4168	6.1764	7.4842	5.5594	6.2553	6.4363	8.9052	7.2363	6.417	5.4249	8.3917	6.665	6.5036	7.2796	7.0634	7.835
U133A__AKR1C2	5.4605	6.4464	9.0657	5.9221	5.7432	6.1651	5.4722	7.525	8.0987	5.4578	6.006	12.3755	8.7393	8.1344	5.8194	8.3491	9.221	7.9785	9.3591	5.9496	6.9475	8.881	8.398	7.346	5.5549	6.8639	7.5265	6.1791	5.8097	6.0822	7.791	7.9192	9.6358	11.5116	5.6004	5.3554	5.4338	5.3534	5.4075
U133A__BHLHE40	4.8137	9.0104	7.5841	7.9928	10.568	7.966	8.0251	9.1001	8.8729	7.9228	7.9559	6.8667	9.1255	7.9007	9.1491	9.1102	9.058	9.8461	6.9324	6.5935	7.2855	9.8204	8.4766	7.7957	6.2979	6.4938	6.725	9.0946	7.9858	6.6069	8.2761	6.3476	9.8552	9.0027	5.9998	9.1508	10.0326	7.6047	7.3721
U133A__DUSP10	5.4056	5.5071	5.7777	6.4654	5.6859	5.7191	5.4751	7.6259	5.1666	5.1364	5.7942	6.3954	5.891	6.5779	5.8496	5.5188	5.3402	5.015	5.8129	4.966	5.4438	7.04	8.1295	5.503	5.3919	6.9872	5.2603	6.2669	5.8129	5.0123	8.1863	6.0591	5.8395	7.5178	6.2508	5.2379	5.489	6.5841	5.1311
U133A__IL17RB	7.8873	5.2466	6.0934	6.843	6.2471	5.4904	7.3323	7.4661	7.126	7.2657	7.2222	5.3553	6.507	5.8397	5.6375	6.1953	5.9681	6.8122	5.8206	6.4179	5.8688	6.2372	5.2065	7.0024	5.0123	8.7116	8.1319	6.924	5.5917	6.0384	5.6864	4.3868	5.6571	6.3158	5.6092	6.6666	5.8909	6.2496	7.187
U133A__TMEM45A	3.9251	5.6223	5.8104	3.8356	4.4014	7.0954	4.067	5.7298	5.2926	3.536	5.1283	6.8653	8.9616	7.9155	6.9156	6.3791	5.8904	8.43	6.0737	3.7106	4.2822	4.5262	6.6374	6.9656	5.4727	3.5937	7.3845	4.0045	5.9107	7.7047	7.3691	5.9503	7.837	7.01	8.6357	3.6449	8.7797	4.7818	3.96
U133A__KLK6	5.4123	4.917	9.4507	4.8753	4.8251	4.9481	5.1348	9.2735	8.0249	4.9307	5.5788	5.2118	9.1099	11.2762	4.9339	8.6374	5.5375	4.5087	5.3166	5.1605	6.1085	4.7658	4.9606	5.3853	4.769	4.9731	5.1898	5.2134	5.3923	4.8629	4.7454	4.6814	5.0521	8.6083	6.9941	5.0235	5.6345	5.0571	4.6177
U133A__EDN1	5.6181	8.6414	5.797	6.3088	5.9544	6.7502	6.322	6.6097	5.8748	5.6839	5.9332	6.4236	6.5458	6.1858	7.9709	8.3836	5.5065	5.4335	6.9838	4.9851	5.7256	5.2145	5.375	5.5314	7.0877	5.3953	5.5904	6.2204	7.5528	5.9898	6.2008	6.3783	6.3586	7.6269	6.4276	7.1655	5.059	6.1272	5.2888
U133A__SPHK1	6.5756	6.2039	7.0171	6.0943	6.0422	6.0261	6.3492	6.9162	6.4991	6.5431	9.0799	7.0979	6.5235	7.3219	6.0867	6.6053	6.6958	7.362	7.0201	7.6825	6.8751	6.2242	8.3971	6.2919	6.1954	8.0365	6.0921	7.3532	6.2097	9.1271	7.5901	6.415	6.2242	6.0159	6.052	6.0584	5.9343	7.0085	7.0155
U133A__MICAL2	5.5937	8.5835	7.4091	5.8918	6.5153	8.7161	5.7524	6.3596	5.3962	7.1558	5.4586	7.7795	6.4629	7.1643	6.5409	7.5842	6.7888	6.4282	10.3248	5.4113	5.4244	8.0124	7.2564	6.6795	8.1767	5.485	6.4057	5.2067	7.5448	6.4108	8.4159	8.9244	6.6987	6.194	6.1371	5.9135	7.1008	5.7811	5.3454
U133A__ID3	6.5887	8.2017	6.4475	6.292	4.9436	9.0818	8.7673	6.2882	8.7247	5.5829	4.654	7.8635	9.1626	5.6262	9.16	7.4433	9.2935	8.3717	8.8993	7.6416	7.6832	8.4068	8.3992	7.0932	8.1135	7.6525	8.5874	7.9443	8.3927	8.1339	8.6072	8.571	6.0519	7.3742	8.38	7.5964	7.2625	7.3309	7.1219
