Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	1	-1	-1	1	1
Meth__cg09076077__FLJ33860	0.9135	0.095383	0.91976	0.88458	0.64237	0.20871	0.74994	0.9471	0.071361	0.6525	0.89522	0.80475	0.78764	0.1722	0.58229	0.62779	0.19752	0.044325	0.28591	0.67228	0.89346	0.086079	0.94333	0.71059	0.14736	0.91126	0.092322	0.049679	0.040029	0.10275	0.20186	0.48567	0.84222	0.073372	0.93637	0.086513	0.0558
Meth__cg24352499__AQP6	0.099744	0.08695	0.59022	0.76035	0.36763	0.11918	0.21541	0.12564	0.090979	0.11146	0.36541	0.48834	0.37149	0.11493	0.13886	0.12045	0.21066	0.062169	0.11842	0.1205	0.18898	0.077357	0.35407	0.39872	0.24947	0.25358	0.117	0.068952	0.076583	0.082422	0.78921	0.35762	0.24337	0.26097	0.68865	0.10786	0.12097
Meth__cg14188232__ITGA11	0.40514	0.03729	0.71292	0.84258	0.81016	0.12646	0.45779	0.29785	0.045695	0.48606	0.40408	0.069934	0.56617	0.047396	0.71126	0.082098	0.095144	0.035655	0.56008	0.58747	0.38044	0.064389	0.20865	0.72505	0.06895	0.19738	0.063988	0.040835	0.037308	0.035006	0.10662	0.045935	0.20506	0.41201	0.35137	0.19166	0.24925
Meth__cg10335112__ODF3	0.39787	0.043881	0.28784	0.4419	0.18936	0.21188	0.17154	0.55463	0.052566	0.23228	0.4224	0.48979	0.36181	0.047791	0.18969	0.19705	0.070907	0.036943	0.25793	0.38332	0.56689	0.080958	0.73102	0.25002	0.062055	0.46258	0.12792	0.18691	0.057469	0.04646	0.2658	0.032254	0.11851	0.071511	0.48996	0.12246	0.098633
Meth__cg17022914__BATF2	0.17816	0.02159	0.083825	0.54558	0.044781	0.15611	0.048321	0.56504	0.024815	0.047552	0.04071	0.040355	0.065645	0.026304	0.045963	0.032245	0.05599	0.024664	0.024642	0.047665	0.16145	0.030626	0.058348	0.045224	0.027159	0.10296	0.04091	0.02669	0.045352	0.033671	0.14927	0.036593	0.27173	0.043189	0.070199	0.04221	0.042612
Meth__cg21667836__PRMT8	0.54707	0.098208	0.89071	0.92141	0.91192	0.74081	0.84307	0.87309	0.060228	0.9067	0.37704	0.51733	0.54283	0.078493	0.65346	0.11517	0.16733	0.10683	0.26132	0.79399	0.92433	0.14838	0.93498	0.16909	0.17802	0.13846	0.14079	0.33571	0.091421	0.085486	0.83095	0.076402	0.81	0.19308	0.8697	0.35864	0.29086
Meth__cg05368341__SYT6	0.79814	0.022642	0.9656	0.20845	0.72944	0.86968	0.67266	0.6689	0.028894	0.042782	0.95141	0.90911	0.70965	0.2834	0.059179	0.067418	0.058789	0.030863	0.58044	0.58842	0.29454	0.064623	0.94632	0.74312	0.056169	0.9145	0.092273	0.028532	0.032918	0.062222	0.95964	0.029653	0.54873	0.4523	0.88991	0.23627	0.14639
Meth__cg10530733__GPR173	0.37395	0.016204	0.82153	0.37138	0.1511	0.061402	0.07803	0.073673	0.10949	0.28679	0.44534	0.72474	0.17302	0.078097	0.22199	0.031623	0.03888	0.023633	0.12636	0.13418	0.28393	0.043981	0.7125	0.17103	0.030452	0.16755	0.055244	0.037207	0.018375	0.025166	0.062689	0.027359	0.21285	0.041553	0.19587	0.030858	0.030772
Meth__cg09706243__POLD4	0.23255	0.028337	0.39357	0.25996	0.03755	0.24247	0.042912	0.20877	0.086161	0.14757	0.081258	0.87203	0.22966	0.081263	0.093346	0.019477	0.053172	0.018952	0.30235	0.17321	0.33851	0.042303	0.32764	0.25421	0.066354	0.68268	0.045061	0.040404	0.032972	0.025304	0.50775	0.021757	0.053127	0.071803	0.086742	0.026864	0.019635
Meth__cg25538571__FLJ46365	0.63632	0.049414	0.77616	0.88542	0.86416	0.0529	0.79767	0.85804	0.041181	0.69052	0.8142	0.66443	0.73608	0.046419	0.79859	0.054017	0.52236	0.022744	0.78429	0.68038	0.053338	0.029014	0.9035	0.26716	0.13779	0.78446	0.069476	0.031466	0.042062	0.053154	0.91338	0.29328	0.84342	0.065722	0.89729	0.49516	0.50801
Meth__cg00848728__DAB1	0.94101	0.017176	0.96972	0.96362	0.34531	0.56175	0.95829	0.71998	0.0096605	0.026253	0.90055	0.67059	0.87854	0.014218	0.018025	0.031821	0.024429	0.015436	0.83015	0.95484	0.72237	0.055309	0.92636	0.027965	0.020141	0.94787	0.01169	0.1171	0.019876	0.024348	0.95724	0.020949	0.49843	0.054146	0.89796	0.027976	0.44588
Meth__cg10544564__IGSF4B	0.077088	0.037492	0.31229	0.12528	0.053794	0.17223	0.08641	0.20322	0.039306	0.079495	0.32974	0.47754	0.34033	0.052078	0.038437	0.034725	0.1337	0.05	0.084994	0.12495	0.060378	0.05783	0.33115	0.11999	0.052083	0.28979	0.067923	0.030594	0.064113	0.074772	0.062747	0.036881	0.1097	0.19194	0.081361	0.054312	0.049478
Meth__cg08527127__C1orf94	0.55969	0.085176	0.13528	0.90077	0.54252	0.15005	0.11772	0.78273	0.048963	0.84332	0.25755	0.89986	0.74375	0.052638	0.13585	0.076334	0.09418	0.047802	0.073877	0.37123	0.91434	0.11506	0.91956	0.41057	0.23115	0.86052	0.18044	0.043352	0.13291	0.088038	0.68565	0.13379	0.82339	0.11187	0.88869	0.5842	0.11892
Meth__cg00840403__CHST4	0.68798	0.13743	0.64635	0.59808	0.72164	0.17181	0.29794	0.3626	0.13456	0.39528	0.29915	0.15736	0.72158	0.15335	0.2376	0.089323	0.11359	0.1217	0.064861	0.3702	0.77542	0.10685	0.72535	0.42741	0.14759	0.43117	0.24417	0.10142	0.10629	0.12731	0.81555	0.0714	0.37496	0.2194	0.7805	0.36761	0.39253
Meth__cg08977371__CDH13	0.91195	0.037599	0.84516	0.8441	0.43286	0.71604	0.7581	0.8046	0.092716	0.50326	0.84708	0.79759	0.89136	0.24919	0.51971	0.38549	0.18389	0.036289	0.60156	0.34471	0.16126	0.070535	0.9014	0.74977	0.089187	0.86655	0.056123	0.098592	0.042463	0.065275	0.88993	0.084331	0.87744	0.12794	0.47495	0.67612	0.27932
Meth__cg09867835__GLP1R	0.15352	0.10312	0.48576	0.86711	0.63697	0.13408	0.65337	0.19233	0.11382	0.82283	0.72702	0.35199	0.60813	0.13977	0.40053	0.09669	0.12185	0.085549	0.54435	0.36926	0.67857	0.1114	0.4987	0.45995	0.14169	0.08486	0.095833	0.10138	0.10992	0.090277	0.72046	0.12063	0.46237	0.171	0.44269	0.12394	0.2224
Meth__cg21640749__CD300LF	0.94516	0.048486	0.95176	0.94673	0.89399	0.19989	0.88227	0.90961	0.035293	0.88999	0.61518	0.93071	0.88705	0.095293	0.51567	0.92805	0.070262	0.022393	0.86091	0.85735	0.89567	0.11656	0.95418	0.72656	0.028655	0.64143	0.063378	0.40347	0.034431	0.026566	0.91684	0.045077	0.59803	0.088723	0.94524	0.51141	0.6043
Meth__cg04195127__WFDC1	0.081364	0.060436	0.70986	0.62937	0.75313	0.039273	0.36285	0.95425	0.032723	0.34888	0.91084	0.26098	0.78577	0.031148	0.76046	0.046368	0.037198	0.026183	0.40485	0.58624	0.94535	0.56949	0.11871	0.18602	0.04999	0.062592	0.14335	0.027295	0.028976	0.03284	0.49539	0.032372	0.08684	0.074656	0.92969	0.08101	0.06488
Meth__cg24355091__PSARL	0.033504	0.022216	0.47487	0.40931	0.24701	0.41862	0.21692	0.43313	0.083028	0.13843	0.055614	0.15176	0.097395	0.088421	0.034563	0.039491	0.2161	0.026068	0.10688	0.38323	0.778	0.046136	0.13954	0.062457	0.10672	0.2836	0.049066	0.030163	0.043296	0.055014	0.1935	0.2817	0.053828	0.088499	0.25689	0.13736	0.16383
Meth__cg11126134__FLJ14834	0.49219	0.044391	0.36515	0.63092	0.92931	0.37805	0.92519	0.93707	0.038121	0.88667	0.88224	0.082785	0.64771	0.040033	0.80812	0.56751	0.073362	0.043043	0.88332	0.89942	0.97132	0.099468	0.88337	0.94123	0.076897	0.72564	0.074318	0.025935	0.027027	0.059445	0.94259	0.026234	0.28694	0.12527	0.053479	0.41325	0.37007
Meth__cg22228134__GZMH	0.51981	0.07767	0.26795	0.84291	0.67675	0.10357	0.83465	0.86484	0.095957	0.50326	0.5536	0.61277	0.53922	0.089014	0.19466	0.13186	0.71209	0.098259	0.40918	0.48309	0.92366	0.094026	0.89279	0.17355	0.14606	0.14939	0.16146	0.11093	0.4087	0.091229	0.63483	0.087182	0.39152	0.14086	0.50077	0.50889	0.44938
Meth__cg14702264__FLJ10099	0.086677	0.052599	0.10372	0.2426	0.28677	0.40632	0.067904	0.045344	0.11513	0.12007	0.054465	0.24074	0.16184	0.093536	0.093611	0.048252	0.099675	0.046594	0.070176	0.25463	0.27459	0.087979	0.30154	0.098265	0.095223	0.12417	0.087036	0.056231	0.035123	0.042166	0.29974	0.059406	0.055542	0.13745	0.076113	0.044326	0.05933
