Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	UACC812	ZR751	ZR75B
Response	1	1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	1
Meth__cg03109316__ZNF80	0.79014	0.032029	0.81772	0.3884	0.37761	0.63533	0.94863	0.33488	0.89647	0.8656	0.098093	0.047173	0.74926	0.93805	0.078491	0.22611	0.16289	0.14337	0.91522	0.93575	0.33508	0.057851	0.16853	0.041155	0.31333	0.56294	0.036595	0.045468	0.2955	0.23653
Meth__cg20444256__CKM	0.22579	0.066365	0.69877	0.239	0.32458	0.47305	0.88786	0.11714	0.62306	0.74148	0.4648	0.046079	0.50775	0.39171	0.091906	0.022029	0.38058	0.38725	0.8739	0.75205	0.21918	0.18671	0.17526	0.15681	0.2475	0.13165	0.20606	0.091372	0.10416	0.12821
Meth__cg21660392__ABCA8	0.8877	0.073809	0.43995	0.14474	0.14626	0.5206	0.86946	0.047789	0.81434	0.60688	0.46896	0.081841	0.80437	0.91522	0.22565	0.12478	0.091921	0.064857	0.81434	0.52935	0.81926	0.20355	0.3256	0.11125	0.47744	0.47555	0.12707	0.10566	0.49147	0.31285
Meth__cg05337441__APOB	0.063603	0.030815	0.30368	0.06024	0.08168	0.11445	0.10999	0.045242	0.36328	0.27217	0.32117	0.023443	0.11891	0.3442	0.047721	0.033098	0.040326	0.041781	0.63009	0.098845	0.11382	0.046236	0.11928	0.045032	0.052087	0.035091	0.088126	0.042382	0.039527	0.043158
Meth__cg03020597__SLITRK2	0.50341	0.056474	0.56643	0.060145	0.77923	0.66144	0.89596	0.031888	0.81417	0.60906	0.11995	0.056407	0.23094	0.16237	0.079552	0.095371	0.10374	0.10885	0.17735	0.37363	0.21287	0.069131	0.11129	0.080742	0.18795	0.051107	0.094702	0.040392	0.098337	0.205
Meth__cg10883352__	0.27522	0.01873	0.81738	0.39945	0.30637	0.62023	0.92224	0.024548	0.87016	0.50436	0.37806	0.01914	0.56498	0.93204	0.028314	0.13371	0.098171	0.25553	0.16507	0.87385	0.60691	0.13107	0.31916	0.033218	0.10265	0.54748	0.055989	0.047878	0.075384	0.11702
Meth__cg06952310__CSPG3	0.32804	0.037371	0.19501	0.33379	0.22105	0.2787	0.44652	0.044265	0.5112	0.36931	0.45267	0.050826	0.30482	0.3726	0.098044	0.072194	0.17768	0.076468	0.59345	0.83429	0.22492	0.050766	0.1797	0.1154	0.30733	0.2737	0.12238	0.086306	0.094635	0.076141
Meth__cg10999429__ACVRL1	0.037431	0.018575	0.21001	0.073447	0.043017	0.04854	0.51682	0.029854	0.45684	0.3295	0.091968	0.013603	0.12391	0.10588	0.025773	0.014509	0.051903	0.06923	0.25087	0.54293	0.095569	0.041179	0.063712	0.026466	0.028967	0.13284	0.043972	0.023879	0.020012	0.023508
Meth__cg06276653__C8ORFK32	0.8494	0.0515	0.89647	0.04093	0.079771	0.49104	0.70741	0.096887	0.88454	0.66948	0.13993	0.033301	0.71585	0.46372	0.0821	0.037597	0.040236	0.042983	0.83714	0.89878	0.12648	0.054398	0.32567	0.091195	0.42556	0.31164	0.6451	0.65826	0.27985	0.12771
Meth__cg02121427__LRRC15	0.17036	0.058151	0.62453	0.32408	0.072343	0.51388	0.66406	0.23917	0.29768	0.72387	0.25263	0.11307	0.31442	0.65481	0.13715	0.040348	0.24688	0.50145	0.8732	0.69201	0.24183	0.67445	0.10749	0.064115	0.17112	0.068451	0.13669	0.53201	0.20882	0.16868
Meth__cg04384208__FCGR3A	0.27601	0.036336	0.42684	0.59134	0.067887	0.12286	0.82673	0.10369	0.56283	0.61132	0.40708	0.018803	0.30093	0.61151	0.10917	0.028824	0.1094	0.15634	0.80165	0.9432	0.11288	0.12275	0.071902	0.082844	0.17264	0.049561	0.057503	0.42296	0.30001	0.31545
Meth__cg18133966__PLA2G1B	0.22643	0.078243	0.55288	0.1421	0.20905	0.2758	0.75746	0.11274	0.23434	0.72662	0.7294	0.052111	0.30172	0.7764	0.1027	0.058444	0.22362	0.32263	0.82362	0.73512	0.14572	0.16981	0.23951	0.2193	0.8165	0.26667	0.18668	0.4214	0.16278	0.11995
RS_G1328__ADD2__ADD2	0.20263	0.2254	0.4463	0.25086	0	0.13381	6.7679	4.9889	4.1361	7.516	0.33157	0	6.6719	5.0306	0.81879	0.28117	1.5899	0.13083	1.1201	3.7528	6.9199	4.0692	0.42801	0	4.463	6.2682	0.073313	0.089001	0.18417	0
Meth__cg02417264__RAMP3	0.1142	0.035357	0.8121	0.28958	0.91036	0.3484	0.90897	0.033947	0.90694	0.77753	0.58187	0.022997	0.54688	0.60458	0.053509	0.018621	0.55863	0.35309	0.65164	0.58327	0.40341	0.32347	0.57302	0.038934	0.068299	0.060113	0.045681	0.087338	0.14793	0.069913
Meth__cg13676215__AHR	0.061177	0.029325	0.13172	0.07064	0.04924	0.1732	0.10947	0.062758	0.088562	0.11166	0.089719	0.035959	0.066714	0.078289	0.061636	0.048017	0.055473	0.073671	0.21883	0.11137	0.10571	0.081769	0.089414	0.051548	0.062852	0.45087	0.06815	0.0585	0.065727	0.049481
Meth__cg21602160__AOC3	0.11882	0.10507	0.52162	0.085511	0.34316	0.16892	0.82081	0.18767	0.29037	0.78503	0.27364	0.12308	0.20615	0.44181	0.16472	0.073569	0.12156	0.14726	0.69782	0.21367	0.32335	0.31855	0.24326	0.10149	0.12325	0.28906	0.14666	0.14286	0.11211	0.092162
Meth__cg16547341__USP29	0.69011	0.027226	0.66149	0.34327	0.79112	0.8526	0.90671	0.047901	0.9171	0.83506	0.13375	0.056746	0.80924	0.82524	0.11608	0.024121	0.47502	0.15716	0.71528	0.3767	0.17152	0.17226	0.65585	0.085125	0.091701	0.10762	0.6856	0.4566	0.035877	0.052392
RS_G9624__KCTD14__KCTD14	1.3345	0	1.3939	0.15538	1.2875	0	1.4303	0.39689	4.2721	4.9359	1.9413	0.53673	6.991	6.1103	3.674	4.8691	0.92268	1.2413	6.1017	6.5793	8.2157	0.66947	0	0	1.3039	0	2.9725	0	0	0.41275
Meth__cg19937039__SERPINA10	0.64774	0.042989	0.78556	0.46636	0.098803	0.4085	0.93283	0.14964	0.53551	0.44723	0.56938	0.060902	0.36016	0.87777	0.12491	0.15	0.22955	0.20259	0.92133	0.73609	0.11139	0.21542	0.10148	0.08529	0.72054	0.066276	0.33286	0.67268	0.21574	0.14878
