Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	1	1
Meth__cg24364574__PREX1	0.12318	0.097304	0.74654	0.095746	0.60984	0.15835	0.64209	0.092831	0.12227	0.79751	0.66963	0.65158	0.13384	0.66788	0.70847	0.15872	0.546	0.069166	0.12186	0.21781	0.71055	0.15715	0.19649	0.27523	0.14049	0.14124	0.25167	0.80915	0.46806	0.60139	0.099181	0.14508	0.12998	0.10377	0.129
Meth__cg25340403__LYPD3	0.041991	0.035241	0.36761	0.052266	0.83676	0.058992	0.47752	0.062234	0.15438	0.42546	0.079824	0.18769	0.056727	0.30018	0.66495	0.076535	0.83915	0.03933	0.037908	0.80747	0.7884	0.036387	0.3407	0.26306	0.040486	0.82379	0.028007	0.51634	0.2241	0.16982	0.02642	0.0736	0.040626	0.040225	0.044181
Meth__cg13066963__ESPN	0.27401	0.11409	0.93723	0.059191	0.92307	0.88171	0.87689	0.04761	0.81051	0.9164	0.92632	0.88616	0.076448	0.93966	0.51989	0.25144	0.46764	0.892	0.15161	0.92585	0.85341	0.51579	0.11137	0.089624	0.32096	0.59255	0.04236	0.89619	0.36517	0.59465	0.044711	0.061713	0.042406	0.041968	0.033587
Meth__cg23959705__TNFRSF9	0.35644	0.047179	0.68785	0.1543	0.41475	0.43216	0.88149	0.077386	0.058521	0.35927	0.3587	0.67194	0.10815	0.57717	0.36834	0.4272	0.37949	0.078637	0.056394	0.72536	0.75743	0.20503	0.066693	0.13681	0.067751	0.052542	0.12705	0.81645	0.46437	0.15639	0.46729	0.067994	0.046414	0.12232	0.25811
Meth__cg05790038__TRPV3	0.04229	0.04342	0.85282	0.69794	0.88919	0.048001	0.39288	0.027054	0.54063	0.92721	0.038285	0.83	0.33545	0.6689	0.92306	0.11912	0.66583	0.1623	0.48809	0.89785	0.88273	0.33063	0.39126	0.83425	0.096214	0.46792	0.70298	0.64111	0.771	0.52504	0.033315	0.14625	0.045041	0.83354	0.81264
Meth__cg03258472__CRB3	0.079784	0.11564	0.49767	0.46442	0.89658	0.16443	0.12442	0.11025	0.086542	0.68613	0.44686	0.54194	0.11977	0.3015	0.61983	0.27618	0.58603	0.31853	0.23197	0.89445	0.86654	0.19307	0.18168	0.41737	0.13792	0.10496	0.078814	0.87862	0.22324	0.12707	0.11371	0.095326	0.08574	0.086335	0.10793
Meth__cg25856383__CYP1B1	0.043667	0.055952	0.077622	0.18089	0.11588	0.058447	0.62796	0.047986	0.053672	0.95573	0.035521	0.093662	0.10235	0.7037	0.045805	0.054811	0.62795	0.036447	0.042638	0.13662	0.087203	0.043704	0.056588	0.67139	0.051383	0.040163	0.040666	0.96305	0.69784	0.046749	0.041711	0.16339	0.056992	0.04535	0.052221
Meth__cg05801648__SYK	0.10544	0.10226	0.11106	0.10691	0.87487	0.14196	0.27619	0.09733	0.13999	0.60114	0.1091	0.1224	0.094785	0.079635	0.49815	0.13585	0.12478	0.076791	0.092559	0.17893	0.73364	0.11477	0.36228	0.79153	0.15902	0.12082	0.081052	0.71146	0.67569	0.10809	0.094701	0.15053	0.11089	0.093039	0.091988
Meth__cg18410627__RALGPS1	0.044384	0.040468	0.68824	0.11141	0.6268	0.054664	0.10614	0.037543	0.30614	0.91004	0.054851	0.28911	0.14502	0.057145	0.17508	0.11624	0.27978	0.055149	0.049242	0.40237	0.84972	0.09198	0.087262	0.057172	0.060245	0.06035	0.039773	0.45457	0.067383	0.057516	0.049809	0.064841	0.057011	0.052145	0.083803
