Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Response	-1	1	1	-1	-1	1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1
Meth__cg18108623__FLJ34922	0.52587	0.047571	0.51125	0.91194	0.44684	0.040587	0.87042	0.44943	0.048214	0.83359	0.19178	0.21032	0.60872	0.053182	0.77523	0.041857	0.13461	0.73477	0.89752	0.73239	0.38979	0.36355	0.87113	0.57632	0.74308	0.84745	0.10458	0.53508	0.45835	0.04187	0.88908	0.11569	0.55394	0.40836	0.062218	0.2376
Meth__cg06627364__MGC4677	0.042537	0.039036	0.037544	0.45822	0.36546	0.041134	0.15632	0.030711	0.039331	0.049287	0.04623	0.040006	0.089862	0.03941	0.048011	0.036473	0.059359	0.029481	0.045604	0.60303	0.040337	0.035216	0.065539	0.048069	0.062225	0.098536	0.059527	0.041846	0.033956	0.041188	0.041446	0.040266	0.036632	0.1218	0.050689	0.048356
Meth__cg06437004__LDHB	0.71664	0.046459	0.91188	0.58354	0.4522	0.045803	0.9131	0.037061	0.031974	0.057247	0.047387	0.06485	0.56611	0.047277	0.42439	0.038202	0.070586	0.030881	0.89914	0.92063	0.051113	0.090638	0.061648	0.058185	0.13333	0.86239	0.1302	0.033337	0.044269	0.037619	0.92681	0.057227	0.03705	0.48461	0.041992	0.71358
Meth__cg21048501__MRPS24	0.037841	0.020228	0.023117	0.045037	0.021997	0.035122	0.062611	0.030979	0.027727	0.051528	0.018031	0.035859	0.034456	0.020587	0.03624	0.027736	0.060623	0.027699	0.068072	0.074708	0.029925	0.029198	0.047257	0.041446	0.051894	0.49254	0.033426	0.031442	0.039283	0.03151	0.042302	0.032818	0.044146	0.063532	0.026612	0.028105
Meth__cg01995513__MPP6	0.042417	0.0299	0.036328	0.11081	0.037806	0.040811	0.45762	0.026705	0.030754	0.043496	0.031629	0.031111	0.06709	0.034888	0.036293	0.028021	0.066688	0.0267	0.034045	0.19874	0.037974	0.029693	0.096914	0.043483	0.056764	0.069069	0.065501	0.047444	0.025303	0.027001	0.041745	0.032956	0.035463	0.087966	0.050644	0.040024
Meth__cg01172972__ZFYVE9	0.063081	0.056467	0.065063	0.064455	0.11676	0.055317	0.086796	0.043454	0.06365	0.05891	0.062503	0.0646	0.090082	0.064294	0.068275	0.058233	0.075918	0.066444	0.055837	0.14	0.052935	0.082846	0.12304	0.071385	0.085991	0.19949	0.1049	0.055663	0.35336	0.059643	0.36825	0.13852	0.054095	0.33475	0.059851	0.066836
Meth__cg19843429__OSBPL3	0.045508	0.034982	0.037428	0.49253	0.040724	0.032161	0.5657	0.033012	0.028611	0.051974	0.04058	0.019838	0.21767	0.039519	0.033226	0.034016	0.18982	0.029494	0.95319	0.076406	0.03933	0.033716	0.07351	0.044205	0.056436	0.075967	0.068426	0.035642	0.026856	0.024848	0.036571	0.031691	0.026505	0.084487	0.039532	0.036396
Meth__cg02583151__SIX1	0.60591	0.082594	0.10257	0.071161	0.074756	0.069215	0.57347	0.090384	0.071556	0.073474	0.062753	0.047101	0.12648	0.066719	0.068041	0.070348	0.10598	0.059013	0.58103	0.59538	0.069289	0.068888	0.074162	0.072443	0.40809	0.11319	0.10839	0.070275	0.076424	0.060622	0.063249	0.071009	0.064252	0.56042	0.065309	0.069648
Meth__cg10007262__RELN	0.91649	0.016704	0.63526	0.8761	0.31421	0.11385	0.61988	0.10922	0.066135	0.50801	0.70839	0.065965	0.8831	0.037131	0.72974	0.037615	0.030388	0.032552	0.50044	0.52682	0.22647	0.17232	0.93093	0.2739	0.033414	0.90204	0.043775	0.53332	0.70588	0.394	0.9358	0.023764	0.70846	0.15793	0.38101	0.51495
