Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1	-1	1	1	1	-1	1	1	1	1	-1	1
Meth__cg06226384__CACNG5	0.082869	0.025691	0.36747	0.09534	0.056227	0.11916	0.05625	0.25292	0.049696	0.033985	0.097543	0.080853	0.092099	0.021404	0.052564	0.040031	0.029412	0.083991	0.043695	0.094988	0.10897	0.085191	0.033359	0.65839	0.078658	0.024166	0.071096	0.050638	0.035377	0.050896	0.047782	0.018715	0.03811	0.094811	0.048468	0.055541	0.05024	0.038335	0.073298	0.03692
Meth__cg18108623__FLJ34922	0.52587	0.047571	0.91194	0.44684	0.040587	0.87042	0.039832	0.44943	0.048214	0.83359	0.19178	0.21032	0.60872	0.089523	0.053182	0.77523	0.041857	0.13461	0.73477	0.92731	0.89752	0.73239	0.38979	0.36355	0.87113	0.57632	0.74308	0.043148	0.84745	0.074711	0.10458	0.53508	0.04187	0.88908	0.55394	0.40836	0.062218	0.2376	0.78113	0.10762
Meth__cg12179176__SNX19	0.096818	0.054613	0.096431	0.075523	0.072327	0.1406	0.48423	0.14184	0.099003	0.063278	0.93546	0.09707	0.91772	0.09206	0.072684	0.042515	0.080249	0.22737	0.079936	0.13368	0.14642	0.14456	0.050006	0.084084	0.19905	0.071961	0.22354	0.045135	0.14899	0.0894	0.08864	0.066254	0.065734	0.1347	0.052708	0.078225	0.061625	0.12136	0.53684	0.095173
Meth__cg01911082__CSMD3	0.14959	0.012962	0.20964	0.021941	0.096183	0.7801	0.081878	0.7405	0.02236	0.030032	0.17742	0.52549	0.34704	0.1276	0.03002	0.31183	0.055433	0.053961	0.017936	0.057812	0.56524	0.62828	0.045229	0.23306	0.89605	0.032069	0.076469	0.02622	0.75204	0.39564	0.027266	0.024689	0.041607	0.52622	0.068251	0.017906	0.15682	0.050972	0.47711	0.021657
Meth__cg10503234__FSTL3	0.49831	0.056063	0.12219	0.047336	0.060171	0.36449	0.031683	0.1405	0.11751	0.066986	0.29463	0.11064	0.21231	0.094075	0.17798	0.64085	0.038553	0.11079	0.21716	0.23655	0.059518	0.10484	0.033763	0.70687	0.090671	0.37375	0.51244	0.03511	0.62921	0.51817	0.1769	0.080027	0.041754	0.23906	0.40794	0.062108	0.058838	0.072348	0.16901	0.043844
Meth__cg26829529__SPACA3	0.29623	0.05739	0.65482	0.54367	0.041314	0.094031	0.087275	0.27477	0.15423	0.069102	0.20691	0.061576	0.17757	0.060478	0.11262	0.13883	0.083132	0.1116	0.083789	0.23704	0.26751	0.82232	0.04472	0.8268	0.083516	0.049004	0.056736	0.10035	0.06385	0.062257	0.17021	0.05492	0.040196	0.40026	0.030528	0.076068	0.25067	0.0608	0.11409	0.064492
Meth__cg08896053__SNTG1	0.64157	0.038702	0.81728	0.18316	0.42803	0.86221	0.20993	0.67814	0.15686	0.27086	0.85722	0.5118	0.43229	0.43253	0.15054	0.63152	0.49782	0.10593	0.039733	0.55152	0.80704	0.65655	0.090134	0.55273	0.49023	0.056556	0.086574	0.1447	0.46458	0.053016	0.053245	0.06062	0.076758	0.77046	0.66211	0.11173	0.073924	0.13104	0.61557	0.15588
Meth__cg14894216__CATSPER1	0.22781	0.10667	0.76334	0.42162	0.095629	0.31169	0.16354	0.47553	0.12248	0.14807	0.28099	0.53892	0.44097	0.092901	0.1176	0.55625	0.10633	0.23094	0.11407	0.5594	0.23439	0.36617	0.14918	0.80384	0.83939	0.11046	0.10566	0.079673	0.13832	0.20462	0.15314	0.11629	0.11648	0.16649	0.22973	0.13015	0.14059	0.09937	0.16053	0.10644
Meth__cg08703971__SGPP1	0.074268	0.07138	0.12037	0.23905	0.070086	0.31717	0.050317	0.13038	0.51637	0.060039	0.34682	0.045544	0.082836	0.27307	0.07576	0.059839	0.06734	0.35315	0.050816	0.073322	0.20403	0.3078	0.080941	0.7345	0.211	0.069052	0.12991	0.054095	0.83112	0.080864	0.073685	0.057165	0.057665	0.11213	0.060591	0.15482	0.079474	0.057467	0.436	0.066849
Meth__cg09754413__RNF182	0.52061	0.078875	0.38098	0.13669	0.043119	0.81428	0.12016	0.10896	0.16347	0.13314	0.54797	0.14382	0.64177	0.47783	0.14404	0.34766	0.052158	0.11597	0.42179	0.70165	0.70021	0.87644	0.22684	0.75151	0.3453	0.2409	0.43985	0.19586	0.66826	0.49144	0.17378	0.05675	0.53729	0.54945	0.8306	0.33042	0.083261	0.27329	0.46513	0.20727
Meth__cg16431978__KRTAP13-3	0.91546	0.11336	0.8727	0.56309	0.1856	0.65723	0.080421	0.96686	0.91576	0.1252	0.78814	0.15811	0.14538	0.31256	0.76757	0.4421	0.12492	0.17376	0.1301	0.16782	0.12839	0.20757	0.13594	0.67848	0.11816	0.12601	0.20477	0.2414	0.14899	0.12889	0.11274	0.12642	0.12696	0.92747	0.092801	0.099415	0.11294	0.29879	0.19417	0.41199
Meth__cg04126816__HSU79303	0.041265	0.029121	0.55315	0.024868	0.027608	0.032245	0.0629	0.38252	0.46265	0.060656	0.48348	0.13744	0.40557	0.41178	0.48303	0.03902	0.031073	0.26619	0.021947	0.94172	0.39318	0.03727	0.036696	0.029965	0.17229	0.034635	0.075489	0.03763	0.055696	0.91024	0.071499	0.029124	0.028672	0.042107	0.027899	0.13611	0.0641	0.035097	0.25689	0.036831
Meth__cg26024843__COL5A1	0.50198	0.041928	0.21124	0.030332	0.032153	0.63292	0.040864	0.60689	0.15545	0.044412	0.40433	0.04609	0.066657	0.172	0.15004	0.046858	0.052078	0.075456	0.023702	0.21776	0.17229	0.16464	0.045199	0.15244	0.12891	0.065176	0.081361	0.031588	0.86843	0.67229	0.077273	0.08904	0.022698	0.052522	0.29435	0.040088	0.068176	0.055375	0.59003	0.076412
Meth__cg21016177__EXOC7	0.08582	0.020781	0.068543	0.061949	0.033705	0.030807	0.13175	0.36	0.08663	0.045847	0.084942	0.091741	0.13357	0.2243	0.080245	0.079414	0.053404	0.054516	0.036827	0.075561	0.071941	0.11503	0.080346	0.11636	0.24862	0.08998	0.040462	0.029213	0.091774	0.10466	0.03161	0.02057	0.033198	0.10681	0.026083	0.038315	0.044891	0.022699	0.13679	0.025736
Meth__cg25421647__UBE2L3	0.95923	0.75787	0.81081	0.85038	0.35562	0.94125	0.30727	0.52885	0.044004	0.94167	0.77196	0.37077	0.46985	0.74088	0.052819	0.087789	0.054707	0.092235	0.49996	0.9557	0.9061	0.58185	0.038977	0.73624	0.56619	0.12315	0.22728	0.079079	0.1843	0.60317	0.53989	0.031005	0.058922	0.14737	0.04905	0.078067	0.11481	0.54005	0.15117	0.46352
Meth__cg23376526__SLC27A3	0.054231	0.05058	0.038909	0.098742	0.33827	0.043413	0.67092	0.067033	0.030781	0.059981	0.040475	0.048248	0.12735	0.033564	0.041749	0.034536	0.049692	0.094871	0.038149	0.028147	0.040238	0.042707	0.50542	0.031158	0.57125	0.044921	0.089237	0.058074	0.076196	0.039694	0.084047	0.38649	0.10093	0.024943	0.073585	0.86988	0.048168	0.040417	0.072971	0.050748
Meth__cg10539418__CCND1	0.047567	0.038241	0.048565	0.031912	0.041725	0.041545	0.028999	0.15595	0.043834	0.034213	0.4125	0.028863	0.093065	0.2585	0.04487	0.067417	0.035272	0.096155	0.025283	0.035901	0.055669	0.1442	0.04093	0.09173	0.057379	0.041964	0.084836	0.039424	0.0859	0.040574	0.095085	0.028953	0.033799	0.036165	0.024718	0.060318	0.037562	0.046423	0.10022	0.04329
Meth__cg24240626__REG3A	0.54501	0.11021	0.6327	0.094627	0.11195	0.29053	0.17241	0.082653	0.61025	0.15416	0.30719	0.13133	0.1205	0.20923	0.44323	0.12567	0.089424	0.23463	0.15432	0.13777	0.15522	0.13664	0.098721	0.13421	0.17277	0.1312	0.25856	0.092129	0.16123	0.1328	0.17876	0.097488	0.12921	0.62382	0.094775	0.1449	0.13929	0.11816	0.14044	0.14025
Meth__cg12774845__ENTPD5	0.073584	0.093878	0.37383	0.083531	0.071705	0.085399	0.057232	0.19097	0.59792	0.077959	0.11813	0.64705	0.50261	0.049026	0.49588	0.14207	0.066692	0.12388	0.093253	0.21126	0.1774	0.080302	0.065293	0.14514	0.40326	0.10555	0.11397	0.081367	0.14365	0.52972	0.1073	0.054981	0.063692	0.71834	0.08533	0.083947	0.057727	0.07003	0.24759	0.08401
Meth__cg11272332__ZDHHC15	0.47773	0.035567	0.86806	0.059262	0.047065	0.94566	0.023315	0.97323	0.40144	0.19834	0.84716	0.14153	0.91414	0.64686	0.33246	0.44716	0.35775	0.08317	0.031767	0.91234	0.71781	0.46537	0.1025	0.44844	0.71055	0.22904	0.22909	0.51768	0.84791	0.39865	0.26479	0.038254	0.085333	0.2734	0.6551	0.16672	0.51373	0.14852	0.45074	0.63717
Meth__cg07031996__MTF1	0.73507	0.039499	0.44024	0.10082	0.047448	0.2619	0.070753	0.23157	0.20246	0.18537	0.14455	0.157	0.097303	0.049571	0.20813	0.062423	0.023207	0.085354	0.10585	0.084842	0.056903	0.12121	0.062582	0.90034	0.37892	0.15474	0.048267	0.049564	0.29812	0.12376	0.06485	0.02577	0.042664	0.4267	0.1262	0.056683	0.050524	0.15297	0.91393	0.067504
Meth__cg00818693__TTC14	0.046846	0.050201	0.69562	0.036749	0.042307	0.40868	0.035355	0.12799	0.040366	0.044588	0.18129	0.036825	0.069172	0.7951	0.048675	0.038849	0.038516	0.13669	0.042606	0.29496	0.21431	0.43952	0.040718	0.041879	0.18086	0.049398	0.054295	0.039659	0.093109	0.041972	0.061155	0.044491	0.05244	0.036759	0.037691	0.063503	0.044973	0.036773	0.086393	0.042388
Meth__cg19014419__ZNF300	0.78786	0.039416	0.80162	0.067482	0.54816	0.77346	0.60467	0.9059	0.14125	0.053982	0.78237	0.049421	0.58344	0.29504	0.2468	0.78632	0.11585	0.10355	0.098017	0.53006	0.39746	0.4301	0.085439	0.50601	0.39246	0.042779	0.082526	0.063405	0.43912	0.081216	0.082966	0.078357	0.23344	0.38869	0.3488	0.080337	0.67758	0.3923	0.56538	0.054075
Meth__cg09867835__GLP1R	0.15352	0.10312	0.86711	0.63697	0.13408	0.65337	0.054279	0.19233	0.11382	0.82283	0.72702	0.35199	0.60813	0.098182	0.13977	0.40053	0.09669	0.12185	0.085549	0.54435	0.36926	0.67857	0.1114	0.4987	0.21352	0.45995	0.14169	0.13739	0.08486	0.36847	0.095833	0.10138	0.090277	0.72046	0.46237	0.171	0.44269	0.12394	0.63834	0.2224
Meth__cg06500079__VPS53	0.031442	0.057703	0.48168	0.47038	0.088527	0.091878	0.21466	0.046929	0.60124	0.07364	0.039629	0.068432	0.17182	0.36293	0.57875	0.27578	0.046264	0.22415	0.91212	0.061822	0.040534	0.1075	0.034641	0.74118	0.90154	0.049038	0.10541	0.028787	0.082471	0.66185	0.087553	0.029114	0.067381	0.74259	0.027237	0.073146	0.073525	0.050328	0.69803	0.039414
Meth__cg14008119__MGC16028	0.044214	0.041645	0.075579	0.059908	0.040601	0.055878	0.033411	0.095429	0.058763	0.070629	0.049941	0.12598	0.089231	0.02516	0.05171	0.04577	0.036793	0.10085	0.037531	0.055745	0.23037	0.069223	0.047503	0.050794	0.12386	0.052011	0.098772	0.043906	0.084074	0.044459	0.054819	0.035634	0.03574	0.72437	0.037953	0.050225	0.043234	0.044346	0.12558	0.06013
Meth__cg03922337__RRAS2	0.34336	0.064436	0.43942	0.6309	0.071619	0.53337	0.049967	0.79527	0.060353	0.69102	0.09781	0.068058	0.18893	0.36122	0.072051	0.10142	0.054537	0.1281	0.041866	0.29579	0.46357	0.94851	0.051511	0.73957	0.094221	0.10195	0.4358	0.080094	0.83198	0.088422	0.31526	0.068137	0.32831	0.23189	0.14639	0.055029	0.050125	0.20552	0.59212	0.096798
Meth__cg00828602__WNT5A	0.070454	0.062573	0.22455	0.095627	0.16773	0.097	0.099114	0.16989	0.086671	0.10079	0.15365	0.069598	0.20235	0.11975	0.12104	0.29112	0.078195	0.097623	0.058729	0.11024	0.14772	0.19158	0.09727	0.092821	0.1483	0.068354	0.17479	0.074499	0.13837	0.15936	0.13583	0.055947	0.082193	0.22167	0.89483	0.14621	0.081666	0.059196	0.16143	0.085327
Meth__cg20715764__ZNF264	0.032799	0.034507	0.26768	0.095448	0.029063	0.041498	0.052632	0.42917	0.047067	0.17426	0.036417	0.040014	0.58111	0.64523	0.060276	0.056748	0.024742	0.12549	0.031858	0.94922	0.40975	0.065027	0.039973	0.040839	0.46633	0.043527	0.13864	0.028028	0.33415	0.4231	0.066951	0.035737	0.034122	0.068	0.025049	0.13044	0.38676	0.047175	0.11476	0.049826
Meth__cg17285325__ECGF1	0.090872	0.0359	0.80506	0.070178	0.94767	0.20092	0.91467	0.064642	0.058333	0.88954	0.35669	0.83839	0.19621	0.93456	0.057912	0.94795	0.15067	0.088726	0.72823	0.96581	0.94062	0.077577	0.18352	0.24259	0.91781	0.86329	0.089991	0.056828	0.069192	0.9456	0.097944	0.062785	0.048651	0.27217	0.033006	0.10741	0.058711	0.0654	0.32157	0.062718
Meth__cg07623294__ELAVL2	0.76984	0.023497	0.76691	0.06047	0.029583	0.75205	0.039894	0.39253	0.35184	0.42244	0.22432	0.57208	0.052815	0.013979	0.30141	0.032964	0.4	0.17369	0.071794	0.060714	0.22229	0.92579	0.029475	0.13336	0.357	0.0619	0.072806	0.036255	0.12652	0.15892	0.058166	0.26569	0.031016	0.039129	0.064694	0.079397	0.055391	0.031217	0.63421	0.022426
Meth__cg25766046__ROR2	0.072241	0.067673	0.58464	0.059433	0.9783	0.56496	0.066035	0.078498	0.62785	0.088808	0.69946	0.061912	0.66671	0.59906	0.60339	0.064875	0.08094	0.17866	0.10204	0.82514	0.58312	0.45415	0.058291	0.41851	0.94328	0.046652	0.047198	0.12832	0.060775	0.52059	0.25959	0.37691	0.10256	0.029614	0.02841	0.04379	0.046673	0.040112	0.088389	0.044992
