Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR7530
Response	1	1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	1	-1	-1	1	1	1
Meth__cg08223748__MEF2C	0.020413	0.021038	0.018136	0.02196	0.015775	0.63461	0.017904	0.033485	0.017955	0.015339	0.020013	0.070811	0.038723	0.012863	0.018051	0.019276	0.017514	0.030938	0.016278	0.018113	0.016383	0.14297	0.019616	0.021241	0.052219	0.025277	0.02237	0.048579	0.033162	0.030787	0.083186	0.014734	0.017512	0.050449	0.024083	0.058359
Meth__cg19796273__MYO10	0.028522	0.020011	0.029327	0.020648	0.026965	0.048172	0.026838	0.41185	0.027299	0.026708	0.022653	0.0088093	0.026747	0.015457	0.022743	0.018125	0.02742	0.038022	0.010897	0.022112	0.021587	0.050033	0.023189	0.027229	0.042505	0.023903	0.024122	0.047151	0.035975	0.058058	0.02335	0.02011	0.018905	0.02927	0.02826	0.04415
Meth__cg04632671__PPARG	0.053957	0.46333	0.038643	0.30074	0.87731	0.067324	0.20212	0.96976	0.043408	0.53605	0.97173	0.11437	0.96495	0.95876	0.10373	0.84801	0.040572	0.10636	0.12398	0.76883	0.5608	0.091585	0.029716	0.02681	0.063223	0.052323	0.12436	0.93406	0.074031	0.035982	0.61301	0.98053	0.97907	0.21965	0.55908	0.15525
Meth__cg14321399__RRAGB	0.32379	0.021747	0.047886	0.030318	0.025163	0.027578	0.0325	0.052579	0.069163	0.032531	0.032696	0.25217	0.085208	0.19819	0.049394	0.034971	0.25833	0.041618	0.023207	0.019169	0.034905	0.29233	0.073654	0.29252	0.10481	0.15691	0.033631	0.24159	0.18986	0.056638	0.019622	0.032047	0.026866	0.050233	0.26215	0.18726
Meth__cg25162921__MTAP	0.29488	0.60712	0.15377	0.58068	0.11256	0.92543	0.83463	0.12177	0.27077	0.12107	0.089474	0.29429	0.13342	0.053906	0.2662	0.11989	0.10348	0.10605	0.12246	0.08592	0.11713	0.13758	0.21272	0.1328	0.66735	0.36454	0.23847	0.27156	0.20033	0.60137	0.69033	0.11617	0.098776	0.32122	0.16994	0.27839
Meth__cg21978299__MCTS1	0.11155	0.018232	0.027008	0.038894	0.019577	0.017234	0.026936	0.11623	0.17519	0.019368	0.024198	0.16883	0.032049	0.0268	0.14943	0.046279	0.32144	0.065073	0.034655	0.023453	0.021593	0.27099	0.045662	0.22108	0.050211	0.052495	0.074215	0.19769	0.031181	0.097192	0.076589	0.043025	0.029038	0.078505	0.37155	0.30505
Meth__cg23989635__CDH1	0.050655	0.64228	0.09478	0.063581	0.035018	0.96862	0.048779	0.0549	0.040911	0.045953	0.050443	0.093967	0.077402	0.03149	0.039968	0.045505	0.10406	0.076948	0.66219	0.038011	0.068377	0.056241	0.10807	0.049387	0.94931	0.055096	0.045754	0.066226	0.41594	0.049494	0.12654	0.028337	0.032951	0.052377	0.047912	0.11246
Meth__cg09144422__DUS2L	0.041163	0.040165	0.46217	0.088265	0.093886	0.66293	0.053194	0.061174	0.029504	0.036742	0.041366	0.2772	0.24494	0.023674	0.039296	0.10558	0.19998	0.055375	0.025435	0.052142	0.050994	0.062367	0.10836	0.26007	0.92317	0.20524	0.073925	0.29033	0.073654	0.033723	0.56585	0.036704	0.029401	0.18212	0.42047	0.072041
Meth__cg04967538__CXorf42	0.48812	0.039703	0.035261	0.05402	0.035018	0.38563	0.05507	0.49988	0.4299	0.03621	0.033622	0.058288	0.034483	0.052419	0.38697	0.27452	0.47479	0.064237	0.045986	0.047678	0.03314	0.50586	0.041016	0.44988	0.082932	0.044671	0.10233	0.33749	0.087356	0.4896	0.1115	0.063054	0.18861	0.12267	0.57904	0.48196
Meth__cg25658980__FLJ20643	0.016253	0.016244	0.018013	0.017938	0.019758	0.022783	0.01977	0.029243	0.016449	0.017014	0.015821	0.020728	0.02284	0.015434	0.015278	0.017102	0.97185	0.042571	0.015821	0.018366	0.016133	0.02121	0.025076	0.019131	0.038108	0.021952	0.024783	0.022036	0.038854	0.019083	0.033273	0.012992	0.014022	0.028137	0.019359	0.026326
Meth__cg13658777__PDHA1	0.54705	0.061812	0.11545	0.072585	0.078825	0.070779	0.12195	0.15146	0.10421	0.092339	0.096065	0.50459	0.41875	0.073493	0.10838	0.062749	0.11196	0.46036	0.056318	0.069168	0.075484	0.55114	0.23708	0.52632	0.13359	0.43502	0.12114	0.40845	0.12583	0.59579	0.35058	0.4519	0.12834	0.20898	0.45468	0.55538
Meth__cg15055101__SH2D3A	0.052624	0.03237	0.052175	0.053912	0.060818	0.93679	0.051684	0.60411	0.044447	0.077592	0.045032	0.051737	0.090166	0.02596	0.0451	0.026803	0.89085	0.13701	0.040112	0.040848	0.066175	0.30832	0.6316	0.043432	0.16622	0.28723	0.075676	0.079925	0.052512	0.35371	0.080415	0.045821	0.037844	0.13673	0.069947	0.10775
Meth__cg03776060__C9orf58	0.045382	0.046378	0.081998	0.036514	0.030119	0.92404	0.039937	0.058698	0.027848	0.039395	0.045256	0.053511	0.11436	0.026078	0.033543	0.046413	0.35297	0.096361	0.047987	0.032177	0.040356	0.045312	0.93071	0.083584	0.66825	0.034721	0.063578	0.073022	0.07968	0.43677	0.78437	0.030565	0.033722	0.044254	0.040982	0.042129
Meth__cg20716119__CDH1	0.027922	0.52657	0.028157	0.021743	0.015933	0.88821	0.014987	0.024625	0.018791	0.016519	0.024481	0.028966	0.039747	0.029016	0.018619	0.018973	0.036232	0.037963	0.52687	0.014447	0.015382	0.019029	0.83611	0.021477	0.87884	0.020372	0.023849	0.031953	0.41542	0.07233	0.67666	0.018107	0.012799	0.02966	0.021808	0.02102
Meth__cg14815778__FAM58A	0.55547	0.12849	0.11162	0.17595	0.32818	0.053231	0.13161	0.44642	0.081069	0.088119	0.077679	0.17989	0.17606	0.050347	0.094142	0.4046	0.42245	0.20253	0.1245	0.062544	0.082559	0.59113	0.63166	0.50748	0.33761	0.11507	0.37869	0.429	0.27403	0.49058	0.26358	0.086189	0.18268	0.29109	0.60706	0.58941
Meth__cg01257202__DKC1	0.45424	0.037193	0.045877	0.053792	0.035296	0.026485	0.040562	0.43915	0.029858	0.035977	0.055587	0.10068	0.056974	0.030499	0.030112	0.064185	0.27932	0.071627	0.040779	0.033702	0.042424	0.42945	0.04732	0.41684	0.069275	0.04115	0.06498	0.13476	0.055556	0.077365	0.081282	0.024129	0.08262	0.13061	0.55918	0.55975
Meth__cg07874284__PRPS2	0.56704	0.058171	0.096824	0.083776	0.063553	0.54753	0.06352	0.14557	0.071486	0.46173	0.068334	0.80647	0.45297	0.10126	0.0745	0.052893	0.081518	0.24289	0.18409	0.064343	0.078326	0.53809	0.096071	0.53872	0.62838	0.17462	0.14603	0.40632	0.23096	0.54082	0.30303	0.3388	0.048111	0.13899	0.39743	0.4858
Meth__cg09523691__ATG12	0.27886	0.15578	0.35307	0.1304	0.12183	0.12201	0.1134	0.44717	0.68214	0.10393	0.09775	0.18727	0.13574	0.10372	0.54204	0.26157	0.11843	0.14187	0.13793	0.13787	0.11237	0.88392	0.18179	0.40971	0.41517	0.13608	0.17278	0.14755	0.10794	0.23025	0.11513	0.088366	0.070901	0.15869	0.31802	0.1631
Meth__cg16343842__CD99L2	0.33157	0.026278	0.032409	0.043705	0.039023	0.023003	0.031551	0.45432	0.02799	0.024838	0.028392	0.040986	0.052795	0.015663	0.025732	0.048974	0.038043	0.046961	0.041792	0.024623	0.026482	0.41682	0.10645	0.4926	0.04146	0.03159	0.12632	0.16531	0.054955	0.29526	0.041768	0.021443	0.025548	0.13239	0.61713	0.66976
Meth__cg17272491__GOLGA3	0.046046	0.044157	0.35611	0.048372	0.036037	0.24119	0.045919	0.072975	0.038726	0.037808	0.03749	0.062243	0.12204	0.029584	0.047887	0.043992	0.058011	0.07613	0.026033	0.033494	0.040271	0.081658	0.043743	0.053162	0.096435	0.048096	0.076754	0.071243	0.060622	0.034355	0.050994	0.038382	0.034024	0.080704	0.042291	0.082355
Meth__cg12894126__UCK1	0.058321	0.23699	0.25155	0.21837	0.11861	0.41864	0.13138	0.64409	0.095116	0.12067	0.083963	0.49822	0.22983	0.076791	0.11993	0.083302	0.2622	0.07764	0.41576	0.10787	0.09111	0.079206	0.47353	0.18695	0.60313	0.25692	0.066957	0.11375	0.16119	0.093897	0.20394	0.067429	0.038728	0.12491	0.14534	0.22393
Meth__cg23653008__CHFR	0.02497	0.017278	0.029296	0.020917	0.017646	0.020099	0.027033	0.027712	0.021274	0.02458	0.022342	0.022531	0.021877	0.015376	0.02179	0.02084	0.022148	0.024709	0.019663	0.021437	0.027209	0.019954	0.030892	0.024896	0.22087	0.02659	0.022059	0.036335	0.033488	0.019576	0.022837	0.019034	0.015873	0.046862	0.028754	0.051386
Meth__cg06819200__ECE1	0.014046	0.99292	0.56207	0.023483	0.9417	0.011639	0.60389	0.73821	0.017067	0.015023	0.66515	0.0090021	0.81216	0.99263	0.53289	0.98685	0.0088203	0.65938	0.010677	0.99348	0.95171	0.23148	0.69914	0.20598	0.031728	0.013363	0.018153	0.016686	0.98419	0.072896	0.010291	0.98918	0.99382	0.019895	0.01078	0.22825
Meth__cg27619475__SLC16A5	0.04498	0.54512	0.17265	0.035086	0.79958	0.96879	0.96659	0.048135	0.96306	0.97941	0.96652	0.047559	0.95251	0.821	0.95861	0.97014	0.031656	0.052387	0.83844	0.9781	0.97262	0.97699	0.55824	0.64393	0.051282	0.037066	0.046185	0.53988	0.49096	0.3765	0.90301	0.64653	0.97257	0.049278	0.035969	0.57644
Meth__cg20379125__NOV	0.042524	0.086327	0.040492	0.20156	0.10777	0.66717	0.24062	0.024862	0.032381	0.064011	0.46702	0.023445	0.12831	0.032841	0.04071	0.39376	0.03058	0.046863	0.029645	0.43887	0.97245	0.64189	0.029044	0.19239	0.048827	0.031511	0.11071	0.12265	0.11293	0.025859	0.039827	0.76548	0.95118	0.06199	0.032272	0.044945
Meth__cg19125999__C1orf172	0.074993	0.030801	0.050074	0.058096	0.044485	0.20764	0.034081	0.043977	0.074663	0.041112	0.057514	0.057778	0.061305	0.033389	0.067221	0.054933	0.39165	0.072659	0.050393	0.043712	0.058484	0.038323	0.73115	0.045817	0.71607	0.056483	0.059149	0.055103	0.088105	0.45386	0.81534	0.031176	0.044297	0.29478	0.090963	0.075051
Meth__cg07297906__GPC3	0.46587	0.018036	0.70806	0.021876	0.36748	0.83554	0.045048	0.39012	0.016014	0.44378	0.038442	0.18109	0.074132	0.11065	0.021062	0.37236	0.47858	0.15581	0.011831	0.036582	0.03419	0.57075	0.52424	0.4815	0.78891	0.024548	0.29842	0.8868	0.025499	0.6078	0.29105	0.01299	0.3695	0.028091	0.51853	0.51189
Meth__cg18233735__PDZD4	0.62689	0.04241	0.072403	0.045161	0.57045	0.7206	0.044976	0.30392	0.036628	0.036875	0.049456	0.068	0.10232	0.051759	0.038757	0.56193	0.31599	0.20308	0.48339	0.036278	0.036846	0.59147	0.60843	0.62889	0.97607	0.048914	0.57305	0.7212	0.070059	0.505	0.55199	0.041523	0.28354	0.087022	0.73746	0.67121
Meth__cg19560287__GEMIN5	0.026395	0.013415	0.23232	0.031814	0.017145	0.48946	0.027134	0.038843	0.030714	0.028883	0.024863	0.025388	0.061813	0.019188	0.022538	0.034312	0.044537	0.047754	0.014309	0.019977	0.025097	0.2124	0.077172	0.023346	0.48283	0.029586	0.027715	0.055595	0.03886	0.0732	0.037427	0.039188	0.016554	0.032234	0.024194	0.037231
Meth__cg03464416__RPL10	0.29175	0.10284	0.075823	0.13926	0.2965	0.044466	0.092711	0.77732	0.064879	0.067116	0.056461	0.187	0.12142	0.034128	0.094791	0.39406	0.66814	0.14067	0.10954	0.048007	0.066101	0.65254	0.65323	0.57267	0.17465	0.087452	0.17209	0.27435	0.081437	0.41715	0.45381	0.077563	0.13096	0.22126	0.69503	0.49786
Meth__cg08800033__CETN2	0.57626	0.09642	0.11183	0.14304	0.19934	0.044644	0.12809	0.69356	0.087507	0.097967	0.13646	0.33611	0.21063	0.059097	0.10016	0.257	0.34402	0.101	0.14213	0.083447	0.074895	0.48397	0.20339	0.38961	0.13421	0.074832	0.27354	0.27839	0.28211	0.43589	0.30448	0.10064	0.12612	0.27883	0.66982	0.32464
Meth__cg16076328__TACSTD1	0.048157	0.032155	0.054132	0.047269	0.03079	0.97575	0.044638	0.059391	0.053394	0.044347	0.16427	0.17513	0.047956	0.037936	0.040875	0.036856	0.048993	0.075729	0.24791	0.03592	0.044132	0.038281	0.98074	0.03466	0.53993	0.045314	0.044937	0.062829	0.080457	0.95715	0.69085	0.036161	0.022653	0.069187	0.04406	0.097243
Meth__cg01080862__IL13RA1	0.63108	0.041291	0.067318	0.067451	0.35671	0.040136	0.06374	0.37682	0.20329	0.061867	0.055195	0.12928	0.058288	0.029839	0.17039	0.31397	0.69882	0.30109	0.039444	0.045187	0.060622	0.65366	0.089867	0.61732	0.12826	0.06659	0.51573	0.63357	0.12348	0.6518	0.56916	0.047761	0.44259	0.17664	0.70939	0.68421
Meth__cg23495733__CPNE8	0.96102	0.66487	0.032168	0.96649	0.96414	0.87961	0.96611	0.025682	0.031934	0.96171	0.96676	0.072691	0.93718	0.97345	0.31012	0.92961	0.04976	0.076149	0.05632	0.96471	0.96172	0.96953	0.04194	0.84204	0.088321	0.96159	0.060316	0.89087	0.36192	0.033105	0.035245	0.49589	0.93378	0.81228	0.65649	0.87152
Meth__cg15568167__SAMD10	0.03503	0.084257	0.074851	0.026699	0.029157	0.96322	0.029765	0.034528	0.043389	0.02412	0.047556	0.057635	0.12426	0.032578	0.042258	0.026435	0.022526	0.088404	0.02497	0.022686	0.037988	0.034545	0.95152	0.020668	0.047123	0.05129	0.038219	0.060122	0.085026	0.096941	0.1434	0.0247	0.022507	0.035758	0.041184	0.10781
Meth__cg11174654__GLUD2	0.37086	0.040013	0.42743	0.03966	0.041868	0.33049	0.047166	0.30968	0.36264	0.086699	0.31038	0.092823	0.08675	0.016055	0.43273	0.31886	0.37707	0.21519	0.20548	0.022474	0.040374	0.35536	0.093334	0.33998	0.32015	0.041574	0.32855	0.34603	0.13041	0.34898	0.3586	0.030738	0.35592	0.067276	0.434	0.51975
Meth__cg03041841__C9orf75	0.05594	0.037067	0.23431	0.065725	0.038103	0.046875	0.048605	0.27418	0.88041	0.053036	0.093883	0.90102	0.25892	0.020311	0.69063	0.061843	0.33306	0.082342	0.075598	0.048277	0.057387	0.28646	0.6384	0.0822	0.84772	0.058498	0.13437	0.085775	0.17515	0.10646	0.57023	0.044143	0.04592	0.051126	0.11655	0.14286
Meth__cg17630833__MAPT	0.016128	0.024048	0.027378	0.017788	0.011843	0.86947	0.015044	0.043182	0.020528	0.017006	0.015371	0.015745	0.027818	0.01664	0.015329	0.012094	0.075585	0.04172	0.012734	0.024731	0.016908	0.020742	0.023733	0.011503	0.29907	0.024433	0.035302	0.052491	0.048322	0.014899	0.020797	0.011881	0.018549	0.041336	0.018644	0.035508
Meth__cg26035633__IDH3G	0.53748	0.037724	0.064568	0.060025	0.35633	0.043745	0.051194	0.45845	0.037241	0.036467	0.050468	0.047269	0.071095	0.03592	0.053053	0.23319	0.52479	0.073813	0.027394	0.041052	0.042388	0.48293	0.50091	0.47907	0.067374	0.046656	0.1565	0.36233	0.073171	0.28616	0.48678	0.041707	0.23734	0.091803	0.55112	0.39289
Meth__cg08097973__NUMA1	0.10976	0.053274	0.079607	0.058325	0.052638	0.94915	0.10459	0.2317	0.085981	0.054927	0.076555	0.3951	0.068898	0.060773	0.089345	0.25135	0.89769	0.10156	0.83911	0.043424	0.060262	0.1116	0.90976	0.049792	0.88489	0.086794	0.12639	0.094368	0.084836	0.67872	0.93089	0.059462	0.063393	0.12064	0.078519	0.11674
Meth__cg23750556__SRPX	0.57547	0.03967	0.077326	0.039758	0.10937	0.063728	0.056613	0.092814	0.17199	0.04864	0.063118	0.62571	0.14045	0.5368	0.15704	0.09488	0.074685	0.49953	0.066143	0.048876	0.069912	0.5894	0.065096	0.40287	0.14904	0.50601	0.065114	0.4081	0.11575	0.60722	0.63001	0.040163	0.083536	0.07777	0.46482	0.63705
Meth__cg00718440__CDKN2A	0.082699	0.06867	0.51711	0.082562	0.032447	0.041457	0.078407	0.1032	0.052125	0.038478	0.17803	0.065664	0.069042	0.033795	0.073457	0.039581	0.56842	0.16204	0.027694	0.030568	0.059905	0.056444	0.11585	0.036998	0.61271	0.06185	0.065171	0.080973	0.071986	0.49263	0.22234	0.031875	0.026792	0.11738	0.036668	0.078781
