Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	1	1	-1	1	-1
Meth__cg06493994__SCGN	0.91357	0.0307	0.12132	0.9316	0.8153	0.84913	0.33293	0.038371	0.27865	0.71426	0.13684	0.2835	0.051624	0.036276	0.39878	0.13622	0.85946	0.3349	0.61399	0.41792	0.14975	0.026431	0.884	0.46945	0.065686	0.87355	0.17172	0.091515	0.071482	0.38013	0.025744	0.027267	0.082377	0.07033	0.076686	0.13346	0.045216
Meth__cg13047892__MEOX2	0.94285	0.03284	0.29084	0.75779	0.91854	0.88187	0.96145	0.062953	0.056683	0.95271	0.12561	0.12699	0.053872	0.9211	0.10215	0.079056	0.55584	0.053603	0.1766	0.21276	0.038672	0.71161	0.60957	0.2556	0.041297	0.2624	0.063541	0.043473	0.056308	0.062402	0.098636	0.029633	0.15364	0.044054	0.34209	0.79282	0.89484
Meth__cg11504897__NRN1	0.71248	0.13355	0.2036	0.23187	0.73864	0.91686	0.53527	0.10196	0.48291	0.55657	0.16727	0.18441	0.19641	0.086957	0.24143	0.1365	0.85746	0.42814	0.2273	0.95321	0.10845	0.29889	0.92095	0.38222	0.18857	0.94573	0.20638	0.12034	0.11563	0.12634	0.48459	0.10842	0.12256	0.19759	0.92162	0.65629	0.88658
Meth__cg03522063__EMX2	0.54447	0.064638	0.080529	0.26854	0.57436	0.78243	0.80786	0.072793	0.76457	0.54108	0.88006	0.76057	0.17301	0.14053	0.082627	0.17218	0.22876	0.76254	0.77701	0.72829	0.074129	0.62998	0.52252	0.79213	0.12959	0.69263	0.1192	0.061477	0.090794	0.57327	0.063179	0.052478	0.54651	0.29668	0.87997	0.55597	0.51921
Meth__cg05245515__SLC39A2	0.10643	0.038085	0.088417	0.73464	0.89921	0.10345	0.22683	0.078681	0.083457	0.84012	0.2266	0.19855	0.066405	0.11133	0.79188	0.094732	0.091167	0.067981	0.21081	0.15628	0.68849	0.042076	0.13545	0.60411	0.052177	0.32579	0.10393	0.10485	0.16243	0.11414	0.052813	0.056662	0.057259	0.14171	0.18695	0.34203	0.39889
Meth__cg26062370__MGC18079	0.054504	0.039553	0.072787	0.28971	0.10456	0.33595	0.089323	0.023665	0.40525	0.13475	0.097205	0.11007	0.029559	0.13256	0.16195	0.043174	0.042495	0.25438	0.5172	0.69866	0.058054	0.18763	0.075795	0.41767	0.046365	0.16781	0.049087	0.025462	0.03648	0.038493	0.083785	0.02766	0.053014	0.050269	0.26956	0.16686	0.24837
Meth__cg06577005__DHDDS	0.71863	0.055503	0.07696	0.30454	0.52275	0.31878	0.055737	0.077985	0.092941	0.041511	0.14124	0.13012	0.062252	0.13297	0.091398	0.039346	0.14943	0.099431	0.23592	0.13483	0.089076	0.04906	0.85323	0.60093	0.058381	0.13963	0.071293	0.03745	0.32239	0.22277	0.070878	0.029004	0.072879	0.17279	0.061565	0.085577	0.49144
Meth__cg06185738__SLC17A6	0.096722	0.027128	0.039814	0.062086	0.050647	0.077487	0.85935	0.033884	0.035328	0.31065	0.080685	0.077636	0.043213	0.066409	0.48566	0.13622	0.043342	0.040822	0.053949	0.89614	0.037265	0.14529	0.055861	0.042259	0.02879	0.86002	0.048231	0.032825	0.034096	0.037941	0.032154	0.027282	0.049497	0.042089	0.032245	0.042905	0.23107
Meth__cg05208878__PRAME	0.49004	0.04226	0.055359	0.58349	0.54018	0.61927	0.29364	0.032891	0.040924	0.034441	0.48965	0.27215	0.072542	0.54968	0.033333	0.11211	0.036541	0.069873	0.14597	0.8939	0.29636	0.035917	0.61042	0.25017	0.079889	0.37428	0.12897	0.069844	0.056518	0.4449	0.2147	0.035327	0.031709	0.046995	0.61554	0.4078	0.44585
