Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	-1	-1	1	1	1	-1	1	-1	-1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1
Meth__cg15796978__LHCGR	0.57637	0.024732	0.62387	0.29455	0.060987	0.23856	0.094181	0.34672	0.04884	0.1063	0.2043	0.033712	0.11653	0.092705	0.037076	0.080314	0.11071	0.035021	0.018135	0.45456	0.88274	0.026562	0.87661	0.19899	0.27887	0.046004	0.028669	0.031894	0.042418	0.043928	0.20726	0.025202	0.29409	0.030246	0.054501	0.40606	0.15229	0.057063	0.090796
Meth__cg07173760__CLC	0.85294	0.074468	0.86159	0.72466	0.16355	0.55666	0.14047	0.8167	0.069154	0.80985	0.75884	0.38393	0.65886	0.10291	0.095068	0.57006	0.49753	0.13051	0.080074	0.47237	0.8362	0.16694	0.77631	0.21042	0.26306	0.16993	0.13685	0.10375	0.19648	0.084687	0.090962	0.073798	0.60811	0.63343	0.20498	0.61305	0.50033	0.23193	0.36769
Meth__cg21667836__PRMT8	0.54707	0.098208	0.92141	0.91192	0.74081	0.84307	0.17857	0.87309	0.060228	0.9067	0.37704	0.51733	0.54283	0.11111	0.078493	0.65346	0.11517	0.16733	0.10683	0.79399	0.92433	0.14838	0.93498	0.23677	0.16909	0.17802	0.38831	0.12396	0.14079	0.33571	0.091421	0.085486	0.83095	0.81	0.19308	0.8697	0.35864	0.37017	0.29086
Meth__cg11126134__FLJ14834	0.49219	0.044391	0.63092	0.92931	0.37805	0.92519	0.61364	0.93707	0.038121	0.88667	0.88224	0.082785	0.64771	0.036692	0.040033	0.80812	0.56751	0.073362	0.043043	0.89942	0.97132	0.099468	0.88337	0.25835	0.94123	0.076897	0.063508	0.26972	0.074318	0.025935	0.027027	0.059445	0.94259	0.28694	0.12527	0.053479	0.41325	0.26792	0.37007
Meth__cg26829529__SPACA3	0.29623	0.05739	0.65482	0.54367	0.041314	0.094031	0.087275	0.27477	0.15423	0.069102	0.20691	0.061576	0.17757	0.060478	0.11262	0.13883	0.083132	0.1116	0.083789	0.26751	0.82232	0.04472	0.8268	0.083516	0.049004	0.056736	0.10035	0.062257	0.17021	0.05492	0.055089	0.040196	0.40026	0.030528	0.076068	0.25067	0.0608	0.11409	0.064492
Meth__cg10335112__ODF3	0.39787	0.043881	0.4419	0.18936	0.21188	0.17154	0.11476	0.55463	0.052566	0.23228	0.4224	0.48979	0.36181	0.23199	0.047791	0.18969	0.19705	0.070907	0.036943	0.38332	0.56689	0.080958	0.73102	0.22212	0.25002	0.062055	0.17964	0.24012	0.12792	0.18691	0.057469	0.04646	0.2658	0.11851	0.071511	0.48996	0.12246	0.30572	0.098633
Meth__cg08947964__CX62	0.56133	0.10784	0.76076	0.29949	0.083034	0.49223	0.19715	0.79412	0.34093	0.57106	0.45532	0.38835	0.39449	0.14286	0.26117	0.23197	0.47268	0.1686	0.10347	0.16117	0.84609	0.1172	0.88186	0.3786	0.11973	0.072912	0.099469	0.098008	0.23397	0.43603	0.16323	0.073896	0.63746	0.56955	0.22949	0.21122	0.15323	0.30217	0.17074
Meth__cg03167883__FLJ46365	0.78458	0.066197	0.77302	0.85591	0.057775	0.71062	0.20842	0.83098	0.048406	0.37563	0.78852	0.35561	0.53666	0.08947	0.065444	0.62875	0.07173	0.54714	0.039449	0.68991	0.13063	0.060925	0.84019	0.15672	0.27013	0.14494	0.049871	0.10283	0.11122	0.05162	0.062952	0.059578	0.82152	0.76068	0.11388	0.59709	0.42627	0.54082	0.45067
Meth__cg22228134__GZMH	0.51981	0.07767	0.84291	0.67675	0.10357	0.83465	0.078065	0.86484	0.095957	0.50326	0.5536	0.61277	0.53922	0.16153	0.089014	0.19466	0.13186	0.71209	0.098259	0.48309	0.92366	0.094026	0.89279	0.13308	0.17355	0.14606	0.1	0.086949	0.16146	0.11093	0.4087	0.091229	0.63483	0.39152	0.14086	0.50077	0.50889	0.14205	0.44938
