Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	1	-1	1	1
Meth__cg07811750__CAMTA2	0.033398	0.031831	0.055496	0.034943	0.032316	0.031312	0.032992	0.03511	0.029144	0.039052	0.03218	0.037874	0.051606	0.018247	0.031724	0.028936	0.027001	0.074733	0.022086	0.035725	0.031828	0.040366	0.34109	0.03957	0.02909	0.039785	0.05353	0.055657	0.062623	0.033799	0.015064	0.034591	0.023725	0.025007	0.03293	0.04211	0.036696	0.029039
Meth__cg13042487__XRCC3	0.86897	0.35783	0.14687	0.11911	0.062091	0.066651	0.36045	0.91031	0.064494	0.061406	0.075965	0.06937	0.34943	0.02425	0.078272	0.084643	0.061584	0.11934	0.04785	0.062219	0.27881	0.16399	0.30398	0.63589	0.10975	0.42001	0.18309	0.1216	0.16356	0.031162	0.031532	0.47426	0.0324	0.032299	0.11958	0.11888	0.10138	0.045577
Meth__cg07917796__DIAPH2	0.24901	0.049409	0.086742	0.05129	0.054298	0.049259	0.065359	0.22436	0.074504	0.05436	0.061158	0.04392	0.085702	0.032384	0.06142	0.06509	0.057836	0.10063	0.034868	0.065212	0.060971	0.058465	0.084816	0.31165	0.070749	0.058059	0.081398	0.44434	0.076978	0.040725	0.039381	0.073535	0.049296	0.26422	0.068069	0.47063	0.047629	0.058515
Meth__cg25476145__GALT	0.043161	0.029937	0.040819	0.060951	0.032658	0.024259	0.03857	0.23688	0.024832	0.029089	0.041814	0.018168	0.084278	0.035759	0.040768	0.054908	0.027466	0.055128	0.022303	0.031965	0.042205	0.073693	0.061921	0.035249	0.039451	0.031816	0.065057	0.063822	0.051685	0.027021	0.025685	0.46662	0.022887	0.026004	0.053909	0.057255	0.030144	0.030092
Meth__cg09903430__ST3GAL3	0.040159	0.03659	0.16765	0.069402	0.034032	0.038991	0.061026	0.15427	0.04293	0.055826	0.040857	0.20621	0.12715	0.050886	0.049613	0.042703	0.035958	0.07089	0.032996	0.052267	0.056344	0.079691	0.10878	0.213	0.11413	0.12139	0.4365	0.097434	0.068913	0.03757	0.031924	0.04297	0.033064	0.032039	0.15316	0.10648	0.040219	0.038513
Meth__cg03379131__ADAM15	0.038155	0.035171	0.06272	0.037898	0.051904	0.031081	0.040061	0.04088	0.032024	0.035197	0.044352	0.040233	0.088352	0.02592	0.037724	0.0471	0.038375	0.05325	0.028956	0.062654	0.073345	0.26099	0.51723	0.12724	0.080368	0.051839	0.074455	0.070107	0.073372	0.034303	0.028181	0.027256	0.041515	0.024483	0.051292	0.079409	0.03157	0.033133
Meth__cg14409941__ADAMTS2	0.96119	0.032123	0.82008	0.038249	0.031036	0.22597	0.81407	0.33908	0.035625	0.053343	0.16776	0.024448	0.33071	0.071525	0.046102	0.032795	0.029032	0.095328	0.03091	0.93831	0.94281	0.90534	0.040288	0.96161	0.88275	0.52219	0.13702	0.91943	0.051305	0.030017	0.030763	0.060583	0.031273	0.25959	0.050801	0.10587	0.035239	0.039681
Meth__cg09114441__ZNF546	0.034259	0.02601	0.039789	0.030547	0.026755	0.031389	0.035438	0.038183	0.027053	0.038477	0.031652	0.019625	0.45316	0.022838	0.03618	0.032068	0.029222	0.037864	0.025631	0.03046	0.035132	0.036106	0.040033	0.03207	0.032169	0.031607	0.041801	0.072864	0.055988	0.026487	0.027257	0.030908	0.027817	0.020279	0.050221	0.030645	0.030322	0.028229
Meth__cg03575468__PDHA1	0.11653	0.030362	0.078096	0.04951	0.059748	0.038872	0.058698	0.059639	0.052316	0.075446	0.05333	0.089867	0.19478	0.050312	0.06487	0.050061	0.071515	0.11172	0.14271	0.059448	0.062565	0.3589	0.071162	0.32683	0.25024	0.28383	0.2052	0.30049	0.097738	0.3232	0.059324	0.12585	0.037667	0.043777	0.13733	0.28469	0.084481	0.055152
